Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,103.85800,55.32400,48.53400,34.49800,34.70400,13.83000,,13.83000,2.84900,10.98100,10.98100,10.97300,17.05800,17.14000,0.64000,0.64000,0.04320,2.63360,28.61340,22.70250,0.00680,2.18650,2.52300,0.15380,2.09200,29.44240,1.4992,1.5622
2024-06-30,102.65700,54.41200,48.24500,34.20200,34.41000,13.83500,,13.83500,3.02000,10.81500,10.81500,10.80700,17.05200,17.11000,0.63000,0.63000,0.04590,3.33930,28.97690,22.63480,0.00660,2.29640,2.67860,0.15050,2.19090,27.60920,0.6532,0.5587
2024-03-31,102.41900,53.59100,48.82800,34.85500,35.06300,13.76500,,13.76500,2.82900,10.93600,10.93600,10.92400,17.03300,17.07400,0.64000,0.64000,0.04630,2.70430,28.60080,22.69780,0.00660,2.34220,2.73740,0.15090,2.23370,27.41270,0.11410,0.07740
2023-12-31,97.25200,51.29200,45.96000,33.57900,33.78700,12.17300,,12.17300,-0.77400,12.94700,12.94700,12.93100,17.03300,17.06200,0.76000,0.77000,0.04580,2.56550,27.19620,28.88960,0.00620,2.73900,3.19630,0.17970,2.61360,27.75450,0.6813,0.5923
2023-09-30,95.94700,46.97000,48.97700,34.67900,34.89000,14.08700,,14.08700,2.92600,11.16100,11.16100,11.14000,17.01900,17.04100,0.65000,0.65000,0.04990,2.64870,29.05910,22.98000,0.00670,2.58710,3.06980,0.15540,2.45790,25.34840,1.7523,1.7229
2023-06-30,89.55500,41.73000,47.82500,33.50400,33.71600,14.10900,,14.10900,2.85300,11.25600,11.25600,11.23700,17.01100,17.03000,0.66000,0.66000,0.04710,2.31440,29.93950,23.84510,0.00670,2.45140,2.87790,0.16050,2.33600,26.97930,-1.2275,-1.3383
2023-03-31,82.04500,31.56900,50.47600,34.15200,34.36400,16.11200,,16.11200,3.30000,12.81200,12.81200,12.78300,17.07400,17.17000,0.75000,0.74000,0.04650,2.03810,32.43420,25.73280,0.00720,2.75540,3.22940,0.18680,2.62720,27.37610,0.64610,0.57950
2022-12-31,75.54900,20.41900,55.13000,33.94700,34.15900,20.97100,,20.97100,4.39800,16.57300,16.57300,16.53500,17.24600,17.38100,0.96000,0.95000,0.04760,2.21020,38.59930,30.43440,0.00820,3.65310,4.30240,0.24880,3.47920,26.40220,2.3483,2.2162
2022-09-30,67.94100,10.09600,57.84500,33.65200,33.86700,23.97800,,23.97800,5.31000,18.66800,18.66800,18.61500,17.17400,17.29800,1.08000,1.08000,0.04990,1.67180,42.03350,32.63210,0.00890,4.31860,5.13420,0.29130,4.10330,25.17470,1.1903,1.1116
2022-06-30,57.88100,4.51400,53.36700,27.86100,28.07700,25.29000,,25.29000,5.33300,19.95700,19.95700,19.90000,17.30300,17.41400,1.15000,1.14000,0.04540,0.73570,44.86670,35.30430,0.00940,4.18710,4.89450,0.33360,3.99690,27.72740,0.7573,0.6626
