Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-06-30,3461.00000,2275.00000,1186.00000,789.00000,789.00000,397.00000,-30.00000,367.00000,74.00000,293.00000,,292.00000,,286.00000,516.00000,397.00000,340.00000,341.00000,0.84000,0.84000,0.70230,0.72010,2.90720,34.26760,11.47070,11.47070,10.60390,8.26350,0.18540,1.84360,2.10650,42.72460,9.09090,-5.56610,1.56410,2.54490,9.41940,1.3208,0.8902
2019-03-31,3522.00000,2415.00000,1107.00000,726.00000,726.00000,381.00000,-22.00000,359.00000,72.00000,287.00000,,285.00000,,282.00000,505.00000,381.00000,342.00000,343.00000,0.82000,0.82000,0.67760,0.72540,3.00190,31.43100,10.81770,10.81770,10.19310,8.00680,0.19070,1.83090,2.15680,41.72910,9.20250,-4.51950,1.54350,2.52660,9.08210,0.20410,-0.22740
2018-12-31,3317.00000,2228.00000,1089.00000,763.00000,763.00000,326.00000,-433.00000,-107.00000,-25.00000,-82.00000,,-82.00000,,-84.00000,468.00000,326.00000,347.00000,348.00000,-0.25000,-0.24000,0.69710,0.72210,2.81510,32.83090,9.82820,9.82820,-3.22580,-2.53240,0.18660,1.67520,2.41240,37.30780,-2.59580,1.31160,-0.46120,-0.72140,9.18670,1.7605,1.2142
2018-09-30,3469.00000,2293.00000,1176.00000,780.00000,780.00000,396.00000,58.00000,454.00000,69.00000,385.00000,,383.00000,,380.00000,536.00000,396.00000,347.00000,349.00000,1.10000,1.09000,0.84440,0.70680,2.46830,33.90030,11.41540,11.41540,13.08740,10.95420,0.19150,1.73840,2.15200,41.82190,10.59470,-6.58980,2.11440,3.10620,10.41790,1.3688,1.0301
2018-06-30,3360.00000,2151.00000,1209.00000,735.00000,735.00000,474.00000,-3.00000,471.00000,70.00000,401.00000,,599.00000,,596.00000,586.00000,474.00000,347.00000,348.00000,1.72000,1.71000,0.82380,0.71960,2.66390,35.98210,14.10710,14.10710,14.01790,17.73810,0.18770,1.66620,2.19610,40.98210,17.59690,-9.88610,3.34620,4.93370,9.80980,0.6293,0.2327
2018-03-31,3401.00000,2149.00000,1252.00000,742.00000,742.00000,510.00000,1.00000,511.00000,67.00000,444.00000,,444.00000,,444.00000,632.00000,510.00000,346.00000,348.00000,1.28000,1.27000,0.73530,0.75520,3.42910,36.81270,14.99560,14.99560,15.02500,13.05500,0.20360,1.77020,2.12430,42.36700,17.38450,-7.91440,2.65840,4.25490,7.36020,0.65520,0.27590
2017-12-31,3185.00000,2043.00000,1142.00000,753.00000,753.00000,389.00000,190.00000,579.00000,164.00000,415.00000,,417.00000,,417.00000,504.00000,389.00000,348.00000,350.00000,1.21000,1.20000,0.67140,0.78130,3.92660,35.85560,12.21350,12.21350,18.17900,13.09260,0.19480,1.67870,2.29300,39.24960,19.00640,-7.00960,2.55030,4.15750,6.34830,0.6054,0.2487
2017-09-30,3246.00000,2074.00000,1172.00000,839.00000,839.00000,333.00000,53.00000,386.00000,101.00000,285.00000,,288.00000,,288.00000,459.00000,333.00000,345.00000,348.00000,0.83000,0.83000,0.68260,0.78790,4.21920,36.10600,10.25880,10.25880,11.89160,8.87250,0.20750,1.73560,2.14680,41.92240,14.82240,-5.11180,1.84130,3.14440,5.63190,0.2846,-0.0287
2017-06-30,3175.00000,1950.00000,1225.00000,840.00000,840.00000,385.00000,,385.00000,102.00000,283.00000,,283.00000,,283.00000,504.00000,385.00000,349.00000,352.00000,0.81000,0.80000,0.67560,0.79380,4.46380,38.58270,12.12600,12.12600,12.12600,8.91340,0.20440,1.62360,2.22490,40.45040,15.29730,-4.96490,1.82170,3.15390,5.34680,0.3574,-0.0367
2017-03-31,3248.00000,2088.00000,1160.00000,880.00000,880.00000,280.00000,27.00000,307.00000,43.00000,264.00000,,266.00000,,266.00000,401.00000,280.00000,351.00000,354.00000,0.76000,0.75000,0.66480,0.76860,3.94460,35.71430,8.62070,8.62070,9.45200,8.18970,0.21050,1.74730,2.21860,40.56650,13.15530,-4.83280,1.72430,3.04450,5.77710,-0.09600,-0.46330
2016-12-31,3048.00000,1993.00000,1055.00000,869.00000,869.00000,186.00000,-213.00000,-27.00000,20.00000,-47.00000,,-47.00000,,-48.00000,346.00000,186.00000,350.00000,354.00000,-0.14000,-0.13000,0.65710,0.77670,4.03270,34.61290,6.10240,6.10240,-0.88580,-1.57480,0.20170,1.60990,2.47600,36.34840,-2.44030,0.83790,-0.31100,-0.54500,5.48610,0.7062,0.3362
2016-09-30,3254.00000,1990.00000,1264.00000,854.00000,854.00000,410.00000,-55.00000,355.00000,62.00000,293.00000,,292.00000,,292.00000,516.00000,410.00000,350.00000,354.00000,0.83000,0.82000,0.65910,0.74110,3.58550,38.84450,12.59990,12.59990,10.90970,8.97360,0.21240,1.63110,2.13660,42.12350,13.27270,-5.77300,1.90610,3.43690,6.28570,1.0537,0.6949
2016-06-30,3268.00000,1998.00000,1270.00000,821.00000,821.00000,449.00000,-64.00000,385.00000,106.00000,279.00000,,280.00000,,280.00000,585.00000,449.00000,350.00000,354.00000,0.80000,0.79000,0.64900,0.75840,4.10050,38.86170,13.73930,13.73930,11.78090,8.56790,0.21240,1.64310,2.21860,40.56610,14.00000,-5.33840,1.81970,3.38290,5.73070,1.8164,1.5186
2016-03-31,3395.00000,2150.00000,1245.00000,807.00000,807.00000,438.00000,-217.00000,221.00000,47.00000,174.00000,,175.00000,,175.00000,553.00000,438.00000,351.00000,355.00000,0.50000,0.49000,0.62360,0.75400,4.03630,36.67160,12.90130,12.90130,6.50960,5.15460,0.22190,1.79470,2.25580,39.89690,8.57420,-3.34860,1.14400,2.10920,5.83140,0.01410,-0.39150
2015-12-31,3142.00000,2180.00000,962.00000,1001.00000,1001.00000,-39.00000,-72.00000,-111.00000,-68.00000,-43.00000,,-40.00000,,-41.00000,108.00000,-39.00000,354.00000,356.00000,-0.11000,-0.13000,0.56390,0.71160,3.62250,30.61740,-1.24120,-1.24120,-3.53280,-1.30490,0.20600,1.74400,2.33780,38.49780,-1.87090,0.78460,-0.26230,-0.53960,6.10820,2.0281,1.5674
2015-09-30,3329.00000,2096.00000,1233.00000,899.00000,899.00000,334.00000,-62.00000,272.00000,66.00000,206.00000,,205.00000,,205.00000,452.00000,334.00000,354.00000,356.00000,0.58000,0.58000,0.66110,0.68560,2.97380,37.03820,10.03300,10.03300,8.17060,6.15800,0.21450,1.73220,2.28480,39.39020,7.66930,-4.46040,1.32100,2.41090,7.55080,1.0853,0.7193
2015-06-30,3498.00000,2257.00000,1241.00000,829.00000,829.00000,412.00000,-104.00000,308.00000,85.00000,223.00000,,222.00000,,223.00000,550.00000,412.00000,353.00000,355.00000,0.63000,0.63000,0.73600,0.68440,2.80220,35.47740,11.77820,11.77820,8.80500,6.37510,0.23380,1.86370,2.46340,36.53520,8.30220,-4.85780,1.48380,2.61980,7.57510,1.1884,0.8763
2015-03-31,3556.00000,2311.00000,1245.00000,861.00000,861.00000,384.00000,-80.00000,304.00000,76.00000,228.00000,-1.00000,227.00000,,227.00000,515.00000,384.00000,355.00000,357.00000,0.64000,0.64000,0.86030,0.71210,2.91480,35.01130,10.79870,10.79870,8.54890,6.38360,0.23380,1.92740,2.36590,38.03990,8.55960,-4.91020,1.49260,2.46390,7.51270,0.44820,0.03360
2014-12-31,3514.00000,2658.00000,856.00000,1278.00000,1278.00000,-422.00000,-57.00000,-479.00000,-187.00000,-292.00000,,-293.00000,,-293.00000,-294.00000,-422.00000,358.00000,360.00000,-0.82000,-0.81000,0.76540,0.67550,2.58510,24.35970,-12.00910,-12.00910,-13.63120,-8.33810,0.23190,2.07820,2.75390,32.68070,-10.27710,6.63650,-1.93360,-3.33490,8.00840,1.7112,1.0806
2014-09-30,3639.00000,2347.00000,1292.00000,927.00000,927.00000,365.00000,-53.00000,312.00000,86.00000,226.00000,,225.00000,,224.00000,505.00000,365.00000,358.00000,360.00000,0.63000,0.62000,0.76620,0.63380,2.22030,35.50430,10.03020,10.03020,8.57380,6.15550,0.23070,1.94290,2.32520,38.70570,6.53120,-5.76480,1.42660,2.39160,9.70420,1.4628,1.101
2014-06-30,3685.00000,2274.00000,1411.00000,944.00000,944.00000,467.00000,-47.00000,420.00000,122.00000,298.00000,-3.00000,295.00000,,295.00000,586.00000,467.00000,359.00000,362.00000,0.82000,0.82000,0.81280,0.61260,1.96540,38.29040,12.67300,12.67300,11.39760,8.00540,0.23300,1.74520,2.38670,37.70960,7.73670,-8.18760,1.86560,2.99740,10.59170,1.0663,0.7099
2014-03-31,3742.00000,2238.00000,1504.00000,890.00000,890.00000,614.00000,-42.00000,572.00000,165.00000,407.00000,-1.00000,406.00000,,406.00000,730.00000,614.00000,360.00000,362.00000,1.13000,1.12000,0.69070,0.60240,2.14590,40.19240,16.40830,16.40830,15.28590,10.84980,0.23790,1.75250,2.33150,38.60240,11.36620,-10.55640,2.58140,4.51860,9.94990,0.74030,0.47240
2013-12-31,3501.00000,1718.00000,1783.00000,523.00000,523.00000,1260.00000,-46.00000,1214.00000,394.00000,820.00000,,819.00000,,818.00000,1452.00000,1260.00000,363.00000,365.00000,2.26000,2.23000,0.85190,0.63700,2.03990,50.92830,35.98970,35.98970,34.67580,23.36480,0.22630,1.37660,2.45860,36.60670,22.70590,-21.49040,5.29270,8.24190,9.94210,1.1348,0.3868
2013-09-30,3716.00000,2266.00000,1450.00000,946.00000,946.00000,504.00000,-52.00000,452.00000,124.00000,328.00000,-2.00000,326.00000,,326.00000,618.00000,504.00000,362.00000,364.00000,0.90000,0.90000,0.89570,0.68670,2.55590,39.02050,13.56300,13.56300,12.16360,8.77290,0.24420,1.72710,2.52100,35.69970,11.25690,-7.21240,2.14190,3.52660,8.00000,1.8949,1.5462
2013-06-30,3714.00000,2237.00000,1477.00000,907.00000,907.00000,570.00000,-66.00000,504.00000,150.00000,354.00000,-2.00000,352.00000,,352.00000,683.00000,570.00000,364.00000,367.00000,0.96000,0.96000,0.85840,0.70760,2.96530,39.76840,15.34730,15.34730,13.57030,9.47770,0.24640,1.75590,2.45630,36.63970,13.44020,-7.41520,2.33480,3.93030,7.23480,0.9975,0.6277
2013-03-31,3861.00000,2468.00000,1393.00000,890.00000,890.00000,503.00000,-67.00000,436.00000,124.00000,312.00000,-1.00000,311.00000,,311.00000,616.00000,503.00000,363.00000,366.00000,0.86000,0.85000,0.97030,0.70270,2.65870,36.07870,13.02770,13.02770,11.29240,8.05490,0.25360,1.92210,2.43140,37.01630,10.94300,-6.81720,2.04280,3.25350,7.76500,0.92350,0.64480
2012-12-31,3563.00000,2387.00000,1176.00000,1173.00000,1173.00000,3.00000,-72.00000,-69.00000,-37.00000,-32.00000,,-32.00000,,-32.00000,149.00000,3.00000,358.00000,360.00000,-0.10000,-0.10000,0.74730,0.71160,3.20570,33.00590,0.08420,0.08420,-1.93660,-0.89810,0.23490,1.74870,2.45050,36.72750,-1.29820,0.64880,-0.21100,-0.37440,6.82320,1.0532,0.3025
2012-09-30,3720.00000,2254.00000,1466.00000,953.00000,953.00000,513.00000,-63.00000,450.00000,131.00000,319.00000,-1.00000,318.00000,,318.00000,621.00000,513.00000,358.00000,359.00000,0.89000,0.89000,0.73240,0.71330,3.25550,39.40860,13.79030,13.79030,12.09680,8.54840,0.25040,1.76230,2.63080,34.20970,13.04350,-6.56750,2.14080,3.73990,6.81010,1.9359,1.6379
2012-06-30,3474.00000,2035.00000,1439.00000,920.00000,920.00000,519.00000,-82.00000,437.00000,113.00000,324.00000,,324.00000,,324.00000,618.00000,519.00000,357.00000,359.00000,0.91000,0.90000,0.69710,0.73690,3.84900,41.42200,14.93960,14.93960,12.57920,9.32640,0.23730,1.64780,2.44650,36.78760,15.04880,-6.37290,2.21310,3.95940,6.01400,0.9471,0.6908
2012-03-31,3440.00000,2087.00000,1353.00000,826.00000,826.00000,527.00000,-20.00000,507.00000,156.00000,351.00000,,351.00000,,351.00000,622.00000,527.00000,357.00000,359.00000,0.98000,0.98000,0.79580,0.67330,2.82850,39.33140,15.31980,15.31980,14.73840,10.20350,0.28350,1.82430,2.63800,34.11630,17.00580,-11.63020,2.89270,5.55560,5.76540,0.94710,0.77160
2011-12-31,3015.00000,2077.00000,938.00000,1090.00000,1090.00000,-152.00000,-55.00000,-207.00000,-74.00000,-133.00000,,-133.00000,,-133.00000,-53.00000,-152.00000,362.00000,364.00000,-0.36000,-0.36000,0.92640,0.73690,3.35480,31.11110,-5.04150,-5.04150,-6.86570,-4.41130,0.25240,1.76920,2.53790,35.46270,-7.39710,4.05610,-1.11360,-1.94590,5.03220,0.886,0.334
2011-09-30,3312.00000,1962.00000,1350.00000,886.00000,886.00000,464.00000,-67.00000,397.00000,107.00000,290.00000,,290.00000,,290.00000,559.00000,464.00000,360.00000,363.00000,0.81000,0.80000,1.02480,0.69870,2.64200,40.76090,14.00970,14.00970,11.98670,8.75600,0.27010,1.93680,2.54380,35.38040,12.69150,-10.38680,2.36480,3.82330,6.38270,1.7309,1.3149
2011-06-30,3386.00000,1943.00000,1443.00000,900.00000,900.00000,543.00000,-54.00000,489.00000,147.00000,342.00000,,342.00000,,343.00000,629.00000,543.00000,363.00000,366.00000,0.94000,0.94000,1.03640,0.68260,2.44810,42.61670,16.03660,16.03660,14.44180,10.13000,0.27400,1.91050,2.48240,36.25520,13.85740,-13.05840,2.76790,4.39810,6.83660,0.9226,0.5386
2011-03-31,3485.00000,2064.00000,1421.00000,849.00000,849.00000,572.00000,-67.00000,505.00000,140.00000,365.00000,,365.00000,,366.00000,661.00000,572.00000,365.00000,368.00000,1.00000,1.00000,0.89260,0.68040,2.59680,40.77480,16.41320,16.41320,14.49070,10.50220,0.28590,2.11690,2.54940,35.30270,15.84200,-13.12010,2.99470,5.06310,6.36460,0.84240,0.56250
2010-12-31,2860.00000,1617.00000,1243.00000,867.00000,867.00000,376.00000,-68.00000,308.00000,83.00000,225.00000,,225.00000,,229.00000,503.00000,376.00000,376.00000,378.00000,0.62000,0.62000,0.91550,0.69500,2.74090,43.46150,13.14690,13.14690,10.76920,8.00700,0.24140,1.53130,2.40340,37.44760,10.44570,-7.67920,1.89920,3.18610,5.89160,-0.203,-0.7868
2010-09-30,3157.00000,1788.00000,1369.00000,828.00000,828.00000,541.00000,-61.00000,480.00000,143.00000,337.00000,,337.00000,,338.00000,628.00000,541.00000,373.00000,376.00000,0.91000,0.90000,0.79520,0.63920,2.46660,43.36400,17.13650,17.13650,15.20430,10.70640,0.26930,1.87820,2.60690,34.52330,15.19390,-11.68920,2.87440,5.48230,6.02720,1.3254,1.038
2010-06-30,3062.00000,1757.00000,1305.00000,822.00000,822.00000,483.00000,-54.00000,429.00000,128.00000,301.00000,,301.00000,,302.00000,574.00000,483.00000,381.00000,384.00000,0.80000,0.79000,0.85540,0.62150,2.10860,42.61920,15.77400,15.77400,14.01050,9.86280,0.26900,1.98530,2.67660,33.62510,12.62580,-11.09880,2.64380,4.77850,6.30690,0.8933,0.6667
2010-03-31,3318.00000,1893.00000,1425.00000,788.00000,788.00000,637.00000,-64.00000,573.00000,156.00000,417.00000,,417.00000,,418.00000,724.00000,637.00000,380.00000,384.00000,1.10000,1.09000,0.85290,0.61490,2.03770,42.94760,19.19830,19.19830,17.26940,12.59800,0.29130,2.31700,2.58410,34.82820,17.08320,-15.66490,3.66140,6.57830,6.42370,0.65100,0.49480
2009-12-31,2900.00000,1655.00000,1245.00000,893.00000,893.00000,352.00000,-117.00000,235.00000,60.00000,175.00000,,176.00000,,176.00000,454.00000,352.00000,382.00000,384.00000,0.46000,0.46000,1.11800,0.68000,2.14510,42.93100,12.13790,12.13790,8.10340,6.06900,0.25890,1.81870,2.65320,33.92070,7.73630,-6.22790,1.57140,2.47540,5.96520,1.0755,0.75
2009-09-30,3277.00000,1837.00000,1440.00000,873.00000,873.00000,567.00000,-75.00000,492.00000,132.00000,360.00000,,360.00000,,361.00000,660.00000,567.00000,382.00000,384.00000,0.94000,0.94000,1.06040,0.70380,2.61030,43.94260,17.30240,17.30240,15.01370,11.01620,0.28450,2.12860,2.61320,34.44000,17.73400,-11.71490,3.12500,5.25320,5.35620,1.3859,1.15
2009-06-30,3229.00000,1825.00000,1404.00000,851.00000,851.00000,553.00000,-58.00000,495.00000,141.00000,354.00000,-1.00000,353.00000,,354.00000,658.00000,553.00000,383.00000,383.00000,0.93000,0.92000,1.05400,0.70910,2.69620,43.48100,17.12610,17.12610,15.32980,10.96320,0.28670,2.19090,2.71120,33.19600,17.90060,-11.28880,3.13440,5.20650,5.14880,1.1775,0.9478
2009-03-31,3169.00000,1867.00000,1302.00000,773.00000,773.00000,529.00000,-67.00000,462.00000,143.00000,319.00000,,319.00000,,321.00000,613.00000,529.00000,382.00000,383.00000,0.84000,0.84000,0.74490,0.71420,3.35570,41.08550,16.69300,16.69300,14.57870,10.12940,0.28880,2.27410,2.70850,33.22820,19.63080,-9.20370,2.90690,5.61130,4.25390,0.63970,0.44910
