Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3233.00000,2057.00000,1176.00000,720.00000,720.00000,456.00000,-54.00000,402.00000,34.00000,368.00000,,370.00000,,367.00000,548.00000,456.00000,343.00000,347.00000,1.07000,1.05000,0.77490,0.57340,1.55750,36.37490,14.10460,14.10460,12.43430,11.35170,0.20510,1.68740,1.90290,47.29660,9.84570,-11.98960,2.34730,4.20030,10.89280,1.5813,1.1741
2024-06-30,3192.00000,2031.00000,1161.00000,668.00000,668.00000,493.00000,-50.00000,443.00000,97.00000,346.00000,,347.00000,,344.00000,588.00000,493.00000,342.00000,345.00000,1.01000,1.00000,0.72690,0.59370,1.71080,36.37220,15.44490,15.44490,13.87850,10.77690,0.20860,1.71390,1.92990,46.63530,10.12550,-10.14620,2.26810,4.11430,10.02050,1.0868,0.6765
2024-03-31,3200.00000,2169.00000,1031.00000,638.00000,638.00000,393.00000,-40.00000,353.00000,82.00000,271.00000,,271.00000,,267.00000,479.00000,393.00000,341.00000,344.00000,0.78000,0.78000,0.62440,0.57280,1.81030,32.21880,12.28130,12.28130,11.03130,8.34380,0.20890,1.79260,1.92080,46.85630,8.26720,-7.49240,1.76950,3.53190,9.61290,1.05810,0.60760
2023-12-31,3174.00000,2079.00000,1095.00000,767.00000,767.00000,328.00000,-230.00000,98.00000,42.00000,56.00000,,58.00000,-28.00000,27.00000,409.00000,328.00000,342.00000,345.00000,0.08000,0.09000,0.65810,0.60170,1.74320,34.49910,10.33400,10.33400,3.08760,0.85070,0.20320,1.67260,2.02420,44.46130,1.72160,-1.55870,0.37130,0.68570,9.90880,0.7101,0.2145
2023-09-30,3255.00000,2145.00000,1110.00000,696.00000,696.00000,414.00000,-137.00000,277.00000,78.00000,199.00000,,198.00000,72.00000,269.00000,526.00000,414.00000,342.00000,345.00000,0.79000,0.78000,0.76430,0.56390,1.65440,34.10140,12.71890,12.71890,8.51000,8.26420,0.17410,1.31430,1.73510,51.87100,4.62940,-6.02920,1.05910,2.01900,12.50590,2.1913,1.7072
2023-06-30,3351.00000,2257.00000,1094.00000,677.00000,677.00000,417.00000,-45.00000,372.00000,77.00000,295.00000,,298.00000,64.00000,357.00000,527.00000,417.00000,343.00000,345.00000,1.04000,1.03000,0.66210,0.54610,1.59630,32.64700,12.44410,12.44410,11.10120,10.65350,0.18510,1.32300,1.73630,51.83530,7.05990,-8.79830,1.64630,3.20460,12.34210,1.0667,0.6725
2023-03-31,3342.00000,2358.00000,984.00000,638.00000,638.00000,346.00000,-53.00000,293.00000,61.00000,232.00000,,234.00000,68.00000,298.00000,462.00000,346.00000,342.00000,345.00000,0.87000,0.86000,0.72050,0.56250,1.51750,29.44350,10.35310,10.35310,8.76720,8.91680,0.17940,1.30930,1.83630,49.01260,5.22440,-6.67050,1.25600,2.28560,13.05830,0.80000,0.21160
2022-12-31,1171.00000,815.00000,356.00000,445.00000,445.00000,-89.00000,-348.00000,-437.00000,-103.00000,-334.00000,,-331.00000,,-98.00000,38.00000,-89.00000,342.00000,344.00000,-0.30000,-0.29000,0.65930,0.54860,1.50030,30.40140,-7.60030,-7.60030,-37.31850,-8.36890,0.06330,0.60870,0.76440,117.74550,-7.56570,10.20030,-1.78960,-3.41520,12.79240,1.3692,0.968
2022-09-30,3946.00000,2793.00000,1153.00000,785.00000,785.00000,368.00000,15.00000,383.00000,74.00000,309.00000,,312.00000,,310.00000,481.00000,368.00000,341.00000,344.00000,0.91000,0.90000,0.73660,0.54600,1.41140,29.21950,9.32590,9.32590,9.70600,7.85610,0.20750,1.66050,1.98790,45.27370,6.58510,-9.58530,1.64070,2.98990,13.89440,1.0764,0.8397
2022-06-30,3864.00000,2721.00000,1143.00000,728.00000,728.00000,415.00000,6.00000,421.00000,97.00000,324.00000,,326.00000,,326.00000,534.00000,415.00000,339.00000,342.00000,0.96000,0.95000,0.70420,0.56160,1.53840,29.58080,10.74020,10.74020,10.89540,8.43690,0.20400,1.62160,2.05100,43.88200,7.15230,-9.19350,1.72150,3.13580,13.40590,1.3977,1.0205
2022-03-31,3672.00000,2513.00000,1159.00000,642.00000,642.00000,517.00000,18.00000,535.00000,112.00000,423.00000,,424.00000,,422.00000,636.00000,517.00000,340.00000,342.00000,1.24000,1.23000,0.65250,0.58090,1.69830,31.56320,14.07950,14.07950,14.56970,11.49240,0.19730,1.61190,2.17660,41.34800,9.87190,-10.88020,2.27810,4.13740,12.70710,0.95610,0.55260
2021-12-31,986.00000,723.00000,263.00000,303.00000,303.00000,-40.00000,86.00000,46.00000,8.00000,38.00000,,42.00000,,433.00000,81.00000,-40.00000,341.00000,344.00000,1.27000,1.26000,0.63860,0.59770,1.68710,26.67340,-4.05680,-4.05680,4.66530,43.91480,0.05420,0.51720,0.66220,135.91280,0.99640,-1.05930,0.23100,0.40090,12.34710,1.6066,1.1885
2021-09-30,3622.00000,2457.00000,1165.00000,718.00000,718.00000,447.00000,-55.00000,392.00000,92.00000,300.00000,,305.00000,,307.00000,561.00000,447.00000,341.00000,343.00000,0.90000,0.89000,0.75540,0.63650,1.87900,32.16460,12.34130,12.34130,10.82280,8.47600,0.19680,1.78300,2.15600,41.74490,7.60790,-7.21720,1.65700,2.76540,11.75660,1.3353,1.0233
2021-06-30,3555.00000,2331.00000,1224.00000,720.00000,720.00000,504.00000,28.00000,532.00000,144.00000,388.00000,,385.00000,,380.00000,624.00000,504.00000,341.00000,343.00000,1.12000,1.11000,0.75760,0.64430,1.95800,34.43040,14.17720,14.17720,14.96480,10.68920,0.19520,1.70770,2.14290,42.00000,9.92270,-8.83640,2.11390,3.52920,11.37830,1.3198,0.9452
2021-03-31,3584.00000,2418.00000,1166.00000,694.00000,694.00000,472.00000,10.00000,482.00000,109.00000,373.00000,,371.00000,,368.00000,584.00000,472.00000,342.00000,344.00000,1.07000,1.07000,0.67580,0.64550,2.10340,32.53350,13.16960,13.16960,13.44870,10.26790,0.19840,1.83320,2.15900,41.68530,10.15050,-8.13240,2.05380,3.59840,10.75000,0.68310,0.18020
2020-12-31,3464.00000,2279.00000,1185.00000,800.00000,800.00000,385.00000,-115.00000,270.00000,55.00000,215.00000,,208.00000,,205.00000,509.00000,385.00000,343.00000,345.00000,0.60000,0.59000,0.66480,0.64980,2.05580,34.20900,11.11430,11.11430,7.79450,5.91800,0.19250,1.77490,2.25370,39.93360,5.72060,-4.46930,1.15580,2.00350,10.57310,1.1525,0.6309
2020-09-30,3429.00000,2228.00000,1201.00000,790.00000,790.00000,411.00000,7.00000,418.00000,65.00000,353.00000,,352.00000,,348.00000,532.00000,411.00000,343.00000,346.00000,1.02000,1.01000,0.78770,0.66130,2.37950,35.02480,11.98600,11.98600,12.19010,10.14870,0.18120,1.76410,2.10890,42.67720,9.81600,-7.50210,1.86030,3.32510,10.42440,1.7895,1.4793
2020-06-30,3465.00000,2268.00000,1197.00000,691.00000,691.00000,506.00000,-39.00000,467.00000,109.00000,358.00000,,354.00000,,351.00000,623.00000,506.00000,343.00000,345.00000,1.02000,1.02000,0.76710,0.67040,2.47970,34.54550,14.60320,14.60320,13.47760,10.12990,0.18680,1.84390,2.04790,43.94810,10.39340,-7.30200,1.90830,3.42530,9.93000,1.6779,1.3716
2020-03-31,3412.00000,2268.00000,1144.00000,685.00000,685.00000,459.00000,-13.00000,446.00000,94.00000,352.00000,,350.00000,,347.00000,576.00000,459.00000,342.00000,344.00000,1.01000,1.01000,0.76680,0.69040,2.62950,33.52870,13.45250,13.45250,13.07150,10.17000,0.18710,1.90750,1.95190,46.10790,10.89660,-6.91290,1.91890,3.37350,9.36440,1.13660,0.81100
2019-12-31,3223.00000,2135.00000,1088.00000,728.00000,728.00000,360.00000,-122.00000,238.00000,84.00000,154.00000,,152.00000,,145.00000,484.00000,360.00000,341.00000,343.00000,0.42000,0.42000,0.71810,0.68470,2.39050,33.75740,11.16970,11.16970,7.38440,4.49890,0.18350,1.74140,2.04510,44.00870,4.58660,-2.96700,0.86540,1.44640,9.70300,0.7239,0.2903
2019-09-30,3372.00000,2372.00000,1000.00000,737.00000,737.00000,263.00000,78.00000,341.00000,91.00000,250.00000,,248.00000,,247.00000,380.00000,263.00000,341.00000,342.00000,0.73000,0.72000,0.79560,0.70030,2.39480,29.65600,7.79950,7.79950,10.11270,7.32500,0.19270,1.97670,2.05230,43.85230,7.54260,-4.83810,1.41720,2.26050,9.64220,1.1798,0.767
