Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.92600,1.92600,3.47120,0.85470,,-2.39990,0.09170,-2.30820,-2.30820,-2.30820,,-2.30820,-2.39990,-2.39990,8.92320,8.92320,-0.26000,-0.26000,3.15260,,,100.00000,-124.60270,-124.60270,-119.84260,-119.84260,0.17650,2.58730,34.78520,-30.98430,-30.98420,-21.15600,-30.98420,0.83700,0.1347,0.1347
2024-06-30,1.16920,1.16920,2.33540,1.14190,,-2.30810,0.11540,-2.19270,-2.19270,-2.19270,,-2.19270,-2.30810,-2.30810,8.91820,8.91820,-0.25000,-0.25000,5.91970,,,100.00000,-197.39940,-197.39940,-187.53080,-187.53080,0.10010,0.46950,191.67500,-22.59850,-22.59850,-18.78100,-22.59850,1.09020,-0.3993,-0.3993
2024-03-31,1.24410,1.24410,2.57500,1.21810,,-2.54900,0.15620,-2.39280,-2.39280,-2.39280,,-2.39280,-2.54900,-2.54900,8.90200,8.90200,-0.27000,-0.27000,6.11720,,,100.00000,-204.89490,-204.89490,-192.33960,-192.33960,0.08830,0.67190,133.94170,-20.29840,-20.29840,-16.98010,-20.29840,1.32450,-0.43100,-0.43100
2023-12-31,1.05650,1.05650,2.61730,1.37700,,-2.93780,0.20130,-2.73650,-2.73650,-2.74010,-0.06290,-2.80310,-2.93780,-2.93780,8.80940,8.80940,-0.32000,-0.32000,5.57020,,,100.00000,-278.05980,-278.05980,-259.00330,-265.30800,0.06170,1.02790,87.55370,-19.49920,-19.49920,-15.99850,-19.49920,1.57890,-0.2718,-0.2718
2023-09-30,0.25760,0.25760,2.04500,1.41270,,-3.20000,0.21810,-2.98200,-2.98200,-2.98200,,-2.98200,-3.20000,-3.20000,8.82590,8.82590,-0.34000,-0.34000,7.01090,,0.02200,100.00000,-1242.22500,-1242.22500,-1157.56700,-1157.56700,0.01320,3.09200,29.10710,-17.84850,-17.84850,-15.30270,-17.84850,1.89850,-0.1232,-0.1232
2023-06-30,0.76270,0.76270,2.37800,2.51870,,-4.13410,0.03510,-4.09900,-4.09900,-4.09900,6.61480,2.51580,-4.13410,-4.13410,8.79900,8.79900,0.29000,0.29000,7.51680,,,100.00000,-542.05940,-542.05940,-537.45980,329.87120,0.03470,0.43680,206.05430,-21.53420,-21.53420,-18.66940,-21.53420,2.16300,-0.796,-0.796
2023-03-31,1.23430,1.23430,3.37650,2.16730,,-4.30950,0.08470,-4.22480,-4.22480,-4.22480,-0.74280,-4.96760,-4.30950,-4.30950,8.72100,8.72100,-0.57000,-0.57000,2.09700,,,100.00000,-349.13340,-349.13340,-342.27510,-402.44920,0.04420,0.59260,151.87090,-26.54900,-26.54890,-15.12050,-26.54890,1.80830,-0.67520,-0.67520
2022-12-31,0.75910,0.75910,-1.57340,1.23380,,1.09870,-0.00470,1.09410,1.09410,1.09410,-4.95050,-3.85640,1.09870,1.09870,8.35100,8.35100,-0.45000,-0.45000,2.13570,,,100.00000,144.73410,144.73400,144.11700,-507.99590,0.02210,0.31600,284.76900,5.58160,5.58160,3.17830,5.58160,2.33350,-0.7577,-0.7577
2022-09-30,0.99960,0.99960,3.59190,3.23410,,-5.82650,0.09980,-5.72670,-5.72670,-5.72670,-1.19290,-6.91960,-5.82650,-5.82650,8.35990,8.35990,-0.83000,-0.83000,1.98670,,,100.00000,-582.89590,-582.89590,-572.91660,-692.25520,0.02430,0.59460,151.35660,-25.33750,-25.33750,-13.92870,-25.33750,2.70360,-0.9144,-0.9144
2022-06-30,0.79050,0.79050,2.92390,3.13520,,-5.26850,0.03580,-5.23280,-5.23280,-5.23280,-4.01140,-9.24420,-5.26850,-5.26850,8.35900,8.35900,-1.11000,-1.11000,2.17280,,,100.00000,-666.47490,-666.47490,-661.94790,-1169.39800,0.01510,1.25950,71.45610,-18.67090,-18.67090,-10.00150,-18.67090,3.35240,-0.0866,0.2085
