Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.33920,0.11340,0.22590,1.02290,-0.72910,1.91540,-1.68960,-0.40900,-2.09860,-2.09860,-2.09860,-2.09850,-1.52620,-1.68960,44.37300,45.13530,-0.05000,-0.05000,1.03050,0.07400,0.22760,66.58260,-498.07950,-498.07950,-618.63420,-618.62650,0.00990,1.97480,45.57510,-9.30500,63.59450,-6.13780,-8.61650,0.49490,-0.0266,-0.0269
2024-06-30,0.06240,0.01830,0.04410,0.60660,-0.57850,1.25430,-1.21030,-0.26800,-1.47830,-1.47830,-1.47830,-1.47830,-1.14090,-1.21030,44.22490,44.22490,-0.03000,-0.03000,3.29910,,,70.73120,-1940.99100,-1940.99100,-2370.87500,-2370.90300,0.00250,1.81630,49.55170,-6.65660,-60.19940,-6.00040,-6.65660,0.50110,-0.0231,-0.0231
2024-03-31,0.02040,0.01820,0.00220,0.49630,-0.74200,1.30970,-1.30750,-0.11150,-1.41900,-1.41900,-1.41900,-1.41900,-1.23600,-1.30750,44.12210,44.12210,-0.03000,-0.03000,5.30310,,,10.65800,-6401.14600,-6401.14600,-6947.24900,-6946.93100,0.00080,1.67880,53.60960,-6.09300,-34.76620,-5.59290,-6.09300,0.52780,-0.03460,-0.03280
2023-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0275,0.0133
2023-10-31,0.03350,0.03040,0.00310,0.30830,-3.87720,4.19340,-4.19030,-0.06260,-4.25290,-4.25290,-4.25290,-4.25290,-4.14230,-4.19030,42.52210,42.52210,-0.10000,-0.10000,0.86730,0.01760,0.01900,9.26210,-12523.71000,-12523.71000,-12710.68000,-12710.72000,0.00200,1.65310,54.44280,-30.91680,3212.28400,-25.79230,-30.37150,0.32350,0.0389,0.0481
2023-09-30,0.05900,0.03040,0.02870,0.30300,-0.43980,0.75750,-0.72880,-0.04880,-0.77760,-0.77760,-0.77760,-0.77780,-0.71420,-0.72880,42.52210,42.52210,-0.02000,-0.02000,,,,48.56160,-1234.86000,-1234.86000,-1317.48700,-1317.81500,,,,,,,,,-0.0545,-0.0493
2023-07-31,0.06770,0.04160,0.02610,0.30530,-0.28020,0.60690,-0.58080,5.42390,4.84310,4.84310,4.84310,4.84300,-0.56620,-0.58080,40.43920,40.43920,0.12000,0.12000,2.09940,0.01350,0.08240,38.51390,-857.62900,-857.62900,7151.61400,7151.41200,0.00340,2.35240,38.25870,26.89340,116.11790,23.98690,26.52950,,0.0436,0.0439
2023-06-30,0.05480,0.03040,0.02440,0.35380,-0.43190,0.80900,-0.78450,5.43900,4.65450,4.65450,4.65450,4.65420,-0.76130,-0.78450,42.52240,42.52240,0.11000,0.11000,,,,44.47630,-1430.95200,-1430.95200,8489.35100,8488.92700,0.00390,1.90370,47.27600,179017.50000,16161.30000,32.86160,179017.50000,,-0.0555,-0.056
2023-04-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0388,0.0391
2023-03-31,0.11150,0.07080,0.04070,0.29330,-0.49330,0.83450,-0.79390,-0.07100,-0.86490,-0.86490,-0.86490,-0.86470,-0.74590,-0.79390,40.83910,40.83910,-0.02000,-0.02000,0.01520,,2250.00000,36.49680,-712.32380,-712.32380,-776.04770,-775.87640,0.00780,1.25230,71.87020,-33265.88000,15.01320,-6.08070,-33265.88000,,-0.03880,-0.03910
