Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.12300,0.39400,-0.27100,8.76200,3.41400,12.17600,-12.44700,-0.12700,-12.57400,-12.57400,-12.57400,-12.57400,-12.29900,-12.44700,80.95800,66.58600,-0.16000,-0.19000,1.44030,,1.79130,-220.32520,-10119.51000,-10119.51000,-10222.76000,-10222.76000,0.00220,0.19900,452.19510,-73.04510,-73.04520,-22.66970,-73.04520,,-0.1047,-0.1092
2024-06-30,0.40900,0.44800,-0.03900,7.91400,3.66100,11.57500,-11.61400,-0.13200,-11.74600,-11.74600,-11.74600,-11.74600,-11.46700,-11.61400,80.57900,64.20400,-0.15000,-0.19000,1.68080,,1.17530,-9.53550,-2839.60900,-2839.60900,-2871.88300,-2871.88300,0.00650,0.58930,152.71390,-46.04290,-46.04290,-18.54880,-46.04290,,-0.126,-0.1282
2024-03-31,0.13700,0.40300,-0.26600,9.39700,3.09700,12.49400,-12.76000,-0.04500,-12.80500,-12.80500,-12.80500,-12.80500,-12.61800,-12.76000,78.17600,62.57400,-0.16000,-0.21000,6.15060,,,-194.16060,-9313.86900,-9313.86900,-9346.71600,-9346.71600,0.00330,0.16000,562.33580,-38.38310,-38.38310,-30.45470,-38.38310,,-0.13390,-0.13520
2023-12-31,0.34700,0.53600,-0.18900,8.44600,3.46200,11.90800,-12.09700,2.81200,-9.28500,-9.28500,-9.28500,-9.28500,-11.95500,-12.09700,72.02200,62.39000,-0.11000,-0.13000,7.63740,,,-54.46690,-3486.16700,-3486.16700,-2675.79300,-2675.79300,0.00690,0.27580,326.28240,-22.05830,-22.05830,-18.39160,-22.05830,,-0.1141,-0.1152
2023-09-30,0.47900,0.36400,0.11500,8.42100,3.25700,11.67800,-11.56300,-0.13400,-11.69700,-11.69700,-11.69700,-11.69700,-11.42400,-11.56300,77.47400,67.28600,-0.15000,-0.18000,10.09460,,,24.00840,-2413.98700,-2413.98700,-2441.96200,-2441.96200,0.00890,0.27120,331.81630,-24.57510,-24.57510,-21.67960,-24.57510,,-0.0621,-0.0628
2023-06-30,0.28900,0.29200,-0.00300,9.09100,3.49200,12.58300,-12.58600,-0.02500,-12.61100,-12.61100,-12.61100,-12.61100,-12.44700,-12.58600,67.76300,56.45000,-0.19000,-0.23000,10.48080,,,-1.03810,-4355.01800,-4355.01800,-4363.66700,-4363.66700,0.00460,0.14170,635.29410,-22.79980,-22.79980,-20.16470,-22.79980,,-0.1883,-0.1895
2023-03-31,0.35500,0.31600,0.03900,8.12400,2.55400,10.67800,-10.63900,0.73200,-9.90700,-9.90700,-9.90700,-9.90700,-10.50200,-10.63900,64.67200,58.96900,-0.15000,-0.17000,6.51070,,,10.98590,-2996.90200,-2996.90200,-2790.70400,-2790.70400,0.00700,0.17000,529.35210,-23.86540,-23.86540,-19.49540,-23.86540,,-0.17270,-0.17360
2022-12-31,0.14900,0.21700,-0.06800,10.82800,3.22000,14.04800,-14.11600,3.00400,-11.11200,-11.11200,-11.11200,-11.11200,-13.98400,-14.11600,63.49000,60.96100,-0.18000,-0.34000,5.63390,,,-45.63760,-9473.82600,-9473.83000,-7457.71900,-7457.71900,0.00240,0.06770,1330.06700,-22.79240,-22.79240,-18.26730,-22.79250,0.75990,-0.1646,-0.1707
2022-09-30,1.25600,0.34500,0.91100,8.56600,3.23700,11.80300,-10.89200,0.95900,-9.93300,-9.93300,-9.93300,-9.93300,-10.76000,-10.89200,63.62300,63.62300,-0.16000,-0.16000,9.42890,,,72.53190,-867.19740,-867.19740,-790.84390,-790.84390,0.01810,0.59980,150.04780,-17.31910,-17.31910,-14.27980,-17.31910,0.90010,-0.125,-0.1257
2022-06-30,1.23600,0.33700,0.89900,9.53400,3.45000,12.98400,-12.08500,0.49200,-11.59300,-11.59300,-11.59300,-11.59300,-11.97300,-12.08500,63.28700,63.28700,-0.18000,-0.18000,9.54220,,,72.73460,-977.75090,-977.75090,-937.94510,-937.94510,0.01590,1.21300,74.19900,-17.86530,-17.86540,-14.94560,-17.86540,,-0.1662,-0.1707
