Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,75.16100,36.72500,38.43600,2.16500,37.21000,39.37500,-0.93900,3.52200,2.58300,1.43300,1.15000,1.15000,1.03700,-0.93900,-0.93900,10.77120,11.23980,0.10000,0.09000,0.24160,,51.13820,-1.24930,-1.24930,3.43660,1.37970,0.44440,,26.45580,3.40190,-0.53800,-0.51820,0.68000,-0.53800,,0,0
2023-03-31,56.07500,26.80700,29.26800,2.20300,35.63100,37.83400,-8.56600,0.11400,-8.45200,-1.18200,-7.27000,-7.27000,-7.31600,-8.56600,-8.56600,10.76000,10.76000,-0.68000,-0.68000,0.24480,-0.03210,52.19440,-15.27600,-15.27600,-15.07270,-13.04680,0.29740,,6.52190,13.79970,3.20950,3.09070,-3.85520,3.20950,,0.00000,
2022-12-31,72.18000,30.08100,42.09900,3.87300,39.36800,43.24100,-1.14200,0.62000,-0.52200,2.47400,-2.99600,-2.99600,-3.10600,-1.14200,-1.14200,54.65720,57.73070,0.02000,0.00000,0.25120,-0.03450,58.32500,-1.58210,-1.58210,-0.72320,-4.30310,0.37220,,7.24340,12.42520,1.37150,1.31870,-1.54500,1.37150,-4.06230,-0.0691,-0.1645
2022-09-30,90.43500,40.63900,49.79600,2.06900,44.77500,46.84400,2.95200,0.58500,3.53700,-0.39200,3.92900,3.92900,3.89900,2.95200,2.95200,10.88800,11.43400,0.36000,0.34000,0.20410,-0.01110,55.06280,3.26420,3.26420,3.91110,4.31140,0.46980,,8.99760,10.00270,-1.87200,-1.79870,2.04120,-1.87200,,0,0
2022-06-30,96.86600,40.65400,56.21200,1.92200,47.12100,49.04300,7.16900,0.07200,7.24100,0.08700,7.15400,7.15400,7.12600,7.16900,7.16900,10.94900,11.12100,0.65000,0.64000,0.22230,-0.02100,58.03070,7.40090,7.40090,7.47530,7.35660,0.43890,,9.46790,9.50580,-3.14810,-3.02590,3.24160,-3.14810,,0,0
2022-03-31,98.35600,41.73800,56.61800,2.57900,49.52900,52.10800,4.51000,0.61200,5.12200,0.85200,4.27000,4.27000,4.19000,4.51000,4.51000,11.13530,11.32080,0.08000,0.07000,0.20910,-0.02040,57.56440,4.58540,4.58540,5.20760,4.26000,0.40830,,11.07240,8.12830,-1.72560,-1.65990,1.77250,-1.72560,,0.00000,
2021-12-31,107.37100,53.74800,53.62300,5.47200,58.51600,63.98800,-10.36500,0.55800,-9.80700,19.68100,-29.48800,-29.48800,-29.47300,-10.36500,-10.36500,56.26100,56.26100,2.68000,2.68000,0.21070,-0.01880,49.94180,-9.65340,-9.65340,-9.13380,-27.44970,0.41680,,14.12030,6.37380,11.80060,11.35360,-11.44580,11.80060,-4.41500,0.024,0.0725
2021-09-30,95.47400,46.87100,48.60300,4.12100,58.22400,62.34500,-13.74200,0.28900,-13.45300,1.24100,-14.69400,-14.69400,-14.40000,-13.74200,-13.74200,11.30310,11.30310,-1.25000,-1.25000,0.20260,-0.01100,50.90710,-14.39340,-14.39340,-14.09080,-15.08260,0.33500,,12.69600,7.08880,6.69190,6.40460,-5.15530,6.69190,,0,0
2021-06-30,90.18000,44.58700,45.59300,3.62700,56.02000,59.64700,-14.05400,0.27600,-13.77800,-1.90200,-11.87600,-11.87600,-12.15100,-14.05400,-14.05400,11.25140,11.25140,-1.10000,-1.10000,0.20920,,50.55780,-15.58440,-15.58440,-15.27830,-13.47420,0.31200,,13.37390,6.72950,5.79530,5.52650,-4.10930,5.79530,,0,0
2021-03-31,81.47200,43.32300,38.14900,3.42900,54.48100,57.91000,-19.76100,0.03700,-19.72400,-1.12200,-18.60200,-18.60200,-18.44300,-19.76100,-19.76100,11.13420,11.13420,-1.65000,-1.65000,0.18100,,46.82470,-24.25500,-24.25500,-24.20960,-22.63720,0.28700,,16.05360,5.60620,9.73350,9.25130,-6.55300,9.73350,,0.00000,
