Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9.01200,4.87700,4.13500,0.66900,8.42600,,9.09500,-4.96000,-0.70600,-5.66600,0.00300,-5.66900,-5.66900,-5.66900,-4.64800,-4.96000,5.77400,5.77400,-0.98000,-0.98000,1.53470,,45.88330,-55.03770,-55.03770,-62.87170,-62.90500,0.48670,0.74730,1.84900,48.67510,-102.51340,-103.24160,-30.61680,-102.51350,0.84690,-0.0224,-0.0222
2024-06-30,7.83900,4.34200,3.49700,0.62100,7.94700,,8.56800,-5.07100,4.83400,-0.23700,0.02000,-0.25700,-0.25700,-0.25700,-4.76200,-5.07100,5.09140,5.09140,-0.05000,-0.05000,1.88510,0.02710,44.61030,-64.68940,-64.68940,-3.02330,-3.27850,0.36340,1.10040,2.23720,40.22960,-2.35540,-3.03670,-1.19120,-2.35540,2.14190,-0.6625,-0.6486
2024-03-31,7.91200,4.11600,3.79600,0.01700,9.24600,,9.26300,-5.46700,-4.96900,-10.43600,0.00100,-10.43700,-10.43700,-10.43700,-5.16000,-5.46700,3.62360,3.62360,-2.88000,-2.88000,1.43600,-1.27570,47.97780,-69.09760,-69.09760,-131.90090,-131.91360,0.32200,0.59610,2.14360,41.98560,192.70680,237.09690,-42.47000,565.38460,-0.36270,-0.91760,-0.93330
2023-12-31,10.59400,5.36800,5.22600,0.03300,9.05900,,9.09200,-3.86600,7.38600,3.52000,-0.00600,3.52600,3.52600,3.52600,-3.57100,-3.86600,1.54630,1.54630,4.45000,4.45000,1.27570,0.81450,49.32980,-36.49230,-36.49230,33.22640,33.28300,0.37930,0.49210,2.05230,43.85310,73.56560,162.93900,12.62350,73.56560,3.15740,-4.3728,-4.3657
2023-09-30,8.89600,4.59000,4.30600,0.03300,8.69300,-0.20000,8.92600,-4.62000,-1.72100,-6.34100,0.00100,-6.34200,-6.34200,-6.34200,-4.36900,-4.62000,1.36680,1.36680,-4.64000,-4.64000,1.01670,1.63490,48.40380,-51.93350,-51.93350,-71.27920,-71.29050,0.26080,0.28570,1.36740,65.82060,-610.98600,377.49960,-18.59610,-610.98270,0.75880,-1.4201,-1.4201
2023-06-30,5.84800,2.88800,2.96000,0.01100,11.54800,-0.10000,11.65900,-8.69900,-1.12400,-9.82300,0.01400,-9.83700,-9.83700,-9.83700,-8.44700,-8.69900,1.36070,1.36070,-7.23000,-7.23000,1.27390,0.15420,50.61560,-148.75170,-148.75170,-167.97200,-168.21130,0.15850,0.19530,0.94410,95.32490,-137.13920,-226.13800,-26.65490,-137.13930,5.24340,-7.5435,-7.5433
2023-03-31,8.73300,4.59800,4.13500,,9.82700,0.20000,9.62700,-5.49200,-1.98100,-7.47300,0.00500,-7.47800,-7.47800,-7.47800,-5.22600,-5.49200,1.33500,1.33500,-5.60000,-5.60000,1.82020,,47.34910,-62.88790,-62.88790,-85.57200,-85.62920,0.20810,0.68940,1.11020,81.06490,-44.64210,-54.09430,-17.81960,-44.64210,12.54800,-2.76340,-2.77390
2022-12-31,10.14400,5.25600,4.88800,,10.20800,-0.30000,10.50800,-5.62000,2.83600,-2.78400,0.00100,-2.78500,-2.78500,-2.78500,-4.84200,-5.62000,1.05700,1.05700,-4.05000,-3.85000,2.06470,,48.18610,-55.40230,-55.40230,-27.44480,-27.45470,0.19940,0.73330,1.36970,65.70780,-11.66350,-13.35990,-5.47320,-11.66350,17.88610,-8.3485,-8.352
2022-09-30,4.32200,2.22500,2.09700,,7.93600,2.20000,5.73600,-3.63900,1.07400,-2.56500,0.00100,-2.56600,-2.56600,-2.56600,-3.50800,-3.63900,1.13630,1.13630,-2.26000,-2.26000,2.82870,,48.51920,-84.19710,-84.19710,-59.34750,-59.37070,0.07850,0.18410,0.85330,105.47200,-11.35650,-13.18670,-4.66050,-11.35650,19.18810,-4.8659,-4.8602
2022-06-30,4.45700,2.55400,1.90300,,10.01500,1.90000,8.11500,-6.21200,5.36200,-0.85000,,-0.85000,-0.85000,-0.85000,-6.08000,-6.21200,0.94120,0.94120,-0.90000,-0.90000,3.15820,,42.69690,-139.37630,-139.37630,-19.07110,-19.07110,0.08310,0.29000,0.88330,101.89370,-4.93240,-6.07490,-1.58510,-4.93240,18.12950,0.3542,0.3218
2022-03-31,9.75100,5.15000,4.60100,,7.71100,,7.71100,-3.11000,8.70100,5.59100,0.03000,5.56100,5.56100,5.56100,-2.97900,-3.11000,0.85520,0.85670,6.60000,6.40000,3.44130,,47.18490,-31.89420,-31.89420,57.33770,57.03000,0.19820,1.05710,0.70360,127.90690,31.93040,39.52100,11.30240,31.93040,20.36360,-2.46540,-2.47120
2021-12-31,9.16700,4.77300,4.39400,,9.28900,3.10000,6.27500,-1.88100,-12.62000,-14.50100,0.00500,-14.50600,-14.50600,-14.50600,-1.75000,-1.88100,0.44040,0.44040,-27.60000,-27.60000,3.35510,,47.93280,-20.51920,-20.51920,-158.18700,-158.24150,0.17230,1.07070,0.73740,122.04540,-127.94150,-183.89960,-27.25720,-127.94140,13.25690,-46.3467,-46.3666
2021-09-30,4.33400,2.29000,2.04400,,17.25000,-0.70000,18.14900,-16.10500,0.09900,-16.00600,0.00600,-16.01200,-16.01200,-16.01200,-15.97100,-16.10500,0.40000,0.40000,-40.00000,-40.00000,0.89780,,47.16200,-371.59670,-371.59670,-369.31240,-369.45080,0.28230,0.42100,2.11830,42.48730,92.12890,76.48440,-104.28550,92.12890,-43.45000,-3.0425,-3.04
2021-06-30,5.85500,3.10800,2.74700,,5.74800,-0.50000,6.43400,-3.68700,0.07000,-3.61700,0.04400,-3.66100,-3.66100,-3.66100,-3.55000,-3.68700,0.40000,0.40000,-9.20000,-9.20000,,,46.91720,-62.97180,-62.97180,-61.77630,-62.52780,,,,,,,,,,-2.6625,-2.67
2021-03-31,4.74400,2.57100,2.17300,,4.92200,-0.49800,5.70100,-3.52800,-0.00500,-3.53300,0.00100,-3.53400,-3.53400,-3.53400,-3.39000,-3.52800,0.40000,0.40000,-8.80000,-8.80000,,,45.80520,-74.36760,-74.36760,-74.47300,-74.49410,,,,,,,,,,-8.60750,-8.60750
2020-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2020-09-30,3.25200,1.01300,2.23900,,4.30200,-0.10000,4.58300,-2.34400,-0.58000,-2.92400,0.06100,-2.98500,-2.98500,-2.98500,-2.34400,-2.34400,0.00010,0.00010,-59693.40000,-59693.40000,,,68.84990,-72.07870,-72.07870,-89.91390,-91.78970,,,,,,,,,,0,0
