Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.32600,0.12600,0.20000,2.88900,2.50900,,5.39800,-5.19800,-0.83800,-6.03600,-6.03600,-6.03600,-5.88200,-5.13300,-5.19800,5.45900,5.45900,-1.08000,-1.08000,5.89830,1.00250,-402.61900,61.34970,-1594.47900,-1594.47900,-1851.53400,-1804.29400,0.00920,,,9582.51800,9580.99400,-17.03060,-23.85580,-0.01140,-0.74450,-0.78260
2024-06-30,0.09600,,0.09600,3.39500,2.73100,,,-6.03400,0.17200,-5.86200,-5.86200,-5.86200,-5.72900,-5.97300,-6.03400,5.24000,5.24000,-1.06000,-1.06000,6.98410,0.81610,4.43710,95.83330,-6285.41900,-6285.41800,-6106.25300,-5967.70900,0.00240,,,-108.25470,-108.25490,-14.83040,-19.91030,1.00130,-0.8135,-0.8153
2024-03-31,0.07100,,0.07100,3.09400,2.51100,,,-5.53400,0.14400,-5.39000,-5.39000,-5.39000,-5.29300,-5.47300,-5.53400,5.22100,5.22100,-1.01000,-1.01000,6.04660,0.92880,13.04340,100.00000,-7794.36600,-7794.36600,-7591.54900,-7454.92900,0.00200,,,-292.14380,-292.14070,-14.81180,-20.80280,0.35280,-0.7943,-0.8111
2023-12-31,0.10500,,0.10500,2.96400,2.35400,,,-5.21300,0.21900,-4.99400,-4.99400,-4.99400,-4.90500,-5.14900,-5.21300,5.19090,5.19090,-0.96000,-0.96000,7.11960,0.78670,3.68760,100.00000,-4964.76200,-4964.76200,-4756.19000,-4671.42900,0.00250,,,-75.47240,-75.47230,-12.01520,-16.10030,1.27010,-0.6975,-0.7207
2023-09-30,0.05400,,0.05400,2.99300,2.43800,,,-5.37700,0.27900,-5.09800,-5.09800,-5.09800,-4.96100,-5.31000,-5.37700,5.16600,5.16600,-0.96000,-0.96000,8.15780,0.67730,2.09930,100.00000,-9957.40600,-9957.40600,-9440.74100,-9187.03700,0.00120,,,-46.18590,-46.18590,-11.44540,-14.90210,2.13040,-1.13380,-1.15370
2023-06-30,0.11100,,0.11100,3.52300,3.12300,,,-6.54400,-0.06200,-6.60600,-6.60600,-6.60600,-6.45900,-6.46700,-6.54400,4.58200,4.58200,-1.28000,-1.28000,7.36680,0.60600,1.53790,91.89190,-5895.49600,-5895.49500,-5951.35300,-5818.91800,0.00220,,,-43.17650,-43.17650,-13.00470,-17.01260,2.96740,-0.9908,-1.015
2023-03-31,0.08700,,0.08700,4.16700,3.02000,,,-7.10000,-0.65800,-7.75800,-7.75800,-7.75800,-7.62400,-7.01200,-7.10000,4.99300,4.99300,-1.52000,-1.52000,8.68270,0.52790,1.11810,100.00000,-8160.92000,-8160.92000,-8917.24200,-8763.21900,0.00150,,,-37.15340,-37.15340,-13.79420,-17.54130,4.06720,-0.6503,-0.6494
2022-12-31,0.00200,,0.00200,3.78500,2.89600,,,-6.67900,-1.57500,-8.25400,-8.25400,-8.25400,-8.11700,-6.58200,-6.67900,4.14940,4.14940,-1.92000,-1.92000,9.48900,0.47600,0.90820,100.00000,-333950.00000,-333950.00000,-412699.90000,-405849.90000,0.00000,,,-33.06100,-33.06100,-13.77340,-17.32540,5.21610,-1.4779,-1.4939
2022-09-30,0.08700,,0.08700,4.27000,2.74000,,,-6.92300,0.65400,-6.26900,-6.26900,-6.26900,-6.12100,-6.82300,-6.92300,4.07040,4.07040,-1.52000,-1.52000,9.90890,0.43510,0.77030,100.00000,-7957.47200,-7957.47200,-7205.74800,-7035.63200,0.00150,,,-23.30400,-23.30400,-10.49140,-13.16380,6.59440,-1.86940,-1.88730
2022-06-30,,,,5.36100,3.52100,,,-8.88200,-0.20200,-9.08400,-9.08400,-9.08400,-9.00500,-8.74400,-8.88200,4.02400,4.02400,-2.16000,-2.16000,8.45610,0.40250,0.67350,,,,,,,,,-28.22350,-28.22350,-13.34610,-16.86470,7.92100,-2.1093,-2.1588
2022-03-31,0.23400,,0.23400,6.15600,4.55300,,,-10.47500,0.55700,-9.91800,-9.91800,-9.91800,-9.86500,-10.22400,-10.47500,4.03280,4.03280,-2.48000,-2.48000,8.22210,0.36350,0.57110,100.00000,-4476.49500,-4476.49500,-4238.46100,-4215.81200,0.00300,,,-24.70670,-24.70670,-12.53430,-15.72610,9.92960,-2.3182,-2.3274
2021-12-31,,,,6.50700,4.28800,,,-10.79500,-0.14500,-10.94000,-10.94000,-10.94000,-10.94000,-10.46800,-10.79500,4.01700,4.01700,-2.72000,-2.72000,6.26920,0.36760,0.58130,,,,,,,,,-27.45980,-27.45980,-13.47560,-17.36560,9.89050,-2.4461,-2.4533
