Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,289.93800,95.60000,194.33800,18.06600,109.94500,84.39300,-26.72000,57.67300,57.67300,,57.67300,,52.37800,177.68100,84.39300,117.83000,118.24400,0.44000,0.44000,0.47140,0.89170,29.10730,29.10730,19.89150,18.06520,0.02550,1.02830,1.02830,0.50680,0.54360,47.51110,1.4807,0.0151
2024-06-30,280.73100,93.40300,187.32800,18.95100,106.10200,81.22600,-26.67900,54.54700,54.54700,,54.54700,,49.21100,170.00300,81.22600,117.37500,117.66300,0.41000,0.41000,0.47610,0.90880,28.93370,28.93370,19.43030,17.52960,0.02430,0.96810,0.96810,0.47250,0.50720,47.99810,0.7574,-0.2161
2024-03-31,278.58100,91.59000,186.99100,17.57900,105.61000,81.38100,-25.68100,55.70000,55.70000,,55.70000,,49.92000,168.67700,81.38100,117.33800,117.96100,0.42000,0.42000,0.47570,0.90740,29.21270,29.21270,19.99420,17.91940,0.02400,0.98710,0.98710,0.48020,0.51750,48.07810,1.42310,0.56280
2023-12-31,269.01600,86.24700,182.76900,22.07800,108.09410,74.67490,-21.62900,53.04590,53.04590,,53.04590,,46.05100,164.95690,74.67490,117.16000,117.50600,0.40000,0.40000,0.46550,0.87080,27.75850,27.75850,19.71850,17.11830,0.02360,0.93730,0.93730,0.46530,0.50100,48.27440,0.9377,-0.2209
2023-09-30,283.59400,92.05000,191.54400,24.76100,109.98500,81.55900,-22.82200,58.73700,58.73700,,58.73700,,52.76200,172.92400,81.55900,117.18500,117.49500,0.45000,0.45000,0.46540,0.87070,28.75910,28.75910,20.71170,18.60480,0.02470,1.03640,1.03640,0.51200,0.55400,48.34120,1.7744,0.5151
2023-06-30,284.28200,87.02400,197.25800,22.65900,113.02100,84.23700,-22.96200,61.27500,61.27500,,61.27500,,55.58700,177.05400,84.23700,117.15500,117.36000,0.47000,0.47000,0.43780,0.77860,29.63150,29.63150,21.55430,19.55350,0.02610,1.08110,1.08110,0.56160,0.60790,48.36740,0.8648,-0.3119
2023-03-31,292.80200,85.74900,207.05300,23.93600,117.61200,89.44100,-24.21100,65.23000,65.23000,,65.23000,,56.60800,186.48400,89.44100,117.05900,117.40700,0.48000,0.48000,0.43750,0.77790,30.54660,30.54660,22.27790,19.33320,0.02670,1.15000,1.15000,0.59470,0.64680,48.43220,1.55130,0.51780
2022-12-31,284.34410,85.97000,198.37410,25.21700,116.61290,81.76120,-22.28600,59.47510,59.47510,,59.47510,,51.35300,173.67920,81.76110,116.80700,117.22000,0.45000,0.44000,0.42900,0.75120,28.75430,28.75430,20.91660,18.06020,0.02630,1.04800,1.04800,0.55080,0.59850,48.55460,0.9221,-0.3269
2022-09-30,275.95800,82.27600,193.68200,23.52400,104.66400,89.01800,-2.35800,86.66000,86.66000,,86.66000,,79.75700,171.82500,89.01800,116.87300,117.24200,0.68000,0.68000,0.41730,0.71620,32.25780,32.25780,31.40330,28.90190,0.02600,1.52580,1.52580,0.81600,0.88900,48.59620,1.7498,0.9482
2022-06-30,271.18400,78.67800,192.50600,22.12000,118.53500,73.97100,-19.99600,53.97500,53.97500,,53.97500,,47.10500,171.48000,73.97100,116.82200,117.18500,0.40000,0.40000,0.41850,0.71970,27.27710,27.27710,19.90350,17.37010,0.02580,0.95490,0.95490,0.51330,0.55530,48.36570,0.8542,-0.3675
2022-03-31,265.50100,74.13300,191.36800,22.78100,111.44100,79.92700,-20.54400,59.38300,59.38300,,59.38300,,53.12800,167.51100,79.92700,116.65000,117.06000,0.45000,0.45000,0.41800,0.71810,30.10420,30.10420,22.36640,20.01050,0.02510,1.04810,1.04810,0.56210,0.61000,48.54310,1.52620,0.07930
2021-12-31,261.08500,69.93800,191.14700,23.26700,110.57610,80.57090,-25.44500,55.12590,55.12590,,55.12590,,46.50100,168.32790,80.57090,116.42900,116.94900,0.41000,0.40000,0.41690,0.71510,30.86000,30.86000,21.11420,17.81070,0.02470,0.96880,0.96880,0.52090,0.56490,48.85520,0.9311,-0.0166
2021-09-30,232.32600,67.50100,164.82500,22.99000,96.20300,68.62200,-15.12900,53.49300,53.49300,,53.49300,,47.02800,145.97100,68.62200,116.45700,116.96300,0.40000,0.40000,0.40810,0.68940,29.53700,29.53700,23.02500,20.24220,0.02220,0.94000,0.94000,0.51080,0.55640,48.86260,1.633,-4.672
2021-06-30,225.98300,65.49700,160.48600,24.50700,98.09600,62.39000,-19.51000,42.88000,42.88000,,42.88000,,35.46800,140.58900,62.39000,116.45200,116.91700,0.30000,0.30000,0.40800,0.68910,27.60830,27.60830,18.97490,15.69500,0.02170,0.75310,0.75310,0.41090,0.44590,48.89030,0.6173,-5.4875
2021-03-31,235.64600,66.64500,169.00100,21.98500,97.91700,71.08400,436.32700,507.41090,507.41090,,507.41090,,497.63100,150.30200,71.08400,116.34400,116.80100,4.27000,4.26000,0.40760,0.68800,30.16560,30.16560,215.32760,211.17740,0.02270,8.89740,8.89740,4.88630,5.27110,48.97290,1.23420,8.18830
2020-12-31,229.33200,66.21000,163.12200,23.08500,96.07500,67.04700,16.40500,83.45200,83.45200,,83.45200,,76.95500,140.93100,67.04700,113.24100,113.72000,0.67000,0.67000,0.42640,0.74350,29.23580,29.23580,36.38910,33.55620,0.02290,1.58130,1.58130,0.83450,0.90700,45.48000,0.8594,0.2137
