Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.23200,2.48900,3.74300,3.14000,3.14000,0.60300,0.60300,0.08800,0.51500,0.51500,0.51500,2.93650,3.00730,0.18000,0.17000,1.19890,17.32760,14.79890,0.00780,0.97700,0.98010,0.11550,0.97700,16.80870,0.289,0.269
2024-06-30,6.07400,2.49800,3.57600,3.17800,3.17800,0.39800,0.39800,0.05000,0.34800,0.34800,0.34800,2.96210,3.00730,0.12000,0.12000,1.37540,11.52960,10.08110,0.00760,0.67210,0.67470,0.07710,0.67210,16.40530,0.1521,0.1029
2024-03-31,1.85600,2.45500,-0.59900,2.79400,2.79400,-3.39300,-3.39300,-0.70800,-2.68500,-2.68500,-2.68500,2.97000,3.01300,-0.90000,-0.90000,1.48680,1053.72700,833.85080,-0.00070,-5.21650,-5.24000,-0.57890,-5.21650,16.14520,0.23030,-0.09690
2023-12-31,5.77400,2.38200,3.39200,3.79000,3.79000,-0.39800,-0.39800,-0.06600,-0.33200,-0.33200,-0.33200,3.06300,3.06300,-0.11000,-0.11000,1.43220,-12.25370,-10.22170,0.00720,-0.61840,-0.62140,-0.07340,-0.61840,16.90990,-0.225,-0.6267
2023-09-30,5.56800,2.13200,3.43600,2.86300,2.86300,0.57300,0.57300,0.11700,0.45600,0.45600,0.45600,3.05550,3.05550,0.15000,0.15000,1.49060,16.81830,13.38420,0.00780,0.85630,0.86110,0.10440,0.85630,16.40570,0.4934,0.1278
2023-06-30,5.04900,1.88600,3.16300,2.97200,2.97200,0.19100,0.19100,0.03100,0.16000,0.16000,0.16000,3.13180,3.13180,0.05000,0.05000,1.31970,6.22150,5.21170,0.00710,0.29380,0.29560,0.03700,0.29380,16.38580,0.329,-0.3969
2023-03-31,2.93900,1.51400,1.42500,2.72800,2.72800,-1.30300,-1.30300,-0.28600,-1.01700,-1.01700,-1.01700,3.08900,3.08900,-0.33000,-0.33000,1.12410,-97.60300,-76.17980,0.00320,-1.83410,-1.84650,-0.24330,-1.83410,16.43420,0.14960,-0.18580
2022-12-31,4.14200,0.93700,3.20500,2.70200,2.70200,0.50300,0.50300,0.09500,0.40800,0.40800,0.40800,3.02800,3.02800,0.13000,0.13000,1.11860,16.11150,13.06850,0.00750,0.73030,0.73550,0.09780,0.73030,16.94570,0.1927,0.1817
2022-09-30,3.69600,0.44700,3.24900,2.58400,2.58400,0.66500,0.66500,0.12600,0.53900,0.53900,0.53900,3.02950,3.02950,0.18000,0.18000,0.62950,20.77480,16.83850,0.00850,0.96900,0.97660,0.14350,0.96900,16.87200,0.3101,0.2656
2022-06-30,3.37600,0.44100,2.93500,2.40500,2.40500,0.53000,0.53000,0.11400,0.41600,0.41600,0.41600,3.01560,3.01560,0.14000,0.14000,0.47170,18.28850,14.35470,0.00780,0.73960,0.74580,0.11130,0.73960,17.26490,0.307,0.3035
2022-03-31,3.22000,0.45800,2.76200,2.28300,2.28300,0.47900,0.47900,0.08800,0.39100,0.39100,0.39100,3.01030,3.01030,0.13000,0.13000,0.46580,17.59740,14.36440,0.00740,0.67330,0.67910,0.10600,0.67330,17.82570,0.22360,0.15810
2021-12-31,3.15700,0.48800,2.66900,2.33900,2.33900,0.33000,0.33000,0.04400,0.28600,0.28600,0.28600,3.00200,3.00200,0.24000,0.24000,0.45850,12.39200,10.73980,0.00730,0.47560,0.47990,0.07840,0.47560,18.45670,-1.0029,-1.0026
2021-09-30,3.06500,0.51600,2.54900,2.78300,2.78300,-0.23400,-0.23400,-0.03600,-0.19800,-0.19800,-0.19800,2.99960,2.99960,-0.07000,-0.07000,0.46370,-9.23080,-7.81070,0.00710,-0.32690,-0.33000,-0.05520,-0.32690,20.16280,1.5882,1.5422
2021-06-30,3.04300,0.54800,2.49500,2.27200,2.27200,0.22300,0.22300,0.03500,0.18800,0.18800,0.18800,,,,0.00000,0.93840,9.03930,7.62060,0.00700,0.59510,0.60670,0.05370,0.59510,,0,0
2021-03-31,2.98600,0.56400,2.42200,2.13000,2.13000,0.29200,0.29200,0.05000,0.24200,0.24200,0.24200,,,,0.00000,0.95120,12.06610,10.00000,0.00760,0.76200,0.77770,0.07650,0.76200,,0.00000,
2020-12-31,3.08100,0.59700,2.48400,2.92690,2.92690,-0.44290,0.00700,0.03870,-0.03170,-0.03100,-0.03100,,,,0.00000,0.96330,0.26400,-1.16890,0.00890,-0.09710,-0.09910,-0.01030,-0.09710,,0,0
2020-09-30,3.10500,0.60900,2.49600,2.25000,2.25000,0.24600,0.24600,0.03800,0.20800,0.20800,0.20800,0.00000,0.00000,0.00000,0.00000,,10.12350,8.55970,,,,,,,0,0
2020-06-30,3.17020,0.63700,2.53320,2.16030,2.16030,0.37290,0.37290,0.06440,0.30850,0.30850,0.30850,,,,0.00000,,15.58860,12.89580,,,,,,,0,0
2020-03-31,3.00260,0.66650,2.33610,2.01990,2.01980,0.31620,0.31620,0.05190,0.26440,0.26440,0.26440,,,,0.00000,,13.56290,11.33820,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
