Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.30200,0.30200,41.88100,15.25600,-56.83500,4.92500,-51.91000,,-51.91000,-51.91000,-51.91000,-58.74800,-56.83500,18.88500,18.88500,-2.75000,-2.75000,10.95670,100.00000,-18819.54000,-18819.54000,-17188.74000,-17188.74000,0.00070,-13.56540,-13.56540,-12.47070,-13.56540,21.51500,-1.4479,-1.4479
2024-06-30,0.35700,0.35700,27.26000,10.58500,-37.48800,4.81100,-32.67700,,-32.67700,-32.67700,-32.67700,-38.91200,-37.48800,18.82400,18.82400,-1.74000,-1.74000,17.29950,100.00000,-10500.84000,-10500.84000,-9153.22100,-9153.22100,0.00080,-7.79690,-7.79690,-7.40870,-7.79690,23.60330,-1.057,-1.057
2024-03-31,0.43100,0.43100,26.98400,15.33300,-41.88600,2.33300,-39.55300,,-39.55300,-39.55300,-39.55300,-41.85800,-41.88600,13.90400,13.90400,-2.84000,-2.84000,11.26980,100.00000,-9718.33000,-9718.33000,-9177.03100,-9177.03100,0.00170,-17.22070,-17.22070,-15.79540,-17.22070,17.32410,-1.50010,-1.50010
2023-12-31,0.51500,0.51500,18.38800,9.93300,-27.80600,0.92800,-26.87800,,-26.87800,-26.87800,-26.87800,-27.69500,-27.80600,6.59400,6.59400,1.99000,1.99000,5.38950,100.00000,-5399.22300,-5399.22300,-5219.03000,-5219.03000,0.00590,-38.57960,-38.57960,-30.56130,-38.57960,7.92410,-7.1987,-7.2063
2023-09-30,0.46800,0.46800,17.26000,8.72400,-25.51600,0.88400,-24.63200,,-24.63200,-24.63200,-24.63200,-25.40700,-25.51600,9.03900,9.03900,-2.72000,-2.72000,6.15330,100.00000,-5452.13700,-5452.13700,-5263.24800,-5263.24800,0.00440,-28.39230,-28.39230,-23.07990,-28.39230,10.11840,4.1239,4.1239
2023-06-30,0.78100,0.78100,25.61400,10.12700,-34.96000,0.64800,-34.31200,,-34.31200,-34.31200,-34.31200,-34.85200,-34.96000,4.64900,4.64900,-7.38000,-7.38000,5.31430,100.00000,-4476.31300,-4476.31300,-4393.34200,-4393.34200,0.00590,-32.48470,-32.48470,-25.70230,-32.48470,12.31980,-4.5008,-4.5008
2023-03-31,0.68300,0.68300,25.50400,13.27000,-38.09100,0.63600,-37.45500,,-37.45500,-37.45500,-37.45500,-37.94000,-38.09100,3.54000,3.54000,-10.58000,-10.58000,3.15560,100.00000,-5577.01300,-5577.01300,-5483.89500,-5483.89500,0.00690,-58.09860,-58.09860,-38.07060,-58.09860,16.67590,-9.27850,-9.27850
2022-12-31,,,28.32900,13.12400,-41.45300,0.28000,-41.17300,,-41.17300,-41.17300,-41.17300,-41.15200,-41.45300,3.07300,3.07300,-12.82840,-12.82840,3.22730,,,,,,,-54.09950,-54.09960,-35.76280,-54.09960,23.11850,-9.043,-9.042
2022-09-30,,,30.43900,13.85100,-44.29000,0.34500,-43.94500,,-43.94500,-43.94500,-43.94500,-43.97900,-44.29000,3.05310,3.05310,-14.39280,-14.39280,4.56520,,,,,,,-41.78750,-41.78750,-32.09960,-41.78750,33.64320,-14.5275,-14.5416
2022-06-30,,,43.62000,16.77400,-60.39400,0.20000,-60.19400,,-60.19400,-60.19400,-60.19400,-60.05200,-60.39400,3.03770,3.03770,-19.79010,-19.79010,4.55600,,,,,,,-43.34590,-43.34590,-33.36380,-43.34590,45.68280,-18.7984,-18.8344
2022-03-31,,,52.65200,16.19700,-68.84900,0.13200,-68.71700,,-68.71700,-68.71700,-68.71700,-68.38100,-68.84900,3.03180,3.03180,-22.63870,-22.63870,5.18480,,,,,,,-35.97330,-35.97330,-28.69140,-35.97330,62.93450,-17.84690,-17.94220
2021-12-31,,,43.51100,15.14600,-58.65700,0.07000,-58.58700,,-58.58200,-58.58200,-58.58200,-57.93100,-58.65700,2.83170,2.83170,-20.23990,-20.23990,7.47800,,,,,,,-23.35740,-23.35690,-20.01110,-23.35690,83.00700,-17.2643,-17.4611
2021-09-30,,,33.13900,11.63400,-44.77300,0.07300,-44.70000,0.00500,-44.70500,-44.70500,-44.70500,-44.09500,-44.77300,2.98250,2.98250,-14.99250,-14.99250,12.90050,,,,,,,-15.10700,-15.10700,-13.78050,-15.10700,99.06690,-6.6199,-6.769
2021-06-30,,,25.67800,10.80500,-36.48300,0.08200,-36.40100,,-36.40100,-36.40100,-36.40100,-35.90200,-36.48300,2.77270,2.77270,-13.19340,-13.19340,22.08070,,,,,,,-10.90600,-10.90600,-10.29700,-10.90600,111.96560,-10.0776,-10.1009
2021-03-31,,,17.92900,9.49000,-27.41900,0.04600,-27.37300,,-27.37300,-27.37300,-27.37300,-27.13500,-27.41900,2.56600,2.56600,-10.64470,-10.64470,20.27690,,,,,,,-10.30940,-10.30940,-9.80220,-10.30940,103.07180,-10.02410,-10.02570
2020-12-31,,,16.27200,9.44000,-25.71200,0.00600,-25.70600,,-25.70600,-25.70600,-26.65600,-25.69200,-25.71200,0.59700,0.59700,278.86060,278.86060,19.23190,,,,,,,-8.94260,-8.94260,-8.47890,-8.94260,112.61600,203.375,203.375
2020-09-30,,,12.78600,3.43100,-16.21700,0.00100,-16.21600,,-16.21600,-16.21600,-20.15900,-16.20700,-16.21700,0.11110,0.11110,-181.40930,-181.40930,11.15670,,,,,,,13.15560,13.15560,-13.56440,13.15560,-1104.61500,-122.4904,-122.4904
2020-06-30,,,9.05000,2.52000,-11.57000,0.00500,-11.56500,0.00300,-11.56800,-11.56800,-13.60700,-11.56000,-11.57000,0.10950,0.10950,-124.13790,-124.13790,,,,,,,,,,,,,-90.1707,-90.1707
