Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,37.53000,11.07700,26.45300,52.17700,52.17700,-25.72400,0.79500,-24.92900,0.02900,-24.95800,-24.95800,-15.90000,-23.79000,-25.72400,113.28700,113.28700,-0.14000,-0.14000,2.17840,,70.48500,-68.54250,-68.54250,-66.42420,-42.36610,0.35150,5.05520,17.80340,-36.80800,-42.00760,-23.37790,-36.80800,0.37590,-0.0267,-0.0428
2024-06-30,50.98400,17.49700,33.48700,48.71600,48.71600,-15.22900,0.86900,-14.36000,0.03800,-14.39800,-14.39800,-9.09300,-13.35600,-15.22900,109.92400,109.92400,-0.08000,-0.08000,3.20610,,65.68140,-29.87020,-29.87020,-28.16570,-17.83500,0.45800,7.03710,12.78930,-17.44160,-19.43370,-12.93310,-17.44160,0.46360,-0.0515,-0.0651
2024-03-31,53.72700,17.21200,36.51500,49.36800,49.36800,-12.85300,0.86100,-11.99200,0.02300,-12.01500,-12.01500,-7.44600,-11.06300,-12.85300,107.95100,107.95100,-0.07000,-0.07000,2.78440,,67.96400,-23.92280,-23.92280,-22.32030,-13.85900,0.44270,5.57800,16.13490,-14.10560,-15.69190,-9.90120,-14.10560,0.48480,0.04030,0.01970
2023-12-31,55.08400,15.81400,39.27000,49.44500,49.44500,-10.17500,0.94700,-9.22800,0.01200,-9.24000,-9.24000,-5.65500,-8.46600,-10.17500,97.15700,97.15700,-0.04000,-0.04000,2.66920,,71.29110,-18.47180,-18.47180,-16.75260,-10.26610,0.44160,3.57730,25.15830,-10.79360,-12.02690,-7.40720,-10.79360,0.49290,-0.0519,-0.0824
2023-09-30,40.29600,11.10800,29.18800,54.74100,54.74100,-25.55300,4.94800,-20.60500,0.02100,-20.62600,-20.62600,-12.29000,-23.88300,-25.55300,97.07700,97.07700,-0.13000,-0.13000,2.46420,,72.43400,-63.41320,-63.41320,-51.13410,-30.49930,0.32580,4.89210,18.39710,-24.93920,-27.93070,-16.67850,-24.93920,0.48190,-0.05,-0.0687
2023-06-30,48.83900,14.74000,34.09900,44.57200,44.57200,-10.47300,4.97600,-5.49700,0.05300,-5.55000,-5.55000,-3.29800,-8.78300,-10.47300,94.44800,94.44800,-0.03000,-0.03000,3.60920,,69.81920,-21.44390,-21.44390,-11.25540,-6.75280,0.39320,9.44110,9.53280,-8.47240,-9.83400,-4.46820,-8.47240,0.38690,-0.0499,-0.0609
2023-03-31,49.18000,15.29000,33.89000,45.26000,45.26000,-11.37000,-20.86000,-32.23000,0.02300,-32.25300,-32.25300,-18.93100,-9.66700,-11.37000,91.77600,91.77600,-0.21000,-0.21000,3.01010,,68.91010,-23.11920,-23.11920,-65.53480,-38.49330,0.37380,7.76570,11.58950,-53.39550,-62.96710,-24.51640,-53.39550,0.36130,0.07400,0.06330
2022-12-31,41.80200,12.31400,29.48800,49.92100,49.92100,-20.43300,5.27700,-15.15600,-0.01600,-15.14000,-15.14000,-8.29300,-18.73400,-20.43300,85.87300,85.87300,-0.09000,-0.08000,2.88380,,70.54210,-48.88050,-48.88050,-36.25670,-19.83880,0.31500,3.60490,24.96630,-18.67980,-21.09840,-11.40990,-18.67980,0.49240,-0.1774,-0.1899
2022-09-30,31.75200,9.83500,21.91700,49.60400,49.60400,-27.68700,-4.58900,-32.27600,0.02200,-32.29800,-32.29800,-18.51600,-26.03400,-27.68700,87.71400,87.71400,-0.21000,-0.21000,3.13260,,69.02560,-87.19770,-87.19770,-101.65030,-58.31440,0.22740,8.82000,10.20410,-38.48800,-43.27520,-23.13300,-38.48800,0.51680,-0.1537,-0.1725
2022-06-30,42.18600,13.43100,28.75500,50.76200,50.76200,-22.00700,37.28400,15.27700,0.00000,15.27700,15.27700,8.25500,-20.41700,-22.00700,86.37300,88.60000,0.10000,0.09000,3.65510,,68.16240,-52.16660,-52.16660,36.21340,19.56810,0.27460,14.86990,6.05250,14.75640,16.26360,9.94310,14.75640,0.64670,-0.2162,-0.2309
