Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.29080,-13.71590,20.85610,7.14020,-0.37460,7.51470,7.51470,7.51470,-13.28830,-13.71590,564.69400,621.89990,0.01470,0.01470,1.16250,,0.35390,0.84390,0.84390,0.60890,0.84390,1.57600,-0.0032,-0.0402
2024-06-30,12.45700,-12.86910,20.05990,7.19080,-2.45150,9.64230,9.64230,9.64230,-12.46240,-12.86910,551.51940,613.81310,0.01460,0.01460,1.19880,,0.38970,1.10650,1.10650,0.78590,1.10650,1.54370,-0.0011,-0.0264
2024-03-31,12.58880,-12.97130,-12.46270,-25.43400,0.22980,-25.66380,-25.66380,-25.66380,-12.58880,-12.97130,536.64600,536.64600,-0.04450,-0.04450,1.95840,,,-3.72720,-3.72720,-3.05540,-3.72720,1.27570,-0.01290,-0.05980
2023-12-31,22.10000,-22.46460,141.41360,118.94900,0.12160,118.82730,118.82730,117.99570,-22.10300,-22.46460,498.24400,529.21500,0.23770,0.23770,10.99760,0.16200,0.19330,19.56100,19.56100,15.92220,16.39290,1.15630,-0.0282,-0.0781
2023-09-30,18.00120,-18.36120,-28.97430,-47.33550,-0.23550,-47.10000,-47.10000,-38.85620,-18.00000,-18.36120,491.27400,491.27400,-0.08200,-0.08200,13.66000,0.22160,0.28470,-9.50810,-9.50810,-7.14430,-7.40120,0.94850,-0.0108,-0.0532
2023-06-30,11.12350,-11.44040,-1.93310,-13.37350,-0.35850,-13.01500,-13.01500,-14.34940,-11.12170,-11.44040,486.57750,486.57750,-0.02980,-0.02980,6.77830,0.14080,0.16390,-3.63110,-3.63110,-3.00930,-3.11980,0.73010,-0.0231,-0.0647
2023-03-31,10.21060,-10.50550,3.20000,-7.30550,-0.57360,-6.73190,-6.73190,-4.92160,-10.21060,-10.50550,485.40000,485.40000,-0.00740,-0.00740,11.18720,0.13670,0.15830,-1.88970,-1.88970,-1.58580,-1.63150,0.73110,-0.01160,-0.03980
2022-12-31,15.32800,-15.66430,0.25100,-15.41330,-0.20550,-15.20780,-15.20780,-17.03870,-15.31020,-15.66430,479.68050,479.68050,-0.03800,-0.03020,8.70330,0.14940,0.17570,-4.34130,-4.34130,-3.56520,-3.69250,0.72600,-0.0099,-0.0412
2022-09-30,11.66690,-12.03090,-9.06030,-21.09120,-0.17550,-20.91570,-20.91570,-16.77600,-11.68190,-12.03090,479.50400,479.50400,-0.03830,-0.03830,8.30910,0.14270,0.16650,-6.07900,-6.07900,-5.00630,-5.21140,0.71720,-0.0073,-0.0368
2022-06-30,8.72220,-9.07140,22.62060,13.54920,-0.22160,13.77080,13.77080,10.55930,-8.72500,-9.07140,479.28300,504.25600,0.02350,0.01570,12.68220,0.11750,0.13320,3.79510,3.79510,3.24320,3.34910,0.75690,-0.0087,-0.0391
