Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.14560,1.86960,-2.01520,0.33010,-1.68510,-1.68510,-1.68510,-1.68510,-1.74550,-2.01520,1.33190,1.33190,-1.27000,-1.27000,1.01480,0.35880,-25.90130,-25.90130,-14.97310,-25.90130,3.84020,-0.2858,-0.3184
2024-06-30,0.18030,1.74080,-1.92110,-0.18120,-2.10230,-2.10230,-2.10230,-2.10230,-1.72800,-1.92110,0.98090,0.98090,-2.19780,-2.19780,1.38320,,-29.12940,-29.12940,-21.16670,-29.12940,5.54800,-1.3718,-1.3881
2024-03-31,0.19740,1.64660,-1.84410,0.86170,-0.98240,-0.98240,-0.98240,-0.98240,-1.64860,-1.84410,0.84880,0.84880,-1.09890,-1.09890,1.15440,,-14.31920,-14.31920,-10.02040,-14.31920,9.62190,-2.22570,-2.22910
2023-12-31,0.82220,2.09590,-2.91820,-0.21350,-3.13160,-3.10160,-3.10160,-3.10160,-2.69210,-2.91820,0.59300,0.59300,-3.70250,-3.70250,1.31020,,-39.09160,-39.09160,-26.30900,-39.09160,11.42790,-2.901,-3.6458
2023-09-30,0.22520,2.13320,-2.35840,0.33600,-2.02230,-2.02230,-2.02230,-2.02230,-2.15090,-2.35840,0.53690,0.53690,-3.77000,-3.77000,1.93410,,-19.08670,-19.08670,-14.07180,-19.08670,15.24620,-3.6562,-3.4431
2023-06-30,0.22430,2.30810,-2.53230,-0.07350,-2.60580,-2.60580,-2.60580,-2.60580,-2.29980,-2.53230,0.53030,0.53030,-4.83520,-4.83520,1.41110,,-29.98900,-29.98900,-22.09420,-29.98900,16.38410,-3.565,-3.8764
2023-03-31,0.33390,1.98390,-2.31780,0.20600,-2.11180,-2.11180,-2.11180,-2.11180,-2.10170,-2.31780,0.48830,0.48830,-4.39560,-4.39560,2.49860,,-19.25660,-19.25660,-15.60730,-19.25660,20.67850,-4.22430,-4.55870
2022-12-31,0.76010,2.05670,-2.81680,1.96720,-0.84960,-0.84960,-0.84960,-0.84960,-2.44540,-2.81680,0.36860,0.36860,-0.21980,-0.21980,2.20450,,-8.81190,-8.81190,-7.17560,-8.81190,22.52410,-6.973,-7.6306
2022-09-30,0.45760,1.33940,-1.79710,-0.60100,-2.39810,-2.39810,-2.39810,-2.39810,-1.67000,-1.79710,0.41890,0.41890,-5.71430,-5.71430,1.75700,,-24.67240,-24.67240,-17.72030,-24.67240,23.20230,-2.64,-2.849
2022-06-30,0.55690,2.23080,-2.78770,3.26540,0.47780,0.47780,0.47780,0.47780,-1.61110,-2.78770,0.39450,0.39450,1.31870,1.31870,2.63590,,3.98060,3.98060,3.17950,3.98060,28.65000,-2.6889,-3.8636
2022-03-31,0.50640,0.83090,-1.33730,-0.53240,-1.86970,-1.86970,-1.86970,-1.86970,-1.05780,-1.33730,0.23600,0.23600,-7.91210,-7.91210,0.11630,0.55700,-114.88760,-114.88750,-37.88490,-114.88750,6.89570,-5.15250,-5.15250
2021-12-31,0.49100,0.93900,-1.43000,-0.16740,-1.59700,-1.59700,-1.59700,-1.59700,-1.24780,-1.43000,0.22190,0.22190,-7.03300,-7.03300,0.58170,0.22320,-50.92160,-50.92160,-27.05700,-50.92160,13.28850,-5.4978,-7.2489
2021-09-30,0.35590,0.98540,-1.34130,0.00000,-1.34120,-1.34120,-1.34120,-1.34120,-1.33860,-1.34130,0.22500,0.22500,-5.93410,-5.93410,,,,,,,,-2.2582,-4.0246
2021-06-30,0.37550,0.43540,-0.81090,0.00020,-0.81060,-0.81060,-0.81060,-0.81060,-0.81090,-0.81090,0.21960,0.21960,-3.73630,-3.73630,,,,,,,,-3.0071,-5.6512
2021-03-31,0.46760,0.44760,-0.91510,0.00050,-0.91470,-0.91470,-0.91470,-0.91470,-0.91510,-0.91510,0.20920,0.20920,-4.39560,-4.39560,,,,,,,,-3.42350,-7.48730
