Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,6.73700,3.68500,3.05200,1.65200,-8.16300,11.37600,-8.32400,0.11900,-8.20500,-8.20500,-8.20500,-8.62300,-8.32400,-8.32400,7.45200,7.45200,-1.16000,-1.16000,12.38330,45.30210,-123.55650,-123.55650,-121.79010,-127.99470,0.07790,12.04250,1.76040,51.12510,-9.80360,-9.80300,-9.49200,-9.80300,11.23180,-0.5662,-0.5662
2024-03-31,5.68700,3.31200,2.37500,1.63500,-0.30000,3.81800,-1.44300,0.13700,-1.30600,-1.30600,-1.30600,-1.69800,-1.44300,-1.44300,7.45100,7.45100,-0.23000,-0.23000,,41.76190,-25.37370,-25.37370,-22.96470,-29.85760,0.06050,,,,,-1.42630,-1.38820,-1.42630,,0.12350,0.12350
2023-12-31,5.80800,2.18900,3.61900,1.37800,-0.43400,3.71400,-0.09500,0.15300,0.05800,0.05800,0.05800,-2.82700,-0.09500,-0.09500,3.31600,3.37200,-0.72000,-1.14000,8.76820,62.31060,-1.63570,-1.63570,0.99860,-48.67420,0.06120,7.62720,1.44440,62.30890,0.06270,0.06270,0.06120,0.06270,12.42570,0.0546,-1.2408
2023-09-30,3.86600,3.86000,0.00600,1.29400,-0.31000,3.33000,-3.32400,-0.05800,-3.38200,-3.38200,-3.38200,-3.89100,-3.32400,-3.32400,3.65940,3.66200,-1.06000,-1.06000,,0.15520,-85.98040,-85.98040,-87.48060,-100.64670,0.03980,,,,,-3.66360,-3.47920,-3.66360,,-0.1089,2.0767
2023-06-30,5.39500,3.18900,2.20600,1.38400,-0.32900,3.86200,-1.65600,2.91500,1.25900,1.25900,1.25900,0.48300,-1.65600,-1.65600,1.79500,1.87500,0.27000,-1.12000,10.18540,40.88970,-30.69510,-30.69510,23.33640,8.95270,0.05530,8.85830,1.77760,50.63020,1.32600,1.32600,1.29050,1.32600,26.75040,0.5822,-1.6034
2023-03-31,3.88800,3.12300,0.76500,1.22500,-0.29400,3.41200,-2.64700,2.73500,0.08800,0.08800,0.08800,-0.47200,-2.64700,-2.64700,0.92600,0.92600,-0.51000,-0.51000,,19.67590,-68.08130,-68.08130,2.26340,-12.13990,0.03880,,,,,0.09440,0.08780,0.09440,,-0.28620,-0.28620
2022-12-31,5.72400,5.12500,0.59900,1.12200,-0.26400,3.08700,-2.48800,,-2.48800,-2.48800,-2.48800,-2.72400,-2.48800,-2.48800,0.15600,0.15600,-16.19000,-14.99000,5.76290,10.46470,-43.46610,-43.46610,-43.46610,-47.58910,0.07240,15.34430,1.34460,66.93400,-3.25000,-3.24980,-3.14870,-3.24980,150.35150,-0.8223,-33.4761
2022-09-30,5.11500,1.90200,3.21300,0.73700,-0.20500,2.11300,1.10000,,1.10000,1.10000,1.10000,0.40300,1.10000,1.10000,0.14910,0.26830,2.70000,1.50000,,62.81530,21.50540,21.50540,21.50540,7.87880,,,,,,,,,,-5.4119,26.6552
2022-06-30,4.56600,2.04100,2.52500,0.66600,-0.19300,1.87700,0.64800,,0.64800,0.64800,0.64800,0.15700,0.64800,0.64800,0.14900,0.14900,1.05000,1.05000,6.26780,55.30010,14.19190,14.19190,14.19190,3.43850,0.07230,1.13640,9.22420,9.75690,1.06380,1.06370,1.02650,1.06370,408.44810,-2.7771,-34.8442
2022-03-31,3.68000,1.49200,2.18800,0.55800,-0.21000,1.77400,0.41400,,0.41400,0.41400,0.41400,-0.51000,0.41400,0.41400,0.10750,0.10750,-4.74000,-4.74000,5.40500,59.45650,11.25000,11.25000,11.25000,-13.85870,0.05680,,,,,0.67820,0.63950,0.67820,,18.71000,18.71000
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
