Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.08150,0.04240,0.03910,0.42460,1.52130,-0.83500,2.78080,-2.74170,0.03990,-2.70180,-2.70180,-2.70180,-2.70180,-2.71370,-2.74170,132.99700,132.99700,-0.02000,-0.02000,3.81200,,,47.96420,-3364.51000,-3364.51000,-3315.52000,-3315.52000,0.00810,0.03150,0.04030,2230.96600,-31.91600,-36.29800,-26.85690,-31.91600,0.06360,-0.0192,-0.0232
2024-06-30,0.03680,0.04350,-0.00670,0.56660,1.66800,-0.77780,3.01240,-3.01910,0.08680,-2.93230,-2.93230,-2.93230,-2.93230,-2.99270,-3.01910,132.80110,132.80110,-0.02000,-0.02000,5.73280,,,-18.25590,-8199.39700,-8199.39700,-7963.71700,-7963.71700,0.00300,0.04280,0.01990,4531.27900,-27.45980,-30.23860,-24.00510,-27.45980,0.08030,-0.0183,-0.0211
2024-03-31,0.31530,0.61730,-0.30200,0.53510,0.71240,-0.65160,1.89920,-2.20120,0.17670,-2.02450,-2.02450,-2.02450,-2.02450,-2.17660,-2.20120,132.66900,132.66900,-0.02000,-0.02000,8.17020,,,-95.79480,-698.17840,-698.17840,-642.12070,-642.12070,0.02170,0.23730,0.16680,539.55070,-15.68090,-16.95710,-13.91930,-15.68090,0.09730,-0.01890,-0.01890
2023-12-31,-0.11970,0.90810,-1.02780,0.55070,1.07090,-0.66340,2.28510,-3.31280,0.23160,-3.08120,-3.08120,-3.08120,-3.08120,-3.29060,-3.31280,130.36800,130.36800,-0.03000,-0.03000,10.84520,,,858.92740,2768.54300,2768.54300,2574.96000,2574.96000,-0.00740,0.39890,-0.07480,-1202.73800,-20.89330,-22.39360,-19.11250,-20.89330,0.11120,-0.0186,-0.019
2023-09-30,0.01230,0.17870,-0.16640,0.31760,0.65920,-0.73920,1.71600,-1.88240,0.15100,-1.73140,-1.73140,-1.73140,-1.73140,-1.86310,-1.88240,132.14500,132.14500,-0.01000,-0.01000,29.80610,,,-1353.86500,-15316.39000,-15316.39000,-14088.13000,-14088.13000,0.00070,0.09350,0.00720,12554.14000,-9.91370,-10.51900,-9.60300,-9.91370,0.13160,-0.013,-0.0134
2023-06-30,0.04990,0.04530,0.00460,0.27200,0.76860,-0.73310,1.77370,-1.76910,0.11850,-1.65060,-1.65060,-1.65060,-1.65060,-1.75390,-1.76910,129.38910,129.38910,-0.01000,-0.01000,35.44790,,,9.23730,-3547.91500,-3547.91500,-3310.22400,-3310.22400,0.00260,0.02510,0.02890,3116.33400,-8.69580,-9.19050,-8.46510,-8.69580,0.14530,-0.0127,-0.0126
2023-03-31,0.80150,0.72010,0.08130,0.35590,0.68520,-0.71880,1.75990,-1.67860,0.03820,-1.64030,-1.64030,-1.64030,-1.64030,-1.64950,-1.67860,127.14700,127.14700,-0.01000,-0.01000,14.01450,,,10.14550,-209.44130,-209.44130,-204.66990,-204.66990,0.04940,0.40280,0.39930,225.37850,-10.83260,-11.62800,-10.11570,-10.83260,0.11750,-0.02500,-0.02510
2022-12-31,0.78900,0.71610,0.07290,0.38690,0.93170,-0.50890,1.82750,-1.75460,0.06450,-1.69000,-1.69000,-1.69000,-1.69000,-1.73700,-1.75460,126.64200,126.64200,-0.01000,-0.01000,5.24510,,,9.23950,-222.36420,-222.36420,-214.18430,-214.18430,0.07960,0.43120,0.85940,104.72770,-20.47600,-23.46060,-17.04180,-20.47600,0.06510,-0.0186,-0.0187
2022-09-30,0.92270,0.81240,0.11030,0.11830,0.46980,-0.43530,1.02330,-0.91300,0.00020,-0.91280,-0.91280,-0.91280,-0.91280,-0.89610,-0.91300,126.68100,126.68100,-0.01000,-0.01000,7.81580,,,11.95730,-98.94550,-98.94550,-98.92800,-98.92800,0.08380,,5.60580,16.05470,-9.36890,-10.41750,-8.29440,-9.36890,0.07690,-0.0124,-0.0134
2022-06-30,1.03050,0.90250,0.12800,0.42270,0.52080,-0.39940,1.34290,-1.21490,0.00060,-1.21430,-1.21430,-1.21430,-1.21430,-1.19820,-1.21490,126.68090,126.68090,-0.01000,-0.01000,7.58200,,,12.42280,-117.88990,-117.88990,-117.83040,-117.83040,0.08660,,4.24410,21.20610,-11.60390,-12.82520,-10.20690,-11.60390,0.08260,-0.009,-0.009
