Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,74.93100,24.57500,50.35600,32.99300,33.56000,16.79600,,16.79600,3.68400,13.11200,13.11200,12.98000,16.93180,17.02780,0.77000,0.76000,0.33340,0.50020,35.44880,27.39500,0.01020,2.42810,2.62910,0.28280,1.61850,30.83100,2.5724,2.5635
2024-06-30,73.52700,23.24800,50.27900,33.90300,34.47000,15.80900,,15.80900,3.39100,12.41800,12.41800,12.28500,16.88300,16.90410,0.73000,0.73000,0.41700,0.71540,34.35320,26.69550,0.00990,2.37150,2.57750,0.26590,1.38250,30.02970,0.3513,-0.0968
2024-03-31,72.16600,22.12500,50.04100,30.26700,31.02900,19.01200,,19.01200,3.94500,15.06700,15.06700,14.91900,16.85970,16.87280,0.88000,0.88000,0.37010,0.58760,38.89840,30.52420,0.01040,2.93600,3.20050,0.32170,1.84930,29.41660,-0.53540,-0.46240
2023-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,5.8852,6.0428
2023-09-30,70.49200,19.70500,50.78700,31.27500,32.13400,18.65300,,18.65300,3.82000,14.83300,14.83300,14.71600,16.79220,16.80090,0.88000,0.88000,0.48830,0.95430,38.68550,30.52040,0.01040,3.06210,3.36820,0.31890,1.56690,27.87180,-1.9574,-2.0042
2023-06-30,66.01900,15.23500,50.78400,30.45700,31.31600,19.46800,,19.46800,4.45500,15.01300,15.01300,14.88300,16.77470,16.78190,0.91000,0.90000,0.49790,0.99160,38.64310,29.54210,0.01090,3.18620,3.52170,0.32580,1.59980,27.13110,-3.6787,-3.7492
2023-03-31,58.97600,9.21200,49.76400,36.24600,36.85200,12.91200,-4.74100,8.17100,1.43700,6.73400,6.73400,6.67000,16.02200,16.07710,0.40000,0.40000,0.41880,0.72060,19.92730,16.26670,0.00910,1.46950,1.63080,0.14880,0.85410,26.38120,-0.24910,-0.28940
2022-12-31,,3.85700,-3.85700,13.07500,13.07500,-16.93200,-0.25000,17.68300,4.02500,,,13.54600,15.02820,15.16120,0.90000,0.90000,0.24070,0.31700,,,,,,,,26.16790,0.8338,1.253
2022-09-30,43.32500,1.40700,41.91800,29.56800,29.60200,12.31600,-0.47400,11.84200,2.64300,9.19900,9.19900,9.12000,14.98800,15.13080,0.61000,0.60000,,,31.21990,24.04370,0.01070,2.32170,2.48270,0.25870,2.32170,25.34690,0.5138,0.6011
2022-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,-2.4218,-2.382
