Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin
2024-06-30,,,,,,,,,,,,,0.00000,,,,,
2023-12-31,,,,,,,,,,,,,0.00000,,,,,
2023-06-30,,,,,,,,,,,,,0.00000,,,,,
2022-12-31,,,,,,,,,,,,,0.00000,,,,,
2022-06-30,,,,,,,,,,,,,0.00000,,,,,
2021-12-31,,,,,,,,,,,,,0.00000,,,,,
2021-06-30,,,,,,,,,,,,,0.00000,,,,,
2020-12-31,,,,,,,,,,,,,0.00000,,,,,
2020-06-30,,,,,,,,,,,,,0.00000,,,,,
2019-12-31,,,,,,,,,,,,,0.00000,,,,,
2019-06-30,,,,,,,,,,,,,0.00000,,,,,
2018-12-31,,,,,,,,,,,,,0.00000,,,,,
2018-06-30,,,,,,,,,,,,,0.00000,,,,,
2018-03-31,12.88300,12.88300,12.88300,12.88300,12.88300,0.37500,0.37500,12.88300,12.88300,11.29000,11.29000,0.03000,0.03000,100.00000,100.00000,100.00000,100.00000,2.91080
2017-06-30,,,,,,,,,,,,,0.00000,,,,,
