Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,12.43600,0.60000,11.83600,531.62700,239.79800,,771.42500,-759.58910,19.23000,-740.35900,0.50800,-740.86700,-740.86700,-740.86700,-760.86000,-759.58910,56.23200,56.23200,-13.18000,-13.18000,6.95500,95.17530,-6107.98500,-6107.98500,-6118.20600,-5953.35300,-5957.43800,0.01030,0.19870,14.37690,25.38800,-74.34570,-75.47530,-61.60300,-74.34570,17.22440,-2.6529,-2.5504
2021-12-31,72.09200,,72.09200,508.59400,136.67900,,,-573.18100,-5.30400,-578.48500,3.29900,-581.78400,-581.78400,-581.78400,-566.69810,-573.18100,51.88300,51.88300,-11.21000,-11.21000,10.49700,100.00000,-795.06880,-795.06880,-786.07620,-802.42600,-807.00210,0.04540,,,,-41.64410,-41.64410,-36.61890,-41.64410,25.23690,-1.4582,-1.5499
2020-12-31,13.39800,,13.39800,299.34900,83.41200,,,-369.36300,11.42600,-357.93700,,-357.93700,-357.93700,-357.93700,-369.39600,-369.36300,44.98800,44.98800,-7.96000,-7.96000,19.63910,100.00000,-2756.85200,-2756.85200,-2757.09800,-2671.57100,-2671.57100,0.00910,,,,-26.30360,-26.30360,-24.24840,-26.30360,26.97890,-2.0929,11.9615
2019-12-31,3.33500,,3.33500,182.86600,42.57300,,,-222.10400,8.84800,-213.25600,,-213.25600,-213.25600,-213.25600,-225.27600,-222.10400,37.46800,37.46800,-5.69000,-5.69000,8.67800,100.00000,-6659.79000,-6659.79000,-6754.90200,-6394.48200,-6394.48200,0.00770,,,,-55.78310,-55.78310,-49.34200,-55.78310,9.67420,-1.6741,-15.8216
2018-12-31,12.92600,,12.92600,93.87200,21.68100,,,-102.62700,4.20900,-98.41800,,-98.41800,-98.41800,-98.41800,-103.77200,-102.62700,30.89800,30.89800,-3.19000,-3.19000,8.66900,100.00000,-793.95790,-793.95790,-802.81600,-761.39560,-761.39560,0.05660,,,,-48.82430,-48.82430,-43.08000,-48.82430,6.19490,0.29,0.2892
2017-12-31,,,,58.08500,13.45000,,,-71.53500,1.10500,-70.43000,,-70.43000,-70.43000,-70.43000,-71.61700,-71.53500,25.29000,25.29000,-2.78000,-2.78000,11.41590,,,,,,,,,,,-49.15280,-49.15280,-44.78970,-49.15280,5.00600,0.8789,0.8856
2016-12-31,,,,68.48700,15.29200,,,-83.77900,0.66100,-83.11800,,-83.11800,-83.11800,-83.11800,-83.59200,-83.77900,19.78700,19.78700,-4.20000,-4.20000,3.96980,,,,,,,,,,,-172.05500,-172.05490,-131.01000,-172.05490,2.42310,-0.437,-0.4275
2015-12-31,,,,48.95900,15.75500,,,-64.71400,0.17000,-64.54400,,-64.54400,-64.54400,-64.54400,-64.16500,-64.71400,16.90200,16.90200,-3.82000,-3.82000,12.79870,,,,,,,,,,,-54.61680,-54.61680,-50.41830,-54.61680,6.12850,-0.5717,-0.5624
2014-12-31,,,,26.07100,12.69900,-0.33400,,-39.10400,-4.59400,-43.69800,,-43.69800,-43.69800,-43.69800,-38.37100,-39.10400,13.48300,13.48300,-3.24000,-3.24000,6.05210,,,,,,,,,,,-155.71950,-155.71950,-130.52360,-155.71950,2.06840,0.2351,0.2245
2013-12-31,,,,19.79700,11.17700,-1.02500,,-31.99900,-20.88300,-52.88200,-0.02300,-52.85900,-52.85900,-52.85900,-31.82800,-31.99900,11.05700,11.05700,-4.78000,-4.78000,1.66140,,,,,,,,,,,-204.20720,-204.20710,-81.90500,-204.20710,1.92500,-0.202,-0.1861
2012-12-31,,,,15.08100,5.41700,,,-20.49800,0.25100,-20.24700,0.03900,-20.28600,-20.28600,-20.28600,-20.37500,-20.49800,6.76300,6.76300,-3.00000,-3.00000,7.36500,,,,,,,,,,,-58.94350,-58.94350,-50.96860,-58.94350,3.45610,115.297,115.5967
2011-12-31,3.14400,,3.14400,8.89100,4.34000,,,-10.08700,0.30900,-9.77800,,-9.77800,-9.77800,-9.77800,-9.89000,-10.08700,0.09890,0.09890,-99.00000,-99.00000,8.12480,100.00000,-320.83330,-320.83330,-314.56740,-311.00510,-311.00510,0.10120,,18.27910,19.96820,-35.81030,-35.81030,-31.45870,-35.81030,214.72950,-117.7589,-118.0926
