Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.91820,0.91810,1.00010,0.71030,2.12670,2.83700,-1.83680,0.18700,-1.64980,,-1.64980,-1.64980,-1.64980,-1.76170,-1.83680,0.66690,0.66690,-2.47000,-2.47000,1.14760,0.30020,52.13860,-95.75770,-95.75770,-86.00920,-86.00920,0.10460,0.16220,1.14960,78.28540,-54.90340,-86.49870,-8.99830,-54.90350,3.43450,-4.3346,-4.3313
2024-06-30,0.80220,0.60270,0.19950,1.47360,4.48980,5.96340,-5.76390,1.81490,-3.94900,,-3.94900,-3.94900,-4.17670,-5.67140,-5.76390,0.62300,0.62300,-6.70000,-6.70000,1.29520,,24.86540,-718.52620,-718.52620,-492.28540,-520.67080,0.04330,0.09970,1.55400,57.91390,191.46950,123.60080,-21.31490,191.46830,-3.15990,-2.5392,-2.525
2024-03-31,0.77980,0.50940,0.27030,1.58960,5.92810,7.51770,-7.24740,0.51860,-6.72870,,-6.72870,-6.72870,-6.95090,-7.16070,-7.24740,0.41140,0.41140,-16.90000,-16.90000,1.83310,,34.66620,-929.44130,-929.44130,-862.92850,-891.42100,0.03310,0.08380,0.60870,147.85670,-455.32010,-2167.44300,-28.58820,-455.32400,2.43420,-11.48420,-11.58360
2023-12-31,1.64470,1.16810,0.47660,1.98120,5.94360,7.92480,-7.44820,0.13050,-7.31760,,-7.31920,-7.31920,-7.51870,-7.28900,-7.44820,0.07980,0.07980,-145.94000,-145.94000,1.56800,,28.97700,-452.86640,-452.86640,-444.92870,-457.15640,0.07850,0.19830,0.95350,94.38990,-283.62530,-530.99700,-34.93590,-283.62530,20.70130,-258.5509,-260.663
2023-09-30,2.71260,2.40120,0.31130,2.29290,6.48180,8.77470,-8.46330,0.13000,-8.33330,,-8.33330,-8.33330,-8.57520,-8.38260,-8.46330,0.80480,0.80480,-10.66000,-10.66000,1.47980,,11.47790,-312.00350,-312.00350,-307.21190,-316.12750,0.07870,0.35140,1.01620,88.56330,-125.73180,-154.58420,-24.17960,-125.73180,81.56130,122.7936,124.0131
2023-06-30,2.12010,1.95110,0.16900,2.38720,6.09730,8.48460,-8.31550,0.33140,-7.98410,,-7.98410,-7.98410,-8.22470,-8.23580,-8.31550,0.06930,0.06930,-118.60000,-118.60000,2.50430,,7.97170,-392.21900,-392.21900,-376.58580,-387.93460,0.06370,0.21830,1.04560,86.07310,-60.70670,-67.20630,-23.98380,-60.70680,168.30670,-35.6588,-36.9458
2023-03-31,1.85480,1.46090,0.39390,2.10010,6.17200,8.27210,-7.87820,0.21810,-7.66010,,-7.66010,-7.66010,-7.89720,-7.80170,-7.87820,0.06150,0.06150,-128.40000,-128.40000,3.19170,,21.23600,-424.75140,-424.75140,-412.99130,-425.77150,0.05100,0.14560,0.72710,123.77710,-44.06320,-47.64460,-21.06310,-44.06320,278.32810,-94.83910,-95.02000
2022-12-31,1.14690,0.74340,0.40350,1.95500,7.18980,9.14490,-8.74130,1.03540,-7.70590,4.73210,-12.43790,-12.43790,-8.08520,-8.66300,-8.74130,0.05240,0.05240,-131.50000,-131.50000,4.03290,,35.18430,-762.14510,-762.14530,-671.86650,-704.93650,0.02780,0.06440,1.05180,85.56890,-53.50710,-56.78450,-30.18950,-53.50710,382.95550,-136.5159,-138.5084
2022-09-30,0.55370,0.27650,0.27720,1.71580,7.16370,8.87950,-8.60230,1.94080,-6.66150,,-6.66150,-6.66150,-6.49250,-8.52880,-8.60230,0.05490,0.05490,-124.00000,-124.00000,5.46710,,50.06480,-1553.63800,-1553.63800,-1203.11000,-1172.59000,0.01170,0.02350,0.52040,172.93390,-22.33520,-23.41590,-14.11350,-22.33520,521.00560,-93.4739,-93.1806
2022-06-30,1.30170,1.03460,0.26710,2.17010,8.13650,10.30670,-10.03950,4.58140,-5.45810,,-5.45810,-5.45810,-5.49490,-9.96910,-10.03950,0.04770,0.04770,-116.00000,-116.00000,4.31620,,20.52130,-771.24690,-771.24690,-419.29690,-422.12520,0.03280,0.09580,0.66460,135.41930,-23.27160,-24.76160,-13.77280,-23.27160,475.98020,-240.8862,-242.2225
