Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.19300,,-0.19300,0.11540,-0.07760,-0.07760,-0.07760,-0.05450,-0.19300,-0.19300,1.76800,1.76800,-0.03000,-0.03000,0.04110,-0.73480,1.88650,1.88650,-2.81900,1.88650,-2.32600,-0.1743,-0.1743
2024-06-30,0.18460,,-0.18460,0.23760,0.05310,0.05310,0.05310,0.02830,-0.18460,-0.18460,1.76800,1.76800,0.02000,0.02000,0.00610,-0.72230,-1.38280,-1.38280,0.28310,-1.38280,-2.17020,-0.0505,-0.0505
2024-03-31,0.27230,,-0.27230,0.23220,-0.04010,-0.04010,-0.04010,-0.04010,-0.27230,-0.27230,1.76800,1.76800,-0.01000,-0.01000,0.02160,-0.71940,1.16370,1.16370,-0.21850,1.16370,-1.94750,-0.19970,-0.19970
2023-12-31,0.16560,,-0.16560,0.23240,0.06680,0.06680,0.06680,0.02290,-0.16560,-0.16560,1.76800,1.76800,0.02000,0.02000,0.04600,-0.67500,-2.25560,-2.25560,0.37240,-2.25560,-1.67510,0.0174,0.0174
2023-09-30,0.22330,,-0.22330,0.23390,0.01070,0.01070,0.01070,0.00550,-0.22330,-0.22330,1.76800,1.76800,0.00000,0.00000,0.08610,-0.53730,-0.41350,-0.41350,0.06090,-0.41350,-1.46300,-0.1276,-0.1276
2023-06-30,0.18320,,-0.18320,0.22860,0.04540,0.04540,0.04540,0.02250,-0.18320,-0.18320,1.76800,1.76800,0.01000,0.01000,0.01760,-0.54690,-2.11310,-2.11310,0.23020,-2.11310,-1.21540,-0.094,-0.094
2023-03-31,0.17860,,-0.17860,0.20260,0.02400,0.02400,0.02400,0.02400,-0.17860,-0.17860,1.76800,1.76800,0.01000,0.01000,0.15720,-0.54590,-1.37760,-1.37760,0.12340,-1.37760,-0.98450,-0.05030,-0.05030
2022-12-31,0.14920,,-0.14920,0.28630,0.13710,0.13710,0.13710,-0.21010,-0.14920,-0.14920,1.76800,1.76800,-0.16000,-0.16000,0.35740,-0.51520,-10.86790,-10.86790,0.72070,-10.86790,-0.71370,-0.036,-0.036
2022-09-30,0.17730,,-0.17730,0.26440,0.08720,0.08720,0.08720,-0.45470,-0.17730,-0.17730,1.76800,1.76800,-0.26000,-0.26000,0.58630,-0.55420,-8.39920,-8.39920,0.14670,-8.39920,-0.58690,-0.193,-0.193
2022-06-30,0.18370,,-0.18370,0.08250,-0.10120,-0.10120,-0.10120,-0.63200,-0.18370,-0.18370,1.76800,1.76800,-0.36000,-0.36000,5.49610,,-11.28970,-11.28970,-0.17220,-11.28970,0.50680,-0.041,-0.041
2022-03-31,0.20370,,-0.20370,0.00480,-0.19890,-0.19890,-0.19890,-0.19890,-0.20370,-0.20370,1.76800,1.76800,-0.07000,-0.07000,13.81780,,-5.55110,-5.55110,-0.33840,-5.55110,2.02690,-0.06350,-0.06350
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.2773,0.2773
2021-09-30,0.18020,,-0.18020,0.00050,-0.17960,-0.17960,-0.17960,-0.50750,-0.18020,-0.18020,1.62100,1.62100,-0.32000,-0.32000,17.52430,,-3.59260,-3.59260,-0.30400,-3.59260,2.23020,-0.2773,-0.2773
2021-06-30,,-0.07110,-0.07110,,-0.07110,-0.07110,-0.07110,-0.07110,-0.07110,-0.07110,1.38390,1.38390,-0.05140,-0.05140,,,105.65890,105.65890,-83.64710,105.65890,-0.04680,0,0
