Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,,,,,,,,,,,,,,0.00000,,,,,,,,,
2022-09-30,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2022-03-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,,,,,,,,,,,,,,0.00000,,,,,,,,2.8305,2.8305
2021-06-30,2.12250,,-2.12250,-10.56450,-12.68700,-12.68700,-12.68700,-12.68700,-2.12250,-2.12250,0.45050,0.45050,-28.25000,-28.25000,0.56100,-0.00390,37.23240,37.23240,-3.66160,37.23240,-98.76830,1.0974,1.3153
2021-03-31,,-1.65320,-1.65320,10.27990,8.62660,8.62660,8.62660,8.62660,-1.65320,-1.65320,0.40640,0.40640,21.25000,21.25000,1.97510,0.02660,172.53270,172.53180,2.48630,172.53270,11.09930,-3.9279,-4.1458
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.00000,
2020-09-30,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
