Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,20.17800,6.32600,-26.50400,2.69800,-23.80600,0.20900,-24.01500,-24.01500,-24.01500,-26.44200,-26.50400,65.88090,65.88090,-0.36000,-0.36000,5.37180,-33.09450,-33.09450,-26.69970,-33.09450,1.10150,-0.3159,-0.316
2024-06-30,15.84800,5.68500,-21.53300,1.22100,-20.31200,0.37400,-20.68600,-20.68600,-20.68600,-21.46800,-21.53300,65.88100,65.88100,-0.31000,-0.31000,7.84460,-21.48700,-21.48700,-18.55800,-21.48700,1.46130,-0.2578,-0.258
2024-03-31,14.31100,5.88600,-20.19700,1.15500,-19.04200,0.41500,-19.45700,-19.45700,-19.45700,-20.13500,-20.19700,65.88100,65.88100,-0.30000,-0.30000,11.24040,-16.85090,-16.85090,-15.18190,-16.85090,1.75260,-0.37840,-0.37860
2023-12-31,21.77000,6.41300,-28.18300,2.35400,-25.82900,0.35300,-26.18200,-26.18200,-26.18200,-28.12400,-28.18300,43.54000,43.54000,-0.22000,-0.22000,9.36920,-19.66180,-19.66180,-17.37150,-19.66180,2.02130,-0.672,-0.6752
2023-09-30,17.65500,5.82900,-23.48400,1.36600,-22.11800,-0.43900,-21.67900,-21.67900,-21.67900,-23.43000,-23.48400,50.16830,50.16830,-0.43000,-0.43000,12.95760,-13.75640,-13.75640,-12.56370,-13.75640,2.39210,0.168,0.1703
2023-06-30,16.50400,5.34800,-21.85200,1.20600,-20.64600,0.53200,-21.17800,-21.17800,-21.17800,-21.79700,-21.85200,28.81500,28.81500,-0.74000,-0.74000,10.39320,-20.26220,-20.26220,-18.01540,-20.26220,3.62730,-0.6338,-0.6352
2023-03-31,11.90000,6.02400,-17.92400,1.28600,-16.63800,0.40600,-17.04400,-17.04400,-17.04400,-17.87700,-17.92400,28.81500,28.81500,-0.59000,-0.59000,12.77070,-13.72140,-13.72140,-12.45510,-13.72140,4.31080,-0.50980,-0.51490
2022-12-31,14.43200,5.95600,-20.38800,1.30500,-19.08300,0.98800,-20.07100,-20.07100,-20.07100,-20.31600,-20.38800,28.81500,28.81500,-0.70000,-0.70000,13.88340,-14.45480,-14.45480,-13.22160,-14.45480,4.81880,-0.4347,-0.4468
2022-09-30,10.02200,5.84300,-15.86500,0.29200,-15.57300,0.11500,-15.68800,-15.68800,-15.68800,-15.85200,-15.86500,28.81500,28.81500,-0.54000,-0.54000,24.95670,-10.22090,-10.22090,-9.67460,-10.22090,5.32670,-0.4632,-0.4674
2022-06-30,12.22600,5.93500,-18.16100,-0.23000,-18.39100,0.10400,-18.49500,-18.49500,-18.49500,-18.16100,-18.16100,28.81500,28.81500,-0.64000,-0.64000,20.93850,-10.74190,-10.74190,-10.12620,-10.74190,5.97530,-0.4515,-0.4552
2022-03-31,10.30600,6.70400,-17.01000,-0.12800,-17.13800,0.06600,-17.20400,-17.20400,-17.20400,-17.01000,-17.01000,28.81500,28.81500,-0.60000,-0.60000,30.98730,-8.88210,-8.88210,-8.50960,-8.88210,6.72200,-0.72340,-0.72740
2021-12-31,16.44100,4.95500,-21.39600,0.15400,-21.24200,,-21.31000,-21.31000,-22.41200,-21.39600,-21.39600,4.33600,4.33600,279.40000,279.40000,21.51750,-10.05550,-10.05550,-9.58670,-10.05550,7.35460,111.4273,111.4089
2021-09-30,4.12800,2.91400,-7.04200,2.58000,-4.46200,,-4.46200,-4.46200,-6.53500,-7.04200,-7.04200,0.17720,0.17720,-36.88000,-36.88000,1.53890,5.39950,5.39950,-8.57450,5.39950,-466.34880,-46.1118,-46.1287
2021-06-30,6.73500,2.24800,-8.98300,-29.37600,-38.35900,,-38.35900,-38.35900,-40.45300,-8.98300,-8.98300,0.17720,0.17720,-228.29000,-228.29000,,,,,,,-52.7257,-52.7257
2021-03-31,2.84800,0.96500,-3.81300,0.06500,-3.74800,,-3.74800,-3.74800,-5.58700,-3.81300,-3.81300,0.17720,0.17720,-31.53000,-31.53000,,,,,,,-21.96390,-21.96390
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,38.7246,38.7246
2020-09-30,2.77700,0.65400,-3.43100,-0.05700,-3.48800,,-3.48800,-3.48800,-4.14900,-3.43100,-3.43100,0.17720,0.17720,-23.41000,-23.41000,,,,,,,-38.7246,-38.7246
