,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2025-01-21,2024-12-31,$1.86,$2.03
1,2024-10-15,2024-09-30,$1.78,$1.75
2,2024-07-16,2024-06-30,$1.69,$1.76
3,2024-04-16,2024-03-31,$1.63,$1.64
4,2024-01-16,2023-12-31,$1.54,$1.52
5,2023-10-17,2023-09-30,$1.48,$1.55
6,2023-07-18,2023-06-30,$1.41,$1.32
7,2023-04-18,2023-03-31,$1.40,$1.35
8,2023-01-17,2022-12-31,$1.16,$1.30
9,2022-10-18,2022-09-30,$0.99,$1.08
10,2022-07-19,2022-06-30,$0.91,$0.84
11,2022-04-19,2022-03-31,$0.83,$0.82
12,2022-01-18,2021-12-31,$0.82,$0.83
13,2021-10-19,2021-09-30,$0.75,$0.78
14,2021-07-20,2021-06-30,$0.83,$0.82
15,2021-04-20,2021-03-31,$0.90,$0.98
16,2021-01-19,2020-12-31,$0.59,$0.69
17,2020-10-20,2020-09-30,$0.53,$0.53
18,2020-07-21,2020-06-30,$0.30,$0.57
19,2020-04-21,2020-03-31,$0.67,$0.69
20,2020-01-21,2019-12-31,--,$0.58
21,2019-10-15,2019-09-30,--,$0.45
22,2019-07-16,2019-06-30,$0.48,$0.43
23,2019-04-16,2019-03-31,$0.43,$0.64
24,2019-01-22,2018-12-31,$0.59,$0.57
25,2018-10-16,2018-09-30,$0.49,$0.51
26,2018-07-17,2018-06-30,$0.53,$0.58
27,2018-04-17,2018-03-31,$0.56,$0.63
28,2018-01-16,2017-12-31,$0.39,$0.43
29,2017-10-17,2017-09-30,$0.37,$0.43
30,2017-07-18,2017-06-30,$0.33,$0.32
31,2017-04-18,2017-03-31,$0.39,$0.34
32,2017-01-17,2016-12-31,$0.32,$0.07
33,2016-10-18,2016-09-30,$0.32,$0.30
34,2016-07-19,2016-06-30,$0.35,$0.40
35,2016-04-19,2016-03-31,$0.45,$0.51
36,2016-01-19,2015-12-31,$0.25,$0.25
37,2015-10-20,2015-09-30,$0.31,$0.35
38,2015-07-21,2015-06-30,$0.32,$0.37
39,2015-04-21,2015-03-31,$-0.11,$-0.22
40,2015-01-20,2014-12-31,$0.05,$0.12
