Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,72.54000,72.54000,19.41400,35.00900,,35.00900,1.02500,33.98400,-5.14000,33.09600,33.09600,53.10000,53.12600,64.56230,64.56230,0.51000,0.51000,1.40670,0.53150,1.13430,100.00000,48.26170,73.23680,48.26170,45.62450,0.02850,1.18790,75.76430,2.88650,2.88650,1.30110,1.35240,17.75950,-2.1042,-2.1042
2024-06-30,72.27100,72.27100,20.37300,34.26700,,34.26700,1.15000,33.11700,0.06300,29.09000,29.09000,51.80400,51.89800,64.56230,64.56230,0.51000,0.45000,1.80320,0.50680,1.02750,100.00000,47.41460,71.81030,47.41460,40.25130,0.02990,1.09790,81.97150,2.54610,2.54610,1.20460,1.25580,17.69690,2.9805,2.9805
2024-03-31,74.49900,74.49900,21.46800,34.97500,,34.97500,1.02500,33.95000,2.78300,35.09500,35.09500,52.45500,53.03100,64.56230,64.56230,0.55000,0.55000,2.17660,0.54300,1.18830,100.00000,46.94690,71.18350,46.94690,47.10800,0.02890,1.89210,47.56530,3.07180,3.07180,1.36020,1.40370,17.69630,-0.98650,-0.98650
2023-12-31,74.94700,74.94700,19.80100,35.92200,,35.92200,1.02500,34.89700,-5.40700,31.06300,31.06300,55.14100,55.14600,64.56230,64.56230,0.34000,0.49000,2.17650,0.52500,1.10510,100.00000,47.92990,73.58000,47.92990,41.44660,0.03030,1.47260,61.11840,2.73330,2.73330,1.25640,1.29840,17.60270,2.303,2.303
2023-09-30,72.39000,72.39000,15.32700,36.28800,,36.28800,0.64000,35.64800,5.93400,33.85600,33.85600,56.69000,57.06300,64.56230,64.56230,0.52000,0.52000,2.76790,0.54750,1.20990,100.00000,50.12850,78.82720,50.12850,46.76890,0.02820,1.46200,61.55780,2.98940,2.98940,1.31920,1.35270,17.54160,1.8945,1.8945
2023-06-30,75.71500,75.71500,15.24700,40.00900,,40.00900,1.09700,38.91200,-1.67000,29.17100,29.17100,59.98300,60.46800,64.56230,64.56230,0.60000,0.45000,4.83510,0.56960,1.32320,100.00000,52.84160,79.86260,52.84160,38.52740,0.02830,0.50460,178.36320,2.59120,2.59120,1.09030,1.11540,17.43720,-0.1359,-0.1359
2023-03-31,74.73700,74.73700,22.43400,32.75300,,32.75300,0.59500,32.15800,-2.67000,29.28500,29.28500,51.40700,52.30300,64.56230,64.56230,0.45000,0.45000,2.40910,0.55670,1.25580,100.00000,43.82430,69.98270,43.82430,39.18410,0.02870,0.74430,120.91360,2.61210,2.61210,1.12360,1.15790,17.36540,-0.66540,-0.66540
2022-12-31,62.36100,62.36100,21.06600,25.02800,,25.02800,,24.19100,-9.58500,43.51900,43.51900,40.99400,41.29500,64.56230,64.56230,0.67000,0.67000,2.26420,0.55370,1.24090,100.00000,40.13410,66.21930,40.13410,69.78560,0.02410,0.94320,95.42070,3.89820,3.89820,1.67870,1.73960,17.29180,0.9766,0.9766
2022-09-30,58.80900,58.80900,14.33100,30.09700,,30.09700,,30.09700,12.11200,11.05100,11.05100,44.43400,44.47800,64.56230,64.56230,0.17000,0.17000,3.40220,0.55370,1.24040,100.00000,51.17750,75.63130,51.17750,18.79130,0.02330,0.39870,225.71700,1.00820,1.00820,0.43830,0.45000,16.97770,-1.5442,-1.5442
2022-06-30,52.36400,52.36400,14.62200,26.71500,,26.71500,,26.71500,11.25700,17.22900,17.22900,37.56300,37.74200,64.56230,64.56230,0.27000,0.27000,1.85970,0.52920,1.12400,100.00000,51.01790,72.07620,51.01790,32.90240,0.02160,0.99810,90.17360,1.55630,1.55630,0.71020,0.73270,17.14650,-2.7638,-2.7638
2022-03-31,46.01100,46.01100,13.66500,21.70300,,21.70300,,21.70300,2.75200,33.68100,33.68100,31.83200,32.34600,64.56230,64.56230,0.52000,0.52000,1.44120,0.49520,0.98110,100.00000,47.16920,70.30060,47.16920,73.20210,0.01990,1.46180,61.56880,3.02960,3.02960,1.45770,1.52930,17.21970,-1.57600,-1.57600
2021-12-31,51.52800,51.52800,15.27700,22.02100,0.00100,22.02200,,21.88800,-3.21500,22.27900,22.27900,36.50600,36.25100,64.56230,64.56230,0.50000,0.35000,5.01890,0.56260,1.28630,100.00000,42.73600,70.35200,42.73790,43.23670,0.02000,0.75780,118.77040,2.02540,2.02540,0.86650,0.88580,17.03800,1.0703,1.0703
2021-09-30,49.54500,49.54500,15.51900,21.76100,,21.76100,,21.76100,0.86900,23.34200,23.34200,33.42800,34.02600,64.56230,64.56230,0.36000,0.36000,2.68920,0.55040,1.22420,100.00000,43.92170,68.67700,43.92170,47.11270,0.01980,1.26360,71.22620,2.12260,2.12260,0.93420,0.95430,17.03290,-0.1513,-0.1513
2021-06-30,46.49000,46.49000,18.79100,14.68200,7.24200,21.92400,,21.92400,-1.42800,42.43300,42.43300,27.19700,27.69900,64.56230,64.56230,0.66000,0.66000,2.88500,0.54320,1.18920,100.00000,31.58100,59.58060,47.15850,91.27340,0.01900,1.29900,69.28390,3.86360,3.86360,1.73250,1.76490,17.01140,0.4865,0.4865
2021-03-31,49.83100,49.83100,17.94600,20.05200,2.11300,22.16500,,22.16500,-1.35500,31.75300,31.75300,32.78700,31.88500,64.56230,64.56230,0.34000,0.49000,2.17190,0.55460,1.24500,100.00000,40.24000,63.98630,44.48030,63.72140,0.02000,1.38570,64.95110,2.94610,2.94610,1.27450,1.31230,16.69410,2.70760,2.70760
2020-12-31,48.27600,48.27600,15.84600,18.73500,,22.08500,,21.85300,-13.95800,39.49600,39.49600,31.62700,32.43000,58.67050,58.67050,0.96000,0.96000,1.54290,0.57730,1.36550,100.00000,38.80810,67.17620,45.74740,81.81290,0.01850,1.65120,54.50600,3.69810,3.69810,1.51700,1.56340,16.54230,0.6938,0.6938
2020-09-30,46.81700,46.81700,10.93500,21.45600,,21.45600,,21.45600,-11.13200,51.45700,51.45700,35.10900,35.88200,64.56230,64.56230,0.80000,0.80000,2.84160,0.59040,1.44110,100.00000,45.82950,76.64310,45.82950,109.91090,0.01790,1.53810,58.51340,4.89850,4.89850,1.96320,2.00670,16.27060,1.1873,1.1873
2020-06-30,47.87100,47.87100,10.53700,20.02200,,20.02200,,20.02200,-4.59800,21.77200,21.77200,36.33500,37.33400,53.77820,53.77820,0.40000,0.40000,0.08430,,1.51060,100.00000,41.82490,77.98880,41.82490,45.48060,0.01830,2.09080,43.04570,2.13250,2.13250,0.83420,2.13250,15.81350,0.638,0.638
2020-03-31,51.49600,51.49600,11.12000,22.50000,,22.50000,,22.50000,14.00200,-104.44700,-104.44700,39.72100,40.37600,51.64980,51.64980,-2.02000,-2.02000,2.10740,0.64960,1.85370,100.00000,43.69270,78.40610,43.69270,-202.82550,0.01980,1.82900,49.20850,-11.69910,-11.69910,-4.01050,-4.09970,17.28510,-0.99500,-0.99500
2019-12-31,54.76900,54.76900,20.02000,15.01100,6.28300,21.29400,,21.29400,-9.96400,21.35100,21.35100,33.54800,34.74900,51.60340,51.60340,0.16000,0.16000,2.25630,0.60730,1.54620,100.00000,27.40780,63.44650,38.87970,38.98370,0.02070,1.20540,74.66500,2.09650,2.09650,0.80710,0.82340,19.71730,0.3168,0.3168
2019-09-30,52.68800,52.68800,15.43100,17.83000,3.34500,21.17500,,21.17500,9.76500,18.19900,18.19900,36.53200,37.25700,51.64980,51.64980,0.35000,0.35000,4.23120,0.61950,1.62790,100.00000,33.84070,70.71250,40.18940,34.54110,0.01930,1.10440,81.49160,1.78730,1.78730,0.66730,0.68010,19.71390,-1.9758,-1.9758
2019-06-30,50.59800,50.59800,9.95100,24.02800,-2.87300,21.15500,,21.15500,1.37800,19.22200,19.22200,40.12200,40.64700,51.62950,51.62950,0.37000,0.37000,0.10260,,1.47380,100.00000,47.48800,80.33320,41.81000,37.98960,0.01950,1.95840,45.95700,1.88230,1.88230,0.74220,1.88230,19.77160,0.7827,0.7827
2019-03-31,39.89000,39.89000,12.33300,17.01100,4.23200,21.24300,,21.24300,0.15800,39.31300,39.31300,27.02900,27.55700,51.48210,51.48210,0.76000,0.76000,0.16630,,0.89710,100.00000,42.64480,69.08250,53.25400,98.55350,0.02000,0.69540,129.41470,3.85480,3.85480,1.96960,3.85480,19.80950,-3.82820,-3.82820
2018-12-31,33.74740,33.74740,9.33530,16.53910,3.23520,19.77430,,19.77460,3.66910,-9.87210,-9.87210,24.67320,24.41220,38.56700,38.56700,-0.45000,-0.24000,0.40920,0.38800,0.63390,100.00000,49.00840,72.33780,58.59490,-29.25290,0.01880,2.03400,44.24870,-0.98560,-0.98560,-0.55120,-0.60320,19.45590,-9.3543,-9.3543
