Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,455.70400,363.15600,92.54800,-6.51700,26.08500,66.46300,66.46300,10.50900,55.95400,55.95400,-0.09000,35.47800,92.73500,77.89100,21.16600,21.61500,1.65000,1.68000,1.00630,0.66810,2.05710,20.30880,14.58470,17.09250,14.58470,7.78530,0.38110,32.29200,2.70230,33.30480,29.49870,364.09470,4.67910,9.78950,8.95200,5.1014,4.4199
2024-06-30,378.53800,325.08500,53.45300,-0.44200,17.62400,35.82900,35.82900,5.85100,29.97800,29.97800,0.90000,20.79200,63.21100,48.41400,21.12600,21.52100,0.98000,0.97000,1.07110,0.78840,3.82850,14.12090,9.46510,12.78970,9.46510,5.49270,0.30940,21.51170,2.03650,44.19450,23.79660,-62.80480,2.45040,5.03560,5.95830,1.4149,0.6449
2024-03-31,273.49700,281.95400,-8.45700,-0.43800,16.83200,-25.28900,-25.28900,0.88700,-26.17600,-26.17600,-0.06700,-27.06700,-0.12400,-13.44400,21.02900,21.02900,-1.29000,-1.29000,0.97010,0.82350,4.84020,-3.09220,-9.24650,-4.91560,-9.24650,-9.89660,0.23170,26.97090,1.81000,49.72430,-26.41610,34.13090,-2.21770,-4.66110,4.69450,-0.35870,-1.34380
2023-12-31,291.67910,287.16700,4.51210,-0.50000,15.23100,-10.71890,-10.71900,5.17600,-15.89500,-15.89500,0.03300,-7.58200,13.51410,0.17800,20.85500,21.09700,-0.34000,-0.36000,1.02600,0.77010,3.41330,1.54690,-3.67490,0.06100,-3.67490,-2.59940,0.25650,28.28400,2.27840,39.50130,-11.98530,33.61750,-1.39760,-2.75510,6.31920,-0.5429,-1.5643
2023-09-30,365.89900,289.85700,76.04200,-0.55400,17.08900,58.95300,58.95300,9.17300,49.78000,49.78000,-0.65400,29.79900,83.85700,71.42900,20.88500,21.17400,1.41000,1.43000,1.19260,0.62680,1.70920,20.78220,16.11180,19.52150,16.11180,8.14410,0.30480,27.09700,2.71040,33.20520,35.19460,51.69270,4.14650,6.78000,13.10660,3.6548,2.6056
2023-06-30,320.31100,286.85100,33.46000,-0.65200,16.71100,16.74900,16.74900,5.02800,11.72100,11.72100,-0.14300,6.82500,41.90900,29.10500,20.84000,20.97500,0.33000,0.33000,1.04710,0.82130,4.67980,10.44610,5.22900,9.08650,5.22900,2.13070,0.27790,18.10470,2.19160,41.06680,11.72380,-14.26260,1.01680,2.09510,4.79110,1.3646,0.3791
2023-03-31,260.79100,266.30300,-5.51200,-0.53100,16.39800,-21.91000,-21.91000,-0.57800,-21.33200,-21.33200,-0.05800,-22.81900,2.81400,-9.66100,20.75100,20.75100,-1.10000,-1.10000,1.01450,0.85380,5.97820,-2.11360,-8.40140,-3.70450,-8.40140,-8.74990,0.23620,22.75510,1.95050,46.14320,-27.26870,20.83470,-1.93180,-3.98620,3.75810,0.48520,-0.06020
2022-12-31,248.02700,259.30510,-11.27800,19.09000,-4.96000,-6.31810,-6.31800,0.38600,-6.70400,-6.70400,-0.13700,2.37100,17.72400,4.68290,20.58900,20.81200,0.13000,0.13000,1.13470,0.82510,4.85280,-4.54710,-2.54730,1.88810,-2.54730,0.95590,0.22750,24.04310,2.02680,44.40470,-6.92280,8.02160,-0.61490,-1.21100,4.67400,-1.5215,-2.1158
2022-09-30,382.72100,316.36500,66.35600,-0.28000,15.68700,50.66900,50.66900,8.81000,41.85900,41.85900,-0.04200,26.80300,73.87700,60.92100,20.61200,20.88900,1.30000,1.29000,1.11730,0.83960,5.42620,17.33800,13.23920,15.91790,13.23920,7.00330,0.33440,28.21660,2.54670,35.33980,48.11380,-45.70610,3.65700,7.71640,4.21060,2.9265,1.8343
2022-06-30,319.20300,282.49500,36.70800,-0.61200,13.23900,23.46900,23.46900,3.35900,20.11000,20.11000,0.05200,13.18400,44.43700,31.23000,20.57100,20.73100,0.64000,0.64000,1.02250,0.86160,6.34820,11.49990,7.35240,9.78380,7.35240,4.13030,0.27970,18.90860,2.02200,44.51120,26.68350,-17.27810,1.76220,3.69230,3.65650,1.2498,0.3403
2022-03-31,177.36000,200.13500,-22.77500,-1.22100,10.42500,-33.20000,-33.20000,-2.58200,-30.61800,-30.61800,0.27500,-31.30200,-14.04400,-27.32300,20.51800,20.51800,-1.53000,-1.53000,0.95950,0.69200,2.30280,-12.84110,-18.71900,-15.40540,-18.71900,-17.64890,0.16740,21.77510,1.87540,47.98880,-45.75310,-141.12290,-2.88970,-4.72740,9.69350,0.87350,0.26460
2021-12-31,183.57300,197.44000,-13.86700,-0.56400,12.51500,-26.38200,-26.38200,-1.90600,-24.47600,-24.47600,0.02400,-22.05900,-4.46200,-18.22600,20.41100,20.41100,-1.08000,-1.08000,1.12840,0.82940,5.00210,-7.55390,-14.37140,-9.92840,-14.37140,-12.01650,0.17690,23.00900,1.99610,45.08800,-26.65130,28.65070,-2.35880,-4.54590,4.46840,-1.7237,-2.3691
2021-09-30,233.59900,193.48000,40.11900,-0.46600,15.26300,24.85600,24.85600,5.32900,19.52700,19.52700,0.24800,9.48800,47.85000,34.37400,20.42000,20.74200,0.46000,0.46000,1.30210,0.79900,4.04760,17.17430,10.64050,14.71500,10.64050,4.06170,0.22090,22.10950,3.24420,27.74180,17.39460,-29.72690,1.84640,3.49680,5.46990,1.8082,0.8352
2021-06-30,61.23300,96.20900,-34.97600,-0.68000,10.09500,-45.07100,-45.07100,-2.16600,-42.90500,-42.90500,-0.06200,-44.49600,-26.17300,-39.50600,20.39700,20.39700,-2.18000,-2.18000,0.80040,0.79340,3.87370,-57.11950,-73.60570,-64.51750,-73.60570,-72.66670,0.06480,8.42170,2.47950,36.29810,-41.83120,52.18320,-4.54270,-8.64100,5.00570,-0.3328,-1.0817
2021-03-31,28.93500,67.14300,-38.20800,-0.36000,10.27600,-48.48400,-48.48400,-3.04500,-45.43900,-45.43900,0.34800,-45.10600,-30.22200,-43.39900,20.37000,20.37000,-2.21000,-2.21000,0.89400,0.57600,1.36900,-132.04770,-167.56180,-149.98790,-167.56180,-155.88730,0.03200,7.98750,1.56640,57.45570,-32.51240,-52.32010,-5.02280,-7.12380,13.20500,-1.60620,-1.37380
2020-12-31,27.90300,78.17700,-50.27400,-0.23800,7.58100,-57.85500,-57.85500,-6.20800,-51.64700,-51.64700,-0.02500,-54.40500,-41.10800,-54.87700,20.27900,20.27900,-2.57000,-2.57000,0.93370,0.62110,1.68690,-180.17400,-207.34300,-196.67050,-207.34320,-194.97900,0.03270,8.95810,1.56430,57.53250,-29.66530,-1676.85000,-6.05320,-11.24090,8.50970,-1.8127,-2.4677
