Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,365.12200,262.69200,102.43000,42.89800,-8.75000,69.21700,33.21300,3.45800,36.67100,8.39200,28.27900,28.27900,28.24200,56.12300,33.21300,28.62000,29.71900,0.99000,0.95000,1.83340,0.40520,0.69990,28.05360,9.09640,9.09640,10.04350,7.73490,0.17480,2.35850,1.56330,57.57160,3.14640,3.14640,1.35420,1.87160,31.39440,2.2038,0.3205
2024-06-30,359.74900,246.42100,113.32800,44.93300,-6.78500,68.56600,44.76200,-7.32600,37.43600,9.24500,28.19100,28.19100,28.15700,66.97300,44.76200,28.47600,29.46200,0.99000,0.96000,1.86390,0.40530,0.70020,31.50200,12.44260,12.44260,10.40620,7.82680,0.18190,2.39030,1.50340,59.86270,3.32180,3.32180,1.42580,1.97560,29.65610,1.1358,-0.4071
2024-03-31,337.09400,247.36400,89.73000,43.34700,-6.38500,66.90100,22.82900,-13.68900,9.14000,2.50800,6.63200,6.63200,6.60500,45.27600,22.82900,28.33200,29.23900,0.23000,0.23000,1.72850,0.39300,0.66330,26.61870,6.77230,6.77230,2.71140,1.95940,0.17600,2.41670,1.43500,62.71920,0.80860,0.80860,0.34620,0.49080,28.89390,0.91240,-1.29550
2023-12-31,337.93400,249.52800,88.40600,44.14300,-7.68200,68.83200,19.57400,-6.07900,13.49500,21.59800,-8.10300,-8.10300,-7.93800,41.04600,19.57400,28.13900,28.13900,-0.28000,-0.28000,1.81920,0.39380,0.66580,26.16070,5.79230,5.79230,3.99340,-2.34900,0.17440,2.49870,1.44030,62.48500,-0.98440,-0.98440,-0.41830,-0.59670,29.07730,-0.2958,-1.009
2023-09-30,338.09000,240.68200,97.40800,46.25600,-3.67300,67.79100,29.61700,-2.63500,26.98200,22.63700,4.34500,4.34500,4.31700,51.97300,29.61700,28.21700,28.95900,0.15000,0.15000,1.71270,0.40050,0.68410,28.81130,8.76010,8.76010,7.98070,1.27690,0.17890,2.53380,1.54300,58.32840,0.54640,0.54640,0.22990,0.32750,28.15260,0.5495,0.1867
2023-06-30,319.38300,240.65900,78.72400,44.61600,-10.24200,73.15000,5.57400,-21.42000,-15.84600,-14.20900,-1.63700,-1.63700,-1.63700,28.29600,5.57400,28.05800,28.05800,-0.06000,-0.06000,1.83030,0.39900,0.68000,24.64880,1.74520,1.74520,-4.96140,-0.51260,0.16850,2.65640,1.56360,57.56050,-0.20140,-0.20140,-0.08630,-0.12100,28.85270,0.6484,0.3324
2023-03-31,302.02200,226.72400,75.29800,46.73000,-5.13700,69.31200,5.98600,-12.60500,-6.61900,-5.09400,-1.52500,-1.52500,-1.52200,28.34200,5.98600,27.98300,27.98300,-0.05000,-0.05000,1.91450,0.40260,0.69010,24.93130,1.98200,1.98200,-2.19160,-0.50390,0.15910,2.62490,1.44810,62.14880,-0.19100,-0.19100,-0.08030,-0.11410,28.50850,0.23640,-0.05320
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,-0.3787,-0.0542
2022-09-30,307.27000,231.42300,75.84700,41.14600,-3.96600,61.16300,14.68400,1.93300,16.61700,0.11600,16.50100,16.50100,16.51800,36.16000,14.68400,27.95800,28.40500,0.59000,0.58000,1.78140,0.39060,0.65510,24.68420,4.77890,4.77890,5.40790,5.37570,0.17430,2.91350,1.50060,59.97520,2.14620,2.14620,0.93580,1.30780,27.44270,-0.6011,-0.6029
2022-06-30,301.73700,224.50100,77.23600,40.15900,-14.82800,71.52300,5.71300,6.53300,12.24600,8.23100,4.01500,4.01500,3.98700,27.46800,5.71300,28.26900,28.91200,0.14000,0.14000,1.72510,0.38780,0.64830,25.59710,1.89340,1.89340,4.05850,1.32130,0.16380,2.75930,1.42270,63.26040,0.50610,0.50610,0.21790,0.30980,28.13030,0.7822,0.7374
