Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.32700,0.82900,-3.15600,0.06900,-3.08700,-3.08700,-3.08700,-3.07600,-3.15600,-3.15600,1.60000,1.60000,-1.92000,-1.92000,2.69780,,,-186.86430,-186.86440,-117.60000,-186.86440,1.02990,-0.3579,-0.3579
2024-06-30,1.36100,1.46200,-2.82300,0.12200,-2.70100,-2.70100,-2.70100,-7.18600,-2.82300,-2.82300,1.11800,1.11800,-6.43000,-6.43000,4.29630,,,-70.57750,-70.57750,-54.15000,-70.57750,3.21600,0.7457,0.7457
2024-03-31,2.39200,1.31600,-3.70800,-0.64100,-4.34900,-4.34900,-4.34900,-4.34000,-3.70800,-3.70800,0.56200,0.56200,-15.40000,-15.40000,2.34420,,,-229.13610,-229.13590,-131.38970,-229.13590,3.21690,-5.55160,-5.55160
2023-12-31,0.98200,1.13800,-2.12000,2.73700,0.61700,0.61700,0.61700,0.64000,-2.12000,-2.12000,0.14090,0.14090,61.76580,61.76580,1.54680,,,94.34250,94.34260,33.35140,94.34260,1.91790,-1.0978,-1.0978
2023-09-30,0.90700,1.16100,-2.06800,2.58100,0.51300,0.51300,0.51300,0.52600,-2.06800,-2.06800,0.10800,0.10800,4.86000,4.86000,0.09990,,,-11.34450,-11.34450,102.19120,-11.34450,-37.92950,-5.4276,-5.4276
2023-06-30,3.02700,0.89600,-3.92300,-0.09300,-4.01600,-4.01600,-4.01600,-4.00700,-3.92300,-3.92300,0.10300,0.10300,-38.74000,-38.74000,0.21330,,,65.34330,65.34330,-241.05640,65.34330,-58.34660,-39.3063,-39.3063
2023-03-31,5.44500,0.98400,-6.42900,-1.17300,-7.60200,-7.60200,-7.60200,-7.53600,-6.42900,-6.42900,0.07400,0.07400,-101.57000,-101.57000,0.79660,,,352.43460,352.43380,-89.99650,352.43390,-23.75230,-21.25680,-21.25680
2022-12-31,0.54500,3.36700,-3.91200,4.43800,0.52400,0.52400,0.52400,0.57500,-3.91200,-3.91200,0.02910,0.02910,96.24060,96.24060,1.91250,,,16.04410,16.04410,7.65520,16.04410,51.43780,-85.6223,-85.6223
2022-09-30,0.19400,0.46900,-0.66300,-0.00100,-0.66200,-0.66200,-0.66200,-0.66200,-0.66300,-0.66300,0.01950,0.01950,-33.83460,-33.83460,0.93650,,,1697.37200,1697.43400,-115.13040,1697.43600,-1.98000,-27.9092,-27.9092
2022-06-30,0.15100,0.45400,-0.60500,0.00100,-0.60400,-0.60400,-0.60400,-0.60400,-0.60500,-0.60500,0.01940,0.01940,-30.82710,-30.82710,2.46930,,,-101.00340,-101.00330,-60.09950,-101.00330,30.45400,-43.9796,-43.9796
