Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,74.78100,24.71000,50.07100,4.66700,-1.26000,30.32200,19.74900,-14.63400,5.11500,5.11500,5.11500,4.86300,42.31400,19.74900,103.51500,103.90500,0.05000,0.05000,0.51630,1.06730,26.40910,26.40910,6.84000,6.50300,0.02410,0.37020,0.41400,0.16480,0.17910,13.07550,0.5449,-0.0335
2024-06-30,76.22100,25.96100,50.26000,7.12800,,31.62200,18.63800,-13.78800,4.85000,4.85000,4.85000,4.61100,41.38900,18.63800,102.91400,103.20100,0.04000,0.04000,0.50510,1.02070,24.45260,24.45260,6.36310,6.04950,0.02540,0.35340,0.39590,0.16190,0.17490,13.32050,0.5503,-0.4104
2024-03-31,72.80000,24.82100,47.97900,6.45500,,30.67400,17.30500,-12.42100,4.88400,4.88400,4.88400,4.62600,39.47200,17.30500,101.99300,102.23500,0.04000,0.04000,0.49470,0.97920,23.77060,23.77060,6.70880,6.35440,0.02470,0.35190,0.39240,0.16600,0.17780,13.55910,0.23370,0.02370
2023-12-31,72.62000,25.26100,47.35900,6.69200,,30.47400,16.88500,-12.09800,4.78700,4.78700,4.78700,4.43600,38.51300,16.88500,94.26400,94.55600,0.04000,0.04000,0.47880,0.91860,23.25120,23.25120,6.59190,6.10850,0.02520,0.33960,0.37960,0.16620,0.17700,13.95930,0.1777,-0.6495
2023-09-30,72.01400,26.56000,45.45400,6.10700,,28.67300,16.78100,-10.70000,6.08100,6.08100,6.08100,5.37400,37.29500,16.78100,93.53700,93.84900,0.06000,0.06000,0.45880,0.84780,23.30240,23.30240,8.44420,7.46240,0.02550,0.42370,0.46970,0.21520,0.22930,15.08880,0.4024,0.2968
2023-06-30,71.37300,25.24800,46.12500,7.02400,,30.08700,16.03800,-10.26000,5.77800,5.77800,5.77800,5.10300,36.81800,16.03800,93.35900,93.64100,0.05000,0.05000,0.46200,0.85870,22.47070,22.47070,8.09550,7.14980,0.02540,0.40630,0.45270,0.20580,0.21860,15.22300,0.3938,0.2857
2023-03-31,71.22000,25.35600,45.86400,7.29500,,30.83700,15.02700,-10.61300,4.41400,4.41400,4.41400,3.89100,36.38400,15.02700,91.09900,91.32900,0.04000,0.04000,0.45840,0.84630,21.09940,21.09940,6.19770,5.46340,0.02530,0.30650,0.34250,0.15660,0.16600,15.41960,0.23680,0.12100
2022-12-31,73.50600,25.01600,48.49000,6.96600,,32.09900,16.39100,2.02900,18.42000,18.42000,18.42000,16.29400,39.33300,16.39100,90.61400,90.94900,0.17000,0.17000,0.47000,0.88690,22.29880,22.29890,25.05920,22.16690,0.02600,1.30550,1.46930,0.65100,0.69190,15.53710,0.2457,2.3592
2022-09-30,75.04100,25.97900,49.06200,5.87000,,31.19500,17.86700,-17.11800,0.74900,0.74900,0.74900,0.64200,41.12300,17.86700,90.77300,91.11900,0.01000,0.01000,0.49130,0.96600,23.80970,23.80970,0.99810,0.85550,0.02530,0.05280,0.06040,0.02530,0.02690,15.62310,0.4325,0.1688
2022-06-30,72.75700,23.40200,49.35500,5.96600,,30.61100,18.74400,-10.61400,8.13000,8.13000,8.13000,7.19700,41.35100,18.74400,90.75100,91.08400,0.08000,0.08000,0.48110,0.92700,25.76250,25.76250,11.17420,9.89180,0.02470,0.56380,0.64580,0.27640,0.29260,15.87800,0.4403,-0.524
2022-03-31,72.30200,23.28400,49.01800,5.98300,,30.50400,18.51400,-10.25100,8.26300,8.26300,8.26300,7.34100,40.85100,18.51400,90.15100,90.57200,0.08000,0.08000,0.46090,0.85480,25.60650,25.60650,11.42850,10.15330,0.02550,0.57410,0.65590,0.29170,0.30950,15.85530,0.26620,0.19180
2021-12-31,71.63700,23.07900,48.55800,6.05300,,30.15500,18.40300,-10.62200,7.78100,7.78100,7.78100,6.88900,40.11400,18.40300,84.04300,84.61900,0.08000,0.08000,0.45660,0.84010,25.68920,25.68920,10.86170,9.61650,0.02530,0.53980,0.61990,0.27530,0.29330,15.99130,0.2804,-0.9463
2021-09-30,69.60800,22.81400,46.79400,5.89300,,29.17600,17.61800,-8.57600,9.04200,9.04200,9.04200,7.97700,38.52400,17.61800,83.96200,84.47200,0.09000,0.09000,0.42380,0.73550,25.31030,25.31030,12.98990,11.45990,0.02720,0.65970,0.74550,0.35380,0.38010,15.91680,0.445,0.1683
2021-06-30,68.61400,21.84900,46.76500,5.76800,,28.77600,17.98900,-8.73500,9.25400,9.25400,9.25400,8.20100,38.47100,17.98900,83.81800,84.24700,0.10000,0.10000,0.43670,0.77520,26.21770,26.21770,13.48700,11.95240,0.02700,0.69340,0.78870,0.36380,0.39060,15.90040,0.3583,-0.001
2021-03-31,65.00100,19.38000,45.62100,5.80800,,28.62000,17.00100,-9.12100,7.88000,7.88000,7.88000,6.99100,37.19600,17.00100,82.12000,82.59700,0.08000,0.08000,0.43150,0.75920,26.15500,26.15500,12.12290,10.75520,0.02590,0.59390,0.67670,0.31420,0.33760,15.82210,0.31490,-0.55790
2020-12-31,65.20300,21.08700,44.11600,5.06500,,28.55000,15.56600,-12.94000,2.62600,2.62600,2.62600,2.33400,36.44200,15.56600,78.21900,78.79100,0.03000,0.03000,0.42940,0.75250,23.87310,23.87310,4.02740,3.57960,0.02650,0.20200,0.23100,0.10690,0.11530,15.83280,0.5006,-0.9418
2020-09-30,61.13100,19.11600,42.01500,4.57700,,28.56600,13.44900,-8.62800,4.82100,4.82100,4.82100,4.26400,35.36600,13.44900,80.33500,80.92900,0.05000,0.05000,0.40900,0.69200,22.00030,22.00030,7.88630,6.97520,0.02550,0.37080,0.42380,0.20120,0.21910,16.00780,0.3588,-0.0657
2020-06-30,60.52600,17.53200,42.99400,5.50500,,29.82700,13.16700,-9.00400,4.16300,4.16300,4.16300,3.66600,35.18100,13.16700,76.17200,76.87000,0.05000,0.05000,0.41240,0.70180,21.75430,21.75430,6.87800,6.05690,0.02570,0.32450,0.37380,0.17640,0.19070,16.10740,0.4737,-0.6375
2020-03-31,58.21800,17.82000,40.39800,5.48300,,29.57700,10.82100,-8.90300,1.91800,1.91800,1.91800,1.69700,32.72400,10.82100,74.89270,75.61620,0.02000,0.02000,0.43910,0.78280,18.58700,18.58700,3.29450,2.91490,0.02520,0.16020,0.18710,0.08310,0.08990,15.94630,0.50970,-0.19500
2019-12-31,60.77700,20.38900,40.38800,5.90200,,29.92100,10.46700,-8.85600,1.61100,1.61100,1.61100,1.43200,32.29100,10.46700,68.77000,69.20900,0.02000,0.02000,0.42910,0.75160,17.22200,17.22200,2.65070,2.35620,0.02720,0.13430,0.15620,0.07210,0.07670,16.03380,0.3943,-1.0337
2019-09-30,57.58900,19.41600,38.17300,5.29800,,29.11600,9.05700,-8.45400,0.60300,0.60300,0.60300,0.54900,30.99300,9.05700,71.44400,71.82900,0.01000,0.01000,0.43260,0.76240,15.72700,15.72700,1.04710,0.95330,0.02590,0.05090,0.05960,0.02710,0.02890,16.14040,1.1003,0.1363
2019-06-30,52.74900,16.39900,36.35000,4.66700,,28.08600,8.26400,-1.77300,6.49100,6.49100,6.49100,5.64200,29.97200,8.26400,68.24800,68.42000,0.08000,0.08000,0.43950,0.78410,15.66670,15.66670,12.30550,10.69590,0.02500,0.57040,0.67500,0.30800,0.31970,16.34930,0.3334,-0.9228
2019-03-31,50.60700,15.71800,34.88900,4.31700,,27.23800,7.65100,-8.13200,-0.48100,-0.48100,-0.48100,-0.41600,28.62800,7.65100,61.22600,61.22600,-0.01000,-0.01000,0.41920,0.72180,15.11850,15.11850,-0.95050,-0.82200,0.02510,-0.04260,-0.05010,-0.02390,-0.02470,16.61250,0.22830,-2.51490
2018-12-31,48.20800,14.88700,33.32100,4.12800,,25.75600,7.56500,-6.92200,0.64300,0.64300,0.64300,0.59000,27.03500,7.56500,53.51100,54.93100,0.01000,0.00000,0.42770,0.74750,15.69250,15.69250,1.33380,1.22390,0.02590,0.06270,0.07480,0.03450,0.03590,16.84910,0.3508,-2.1665
2018-09-30,39.43700,12.00800,27.42900,3.61400,,20.02300,7.40600,-4.92400,2.48200,2.48200,2.48200,2.15500,21.53400,7.40600,60.44600,61.97900,0.03000,0.03000,0.38990,0.63920,18.77930,18.77930,6.29360,5.46440,0.02220,0.23840,0.28390,0.13960,0.14540,17.12130,0.2096,-4.8717
2018-06-30,36.97200,11.06800,25.90400,3.62300,,18.71000,7.19400,-5.47500,1.71900,1.71900,1.71900,1.44000,19.81600,7.19400,47.53100,49.12500,0.02000,0.02000,0.31440,0.45850,19.45800,19.45800,4.64950,3.89480,0.02310,0.16280,0.18610,0.10750,0.11160,17.49090,0.3193,-0.3264
2018-03-31,35.97400,10.26000,25.71400,3.45900,,18.31700,7.39700,-5.58200,1.81500,1.81500,1.81500,1.51900,19.99000,7.39700,45.00800,46.01800,0.03000,0.03000,0.41950,0.72250,20.56210,20.56210,5.04530,4.22250,0.02530,0.22840,0.27580,0.12740,0.13260,17.48150,0.26320,0.01060
2017-12-31,36.32500,10.56700,25.75800,3.39400,,18.47500,7.28300,-5.75500,1.52800,1.52800,1.52800,1.28700,20.11900,7.28300,39.60800,41.56400,0.03000,0.03000,0.42130,0.72800,20.04960,20.04960,4.20650,3.54300,0.02550,0.19320,0.23580,0.10720,0.11180,17.66340,0.1625,-1.0012
