Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.25360,0.19430,0.05930,0.13140,1.65500,-0.03500,1.82140,-1.76210,0.04140,-1.72070,-1.72070,-1.72070,-1.72070,-1.72820,-1.76210,1.73700,1.73700,-0.99000,-0.99000,16.83430,,23.40070,-694.82260,-694.82260,-678.50310,-678.50310,0.02190,0.18430,3.13520,28.70610,-15.74140,-16.38760,-14.83750,-15.74140,4.51500,0.4922,0.5059
2024-06-30,0.30870,0.25350,0.05520,0.25680,1.73770,-0.03500,2.02950,-1.97440,0.02600,-1.94840,-1.94840,-1.94840,-1.94840,-1.92860,-1.97440,1.04400,1.04400,-1.87000,-1.87000,14.73130,,17.87470,-639.60910,-639.60910,-631.19940,-631.19940,0.03930,0.25320,5.01000,17.96400,-26.53010,-27.85460,-24.79140,-26.53010,4.80950,-0.9877,-0.9721
2024-03-31,0.38350,0.37650,0.00700,0.21630,1.77020,-0.03500,2.02160,-2.01460,0.04330,-1.97130,-1.97130,-1.97130,-1.97130,-1.98510,-2.01460,0.64760,0.64760,-3.00000,-3.00000,4.65290,,1.81270,-525.35680,-525.35680,-514.07040,-514.07040,0.07970,0.41000,7.26560,12.38710,-50.52610,-55.19750,-40.95800,-50.52610,5.89630,-2.26580,-2.31570
2023-12-31,0.61580,0.79590,-0.18010,0.12080,2.15950,-0.03500,2.31540,-2.49550,0.10180,-2.39370,-2.39370,-2.39370,-2.39370,-2.47630,-2.49550,0.52580,0.52580,-4.16000,-4.16000,8.99420,,-29.25650,-405.27680,-405.27680,-388.74460,-388.74460,0.09900,0.92900,6.60600,13.62390,-43.06140,-45.40080,-38.49180,-43.06150,7.44150,-5.0426,-5.0479
2023-09-30,0.22190,0.14150,0.08030,0.19270,1.44940,-0.03500,1.67720,-1.59680,0.04570,-1.55110,-1.55110,-1.55110,-1.55110,-1.57760,-1.59680,0.74700,0.74700,-2.08000,-2.08000,17.39650,,36.21140,-719.68270,-719.68270,-699.08960,-699.08960,0.02730,0.12010,1.73860,51.76660,-20.29640,-21.04630,-19.11190,-20.29640,11.83290,0.1994,0.1276
2023-06-30,0.16990,0.19970,-0.02980,0.19750,1.07200,-0.03500,1.30450,-1.33430,0.04650,-1.28780,-1.28780,-1.28780,-1.28780,-1.30380,-1.33430,0.50400,0.50400,-2.56000,-2.56000,26.52900,,-17.54620,-785.20500,-785.20500,-757.84710,-757.84710,0.01820,0.19460,1.30060,69.19920,-14.38700,-14.80270,-13.78850,-14.38700,13.85950,-2.5235,-2.5176
2023-03-31,0.14490,0.13460,0.01030,0.15120,1.25310,-0.03500,1.43930,-1.42890,-0.00190,-1.43080,-1.43080,-1.43080,-1.43080,-1.41270,-1.42890,0.37850,0.37850,-3.80000,-3.80000,9.00060,,7.10110,-986.01790,-986.01790,-987.30330,-987.30330,0.02830,0.18120,1.13540,79.26930,-31.44430,-33.19840,-27.98430,-31.44430,11.79450,-3.60000,-3.67430
2022-12-31,0.06710,0.26390,-0.19680,0.13160,1.51300,-0.03500,1.67960,-1.87640,-0.00070,-1.87710,-1.87710,-1.87710,-1.87710,-1.86350,-1.87640,0.32650,0.32650,-5.20000,-5.20000,7.06780,0.01520,-293.42020,-2797.75800,-2797.75800,-2798.86300,-2798.86300,0.01430,0.90220,0.60830,147.95760,-46.64370,-48.29440,-40.02530,-46.64370,11.01530,-3.5627,-3.7044
2022-09-30,0.15200,0.12910,0.02290,0.30470,1.04890,-0.03500,1.38860,-1.36570,-0.03860,-1.40430,-1.40430,-1.40430,-1.40430,-1.35820,-1.36570,0.33370,0.33370,-4.20000,-4.20000,7.17010,0.02990,15.04700,-898.74760,-898.74760,-924.15670,-924.15670,0.02370,0.20800,0.81000,111.10560,-25.22650,-25.78310,-21.88130,-25.22650,15.23700,-2.5651,-2.7157
2022-06-30,0.20470,0.16150,0.04320,0.05260,1.10210,-0.03500,1.18960,-1.14640,-0.04740,-1.19380,-1.19380,-1.19380,-1.19380,-1.14000,-1.14640,0.30300,0.30300,-4.00000,-4.00000,0.34050,-1.43300,21.12280,-559.91080,-559.91080,-583.08400,-583.08400,0.18590,0.41970,1.09560,82.14910,88.28210,80.99650,-108.41670,88.28210,-4.46290,-1.6674,-1.6949
