Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi
2010-09-30,222.36000,142.77000,79.59000,52.86000,68.57000,11.02000,11.01000,2.03000,8.98000,8.97000,0.00000,8.97000,0.61900,1.70250,11.54570,9.40650,0.04290,1.31940,-1.59820,0.40330,0.50270
2010-06-30,209.97000,155.32000,54.65000,51.79000,67.73000,-13.08000,-13.08000,-13.48000,0.40000,0.40000,85.21000,85.61000,0.00190,0.08190,-14.80810,96.92060,0.03960,0.06000,0.07350,0.01790,0.05990
2010-03-31,206.95000,144.19000,62.76000,52.92000,69.31000,-6.55000,-6.55000,-1.08000,-5.47000,-5.46000,-4.01000,-9.47000,0.00250,0.09060,-7.13590,-10.31700,0.03950,-0.95280,-1.20860,-0.23510,-0.95050
