Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,299.54600,96.16300,203.38300,200.52600,206.73600,-3.35300,-3.35300,2.83500,-6.18800,-6.18800,,-6.18800,196.70020,197.70660,-0.03000,-0.03000,0.00470,-2.14390,-3.95650,0.00610,-0.16860,-0.23680,-0.02430,-0.16860,17.09070,0.4557,0.4538
2024-06-30,232.72400,78.72700,153.99700,115.49100,115.99500,38.00200,38.00200,11.67100,26.33100,26.33100,,26.33100,163.14520,163.49930,0.16000,0.16000,0.00590,25.69940,17.80670,0.00700,0.88730,1.09610,0.12510,0.88730,16.79500,0.3316,0.3071
2024-03-31,230.30300,72.71100,157.59200,108.14900,108.65300,48.93900,48.93900,10.29200,38.64700,38.64700,,38.64700,162.86300,163.18800,0.24000,0.24000,0.00600,32.59540,25.74050,0.00710,1.30880,1.61900,0.18250,1.30880,16.71750,0.19960,0.18430
2023-12-31,230.38500,70.33900,160.04600,125.72200,126.22700,33.81900,33.81900,2.31000,31.50900,31.50900,286.99400,318.50300,162.29300,162.40310,1.97000,1.97000,0.00600,21.84010,205.68750,0.00730,1.05920,1.30820,0.14910,1.05920,16.86170,0.3254,0.3017
2023-09-30,221.32500,64.96300,156.36200,108.57200,109.07600,47.28600,47.28600,-16.17800,63.46400,63.46400,-4.35100,59.11300,162.37050,162.46990,0.36000,0.36000,0.27530,31.72830,39.66410,0.00700,2.59400,3.37600,0.30010,2.59400,13.87120,0.2201,0.2072
2023-06-30,227.96900,60.17700,167.79200,106.93100,107.43500,60.35700,60.35700,15.93800,44.41900,44.41900,4.23800,48.65700,162.23220,162.24670,0.30000,0.30000,0.12430,37.65460,30.35540,0.00740,1.75790,2.37820,0.20580,1.75790,14.32600,0.4456,0.4396
2023-03-31,-120.97300,50.57100,-171.54400,95.62500,95.91600,-267.46000,-267.46000,-65.37900,-202.08100,-202.08100,7.98500,-194.09600,161.99100,162.05900,-1.20000,-1.20000,0.42690,155.89060,113.13000,-0.00760,-7.83530,-10.53080,-0.88940,-7.83530,14.62690,0.62030,0.61280
2022-12-31,143.93200,25.00400,118.92800,84.59400,83.75900,35.16910,35.16900,4.15400,31.01500,31.01500,11.27900,42.29400,165.51040,165.64860,0.27000,0.27000,0.28480,32.54940,39.14370,0.00480,1.25480,1.62910,0.13700,1.25480,14.03060,0.0072,-0.0069
2022-09-30,177.35100,5.64800,171.70300,101.94600,102.24500,69.45800,69.45800,16.65000,52.80800,52.80800,1.96900,54.77700,163.71900,164.02960,0.33000,0.33000,0.15900,42.03890,33.15340,0.00750,2.18560,3.01080,0.23960,2.18560,13.59130,0.3854,0.408
2022-06-30,182.74800,3.11400,179.63400,111.28200,112.18900,67.44500,67.44500,16.27300,51.17200,51.17200,,51.17200,166.53390,166.57360,0.31000,0.31000,0.00870,37.76650,28.65430,0.00800,1.88240,2.47860,0.22890,1.88240,15.16510,0.5932,0.6071
2022-03-31,177.90000,3.36100,174.53900,107.55400,108.38100,66.15800,66.15800,14.64200,51.51600,51.51600,,51.51600,169.85800,169.96820,0.30000,0.30000,0.00460,37.79940,29.43370,0.00770,1.71240,2.18880,0.22560,1.71240,16.40000,0.40230,0.43240
2021-12-31,78.16000,2.44000,75.72000,57.85000,56.28300,19.43700,19.43700,-6.51600,25.95300,25.95300,,35.08700,172.19230,172.25210,0.20000,0.20000,0.00410,24.28470,43.83790,0.00340,0.76190,0.94150,0.11040,0.76190,18.28370,0.2753,0.3874
2021-09-30,146.67700,0.77700,145.90000,96.85300,97.48200,48.41800,48.41800,11.31200,37.10600,37.10600,,37.10600,172.29860,172.29860,0.22000,0.22000,0.00410,32.85070,25.17570,0.00840,1.08200,1.21680,0.21250,1.08200,18.36220,0.3913,0.3798
2021-06-30,151.41400,1.07300,150.34100,103.41000,104.03500,46.30600,46.30600,11.49700,34.80900,34.80900,,34.80900,172.17370,172.17370,0.20000,0.20000,0.00420,30.13910,22.65610,0.00900,1.01470,1.14120,0.20420,1.01470,18.36930,-0.0309,-0.0373
2021-03-31,156.34500,1.04200,155.30300,92.93700,93.46900,61.83400,61.83400,14.17100,47.66300,47.66300,,47.66300,172.04900,172.04900,0.28000,0.28000,0.00430,39.66690,30.57610,0.00930,1.40720,1.58290,0.28500,1.40720,18.13600,0.37730,0.37740
2020-12-31,154.36100,1.11500,153.24600,199.31400,200.06900,-46.82300,-46.82300,-2.76100,-44.06200,-44.06200,,-44.06200,,,,0.00000,0.00430,-30.73460,-28.92230,0.00950,-1.28530,-1.44390,-0.27600,-1.28530,18.35560,0,0
2020-09-30,148.22200,1.77100,146.45100,109.81800,110.51700,35.93400,35.93400,7.42900,28.50500,28.50500,,28.50500,,,,0.00000,0.00860,24.65440,19.55730,0.00940,1.66370,2.13080,0.18440,1.66370,,0,0
2020-06-30,149.59000,3.17800,146.41200,108.66400,109.36500,37.04700,37.04700,7.19700,29.85000,29.85000,,29.85000,,,,0.00000,,26.88230,21.65990,,,,,,,0,0
2020-03-31,139.52800,6.01300,133.51500,123.07000,123.77200,9.74300,9.74300,1.29800,8.44500,8.44500,,8.44500,,,,0.00000,,9.28660,8.04940,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2019-09-30,154.31300,8.57500,145.73800,99.78200,100.66600,45.07200,45.07200,9.23000,35.84200,35.84200,,35.84200,,,,0.00000,,30.92670,24.59350,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
