Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1464.00000,301.00000,1163.00000,956.00000,956.00000,207.00000,,207.00000,50.00000,157.00000,157.00000,157.00000,119.67480,120.11810,1.32000,1.31000,0.86820,6.58880,31.79720,24.11670,0.02550,4.89400,10.85750,0.61380,0.64490,26.86680,5.6421,5.6421
2024-06-30,1393.00000,297.00000,1096.00000,1004.00000,1004.00000,92.00000,,92.00000,21.00000,71.00000,71.00000,71.00000,119.78760,120.18520,0.59000,0.59000,0.86770,6.55600,17.65840,13.62760,0.02080,2.25180,5.10790,0.28300,0.29800,26.32810,5.9265,5.9265
2024-03-31,1353.00000,277.00000,1076.00000,872.00000,872.00000,204.00000,,204.00000,49.00000,155.00000,155.00000,155.00000,119.82920,120.24470,1.29000,1.29000,0.85860,6.07340,31.62790,24.03100,0.02700,4.82270,10.21080,0.64830,0.68180,26.81080,4.64050,4.64050
2023-12-31,1374.00000,269.00000,1105.00000,884.00000,884.00000,221.00000,,221.00000,56.00000,165.00000,165.00000,165.00000,120.38220,120.62960,1.39000,1.38000,0.86150,6.21880,33.58660,25.07600,0.02710,5.17890,11.08130,0.67920,0.71740,26.60390,5.6363,5.6363
2023-09-30,1352.00000,267.00000,1085.00000,839.00000,839.00000,246.00000,,246.00000,52.00000,194.00000,194.00000,194.00000,120.40790,120.75470,1.61000,1.61000,0.86460,6.38500,36.44440,28.74070,0.02800,6.23990,13.73940,0.80340,0.84490,25.85560,4.9264,4.9264
2023-06-30,1302.00000,244.00000,1058.00000,920.00000,920.00000,138.00000,,138.00000,35.00000,103.00000,103.00000,103.00000,120.53980,120.64690,0.85000,0.85000,0.86260,6.27700,23.83420,17.78930,0.02460,3.36820,7.56800,0.43810,0.46290,25.38880,5.6736,5.6736
2023-03-31,1271.00000,239.00000,1032.00000,797.00000,797.00000,235.00000,,235.00000,56.00000,179.00000,179.00000,179.00000,120.76570,120.96990,1.48000,1.48000,0.85530,5.90910,36.32150,27.66620,0.02880,5.80980,12.94290,0.79760,0.84090,25.55000,4.64580,4.64580
2022-12-31,1291.00000,231.00000,1060.00000,828.00000,828.00000,232.00000,,232.00000,56.00000,176.00000,176.00000,176.00000,124.17860,124.41730,1.47000,1.47000,0.85840,6.06340,35.36590,26.82930,0.02910,5.83750,13.36370,0.78090,0.82640,24.90870,5.2417,5.2417
2022-09-30,1288.00000,223.00000,1065.00000,819.00000,819.00000,246.00000,,246.00000,61.00000,185.00000,185.00000,185.00000,123.35250,123.56860,1.50000,1.49000,0.85800,6.04320,38.19880,28.72670,0.02880,6.14210,14.19800,0.82810,0.87210,24.56390,4.4969,4.4969
2022-06-30,1234.00000,219.00000,1015.00000,737.00000,737.00000,278.00000,,278.00000,70.00000,208.00000,208.00000,208.00000,124.53960,124.69800,1.67000,1.67000,0.85530,5.90900,41.12430,30.76920,0.03050,6.85790,15.72180,0.93710,0.99260,24.51370,5.1083,5.1083
2022-03-31,1251.00000,219.00000,1032.00000,633.00000,633.00000,399.00000,,399.00000,96.00000,303.00000,303.00000,303.00000,127.07570,127.46300,2.38000,2.38000,0.85040,5.68470,50.25190,38.16120,0.03640,9.80900,21.98840,1.38940,1.46740,24.55600,4.33850,4.33850
2021-12-31,1255.00000,234.00000,1021.00000,665.00000,665.00000,356.00000,,356.00000,93.00000,263.00000,263.00000,263.00000,132.65390,133.05450,2.06000,2.05000,0.85160,5.73880,45.40820,33.54590,0.03550,8.50310,19.03040,1.19120,1.26180,24.20000,4.5575,4.5575
2021-09-30,1268.00000,237.00000,1031.00000,655.00000,655.00000,376.00000,,376.00000,88.00000,288.00000,288.00000,288.00000,132.48720,132.92430,2.17000,2.17000,0.84980,5.65880,46.70810,35.77640,0.03670,9.22780,20.48360,1.31130,1.38580,23.74230,3.9378,3.9378
2021-06-30,1221.00000,231.00000,990.00000,527.00000,527.00000,463.00000,,463.00000,113.00000,350.00000,350.00000,350.00000,134.25590,134.64430,2.61000,2.60000,0.83270,4.97740,53.96270,40.79250,0.03830,9.89540,19.30500,1.56410,1.65550,26.41840,4.2681,4.2681
2021-03-31,1151.00000,235.00000,916.00000,370.00000,370.00000,546.00000,,546.00000,133.00000,413.00000,413.00000,413.00000,134.40540,134.80720,3.07000,3.06000,0.83540,5.07530,59.47710,44.98910,0.04310,12.48490,25.97480,1.94030,2.05500,24.59900,4.12440,4.12440
