Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-10-31,347.26900,173.21500,174.05400,47.40700,49.33300,124.72100,-117.60500,7.11600,2.01700,5.09900,5.09900,5.08900,,124.72100,8.14800,8.29200,0.62000,0.61000,,,,,,,,,,,,,,,,,,
2024-07-31,347.76300,186.57000,161.19300,46.71100,48.59500,112.59800,-113.78100,-1.18300,-0.21900,-0.96400,-0.96400,-0.97400,115.79300,112.59800,6.39700,6.39700,-0.15000,-0.15000,1.39630,1.66050,46.35140,32.37780,32.37780,-0.34020,-0.28010,0.22710,1.62880,0.30650,293.66100,-0.20460,-0.21510,-0.06300,-0.20460,73.65220,-2.34050,-2.49460
2024-04-30,365.90500,199.08600,166.81900,44.52600,46.29600,120.52300,-119.94500,0.57800,0.15200,0.42600,0.42600,0.41600,123.49900,120.52300,6.38800,6.38800,0.07000,0.09000,1.42390,1.60270,45.59080,32.93830,32.93830,0.15800,0.11370,0.24760,1.85250,0.33010,272.64190,0.09050,0.09340,0.02880,0.09050,73.61220,-1.6869,-1.8934
2024-01-31,299.61400,158.25000,141.36400,43.56200,45.27400,96.09000,-106.43200,-10.34200,-1.80000,-8.54200,-8.54200,-8.55200,99.12800,96.09000,6.39300,6.39300,-1.34000,-1.34000,1.42610,1.57790,47.18200,32.07130,32.07130,-3.45180,-2.85430,0.20420,1.44770,0.27390,328.60960,-1.82130,-1.87940,-0.58230,-1.82130,73.38550,2.04,1.5826
2023-10-31,361.58200,198.56300,163.01900,44.86300,46.55900,116.46000,-152.05100,-35.59100,-8.12800,-27.46300,-27.46300,-27.47300,119.74400,116.46000,6.38600,6.38600,-4.30000,-4.30000,1.43210,1.56220,45.08490,32.20850,32.20850,-9.84310,-7.59800,0.24310,1.74410,0.32400,277.77960,-5.76220,-5.90620,-1.84670,-5.76220,74.66850,-5.079,-5.1996
2023-07-31,366.79300,202.64700,164.14600,46.47000,48.16300,115.98300,-110.76300,5.22000,1.03400,4.18600,4.18600,4.17600,118.96200,115.98300,6.38200,6.63500,0.65000,0.63000,1.46630,1.40820,44.75170,31.62080,31.62080,1.42310,1.13850,0.24380,1.72930,0.32210,279.44960,0.82940,0.84910,0.27820,0.82940,79.08630,-6.84240,-6.97050
2023-04-30,384.41600,219.70800,164.70800,45.81400,47.41900,117.28900,-115.03600,2.25300,0.16500,2.08800,2.08800,2.07800,120.16800,117.28900,6.37100,6.56700,0.32000,0.33000,1.50230,1.28090,42.84630,30.51100,30.51100,0.58610,0.54060,0.27170,2.01030,0.35630,252.57810,0.41880,0.42890,0.14760,0.41880,78.22800,-1.706,-2.1654
2023-01-31,325.33900,181.82300,143.51600,44.73700,46.27400,97.24200,-95.48300,1.75900,0.25100,1.50800,1.50800,1.49800,99.63100,97.24200,6.37000,6.53700,0.24000,0.23000,1.50540,1.24400,44.11280,29.88940,29.88940,0.54070,0.46040,0.23500,1.38150,0.31400,286.62930,0.30450,0.31180,0.10890,0.30450,77.74630,-4.4339,-5.1838
2022-10-31,351.84000,206.14200,145.69800,42.91100,44.22000,101.47800,-97.42000,4.05800,0.91900,3.13900,3.13900,3.12900,104.16700,101.47800,6.36900,6.54800,0.49000,0.48000,1.56070,1.12070,41.41030,28.84210,28.84210,1.15340,0.88930,0.26940,1.58210,0.35300,254.95140,0.63760,0.64930,0.24030,0.63760,77.29890,-5.3793,-6.4752
2022-07-31,338.81800,193.11500,145.70300,43.23400,44.38500,101.31800,-83.59400,17.72400,4.02700,13.69700,13.69700,13.68700,104.42400,101.31800,6.37300,6.60200,2.15000,2.07000,1.59160,1.06520,43.00330,29.90340,29.90340,5.23110,4.03960,0.27140,1.33020,0.36650,245.57170,2.84950,2.90160,1.09730,2.84950,75.48380,-9.14900,-10.19720
2022-04-30,338.37500,191.43600,146.93900,40.99000,42.20000,104.73900,-69.35000,35.38900,7.90700,27.48200,27.48200,27.47200,106.16500,104.73900,6.51000,6.82300,4.27000,4.12000,1.69050,0.92470,43.42490,30.95350,30.95350,10.45850,8.11880,0.29300,1.66030,0.38940,231.10060,5.76710,5.87330,2.38000,5.76710,74.78560,-2.3239,-2.5887
2022-01-31,287.29200,157.24800,130.04400,39.17900,40.12900,89.91500,-64.63200,25.28300,6.14300,19.14000,19.14000,19.13000,91.07000,89.91500,6.48700,6.78000,2.95000,2.82000,1.74830,0.82820,45.26540,31.29740,31.29740,8.80050,6.65870,0.27500,1.31480,0.35840,251.08470,4.24820,4.33090,1.83220,4.24820,69.88370,-4.9507,-6.0009
2021-10-31,284.53900,157.16700,127.37200,37.16100,38.11900,89.25300,-59.04800,30.20500,6.78000,23.42500,23.42500,23.41500,90.44500,89.25300,6.53000,6.86300,3.59000,3.41000,1.82230,0.74080,44.76430,31.36760,31.36760,10.61540,8.22910,0.29130,1.44200,0.37810,238.04540,5.35470,5.44820,2.39800,5.35470,67.20910,-5.7062,-6.4621
2021-07-31,280.32900,152.76400,127.56500,38.80000,39.71500,87.85000,-56.09200,31.75800,6.79100,24.96700,24.96700,24.95700,88.88500,87.85000,6.60400,6.99800,3.78000,3.57000,1.91690,0.64430,45.50550,31.33820,31.33820,11.32880,8.90280,0.31120,1.57440,0.40500,222.20670,5.91800,6.02190,2.77180,5.91800,64.31110,-4.48630,-4.72760
