,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2022-11-09,2022-09-30,--,$0.46
1,2022-08-04,2022-06-30,--,$0.43
2,2022-05-12,2022-03-31,--,$0.42
3,2022-02-28,2021-12-31,--,$0.41
4,2021-11-10,2021-09-30,--,$0.40
5,2021-08-05,2021-06-30,--,$0.40
6,2021-05-13,2021-03-31,--,$0.40
7,2021-03-01,2020-12-31,--,$0.46
8,2020-11-12,2020-09-30,--,$0.42
9,2020-08-06,2020-06-30,--,$0.41
10,2020-05-07,2020-03-31,--,$0.39
11,2020-02-27,2019-12-31,--,$0.41
12,2019-10-30,2019-09-30,$0.38,$0.38
13,2019-08-08,2019-06-30,$0.38,$0.38
14,2019-05-02,2019-03-31,$0.40,$0.38
15,2019-02-28,2018-12-31,$0.39,$0.41
16,2018-11-01,2018-09-30,$0.42,$0.40
17,2018-08-09,2018-06-30,$0.40,$0.40
18,2018-05-03,2018-03-31,$0.41,$0.41
19,2018-03-01,2017-12-31,$0.40,$0.41
20,2017-11-09,2017-09-30,$0.40,$0.40
21,2017-08-09,2017-06-30,$0.41,$0.39
22,2017-05-04,2017-03-31,$0.40,$0.39
23,2017-02-28,2016-12-31,$0.41,$0.39
24,2016-11-10,2016-09-30,$0.40,$0.39
25,2016-08-11,2016-06-30,$0.40,$0.39
26,2016-05-05,2016-03-31,$0.39,$0.40
27,2016-02-25,2015-12-31,$0.40,$0.42
28,2015-11-12,2015-09-30,$0.37,$0.37
29,2015-08-13,2015-06-30,$0.33,$0.36
30,2015-04-30,2015-03-31,$0.38,$0.29
31,2015-03-05,2014-12-31,$0.44,$0.23
