Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2020-06-30,2.25380,1.73300,0.52080,2.20330,-0.38620,2.58960,-2.06880,-0.01470,-2.08340,-0.95200,-1.13140,-1.13140,-1.13140,-2.06880,-2.06880,0.25910,0.25910,-4.40000,-4.40000,4.27300,0.02110,23.10650,-91.78910,-91.78910,-92.43940,-50.19900,0.03970,0.85450,0.22830,394.14950,-2.25660,-2.28230,-1.99290,-2.25660,-15.1177,-14.9949
2019-06-30,4.42140,2.71280,1.70860,1.12990,0.03640,1.09360,0.61500,-0.01690,0.59810,0.23450,0.36360,0.36360,0.36360,0.72070,0.61500,0.24410,0.24410,1.50000,1.50000,5.12850,0.01970,38.64330,13.91010,13.91010,13.52800,8.22370,0.07130,1.96290,0.39410,228.39740,0.65700,0.66420,0.58640,0.65700,-0.0219,-0.0219
2019-03-31,4.61870,3.00490,1.61380,1.16580,0.09530,1.07050,0.54340,-0.01720,0.52610,0.21600,0.31020,0.31020,0.31020,0.85840,0.54340,0.22920,0.22920,1.35000,1.35000,6.26610,0.01910,34.94060,11.76410,11.76410,11.39150,6.71560,0.07370,2.23450,0.41010,219.45530,0.54100,0.54670,0.49500,0.54100,-1.41850,-1.41850
2018-12-31,6.62690,11.75140,-5.12450,1.32800,-13.49970,14.82760,-19.95220,-0.01640,-19.96860,-4.98190,-14.98660,-14.98660,-14.98660,-19.95220,-19.95220,0.22300,0.22300,-66.87100,-66.87100,4.56370,0.02010,-77.32960,-301.08070,-301.08070,-301.32840,-226.15020,0.10830,9.43280,0.73810,121.92710,-27.59900,-27.90920,-24.50160,-27.59900,-16.607,-16.6911
2018-09-30,3.55110,2.85920,0.69190,1.47990,0.01630,1.46360,-0.77180,-0.02890,-0.80060,-0.18350,-0.61710,-0.61710,-0.61710,-0.77180,-0.77180,0.22290,0.22290,-2.76900,-2.76900,5.73890,0.01590,19.48300,-21.73370,-21.73370,-22.54620,-17.37880,0.04730,0.84860,0.27000,333.27990,-0.89910,-0.89910,-0.82140,-0.89910,8.1166,8.2118
2018-06-30,3.89300,2.86460,1.02840,1.64150,0.05290,1.58870,-0.56020,-0.02570,-0.58590,-0.11940,-0.46650,-0.46650,-0.46650,-0.18800,-0.56020,0.22070,0.22070,-2.10000,-2.10000,5.46380,0.02200,26.41630,-14.39000,-14.39000,-15.04940,-11.98330,0.04910,0.99390,0.31790,283.12700,-0.64730,-0.64730,-0.58850,-0.64730,13.4377,13.4386
2018-03-31,4.46420,3.37600,1.08810,3.12860,0.03040,3.09830,-2.01010,-0.02550,-2.03560,-0.13730,-1.89830,-1.89830,-1.89830,-1.58190,-2.01010,0.21410,0.21410,-8.86000,-8.86000,5.81760,0.02190,24.37470,-45.02800,-45.02800,-45.59940,-42.52350,0.05350,0.95630,0.36200,248.60910,-2.48470,-2.48470,-2.27410,-2.48470,-21.55430,-21.65040
2017-12-31,9.46300,21.47400,-12.01100,-3.36500,5.22510,-3.36500,-8.64600,-0.03640,-8.67400,-2.13800,-6.53600,-6.54600,-6.54600,-7.12100,-8.64600,0.18610,0.18610,-44.58600,-44.58600,5.53980,0.02170,-126.93650,-91.36640,-91.36640,-91.66230,-69.17470,0.11640,11.88900,0.76300,117.95970,-8.84270,-8.92090,-8.05070,-8.84270,10.3278,5.2391
2017-09-30,4.74180,6.31190,-1.57000,2.50440,-1.44280,3.94720,-5.51720,-0.02460,-5.54180,-1.22440,-4.31740,-4.31740,-4.31740,-6.26450,-5.51720,0.34210,0.34210,-12.62200,-12.62200,,,-33.10970,-116.35160,-116.35160,-116.86940,-91.04820,,,,,,,,,10.7656,10.7782
2017-06-30,4.06980,3.20680,0.86300,1.77330,-2.02330,3.79650,-2.93350,-0.02340,-2.95690,-0.72140,-2.23550,-2.23550,-2.23550,-2.55660,-2.93350,0.17710,0.17710,-12.62200,-12.62200,,,21.20530,-72.07980,-72.07980,-72.65370,-54.92860,,,,,,,,,-5.0298,-5.0344
2017-03-31,5.50980,4.29680,1.21290,2.02570,-1.41970,3.44550,-2.23250,-0.02400,-2.25650,-0.52290,-1.73360,-1.73360,-1.73360,-1.86210,-2.23250,0.17740,0.17740,-9.77000,-9.77000,,,22.01420,-40.51920,-40.51920,-40.95440,-31.46400,,,,,,,,,-5.73580,-5.74380
2016-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-03-31,8.99800,,8.99800,,,,8.99800,,8.99800,,8.99800,0.43200,0.43200,8.99800,8.99800,0.17690,0.17690,2.99850,2.99850,,,100.00000,100.00000,100.00000,100.00000,4.80110,,,,,,,,,0.00000,
2014-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2013-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2013-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
