Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,164.60100,94.65200,69.94900,4.39300,50.84400,-46.41100,101.64800,-31.69900,64.68300,32.98400,0.23700,32.74700,32.74700,32.74700,16.22200,-31.69900,11.15100,11.15100,2.94000,2.94000,0.29000,-0.97930,-0.49730,42.49610,-19.25810,-19.25810,20.03880,19.89480,0.13600,17.20510,5.23100,-8.45390,-8.45390,2.70550,-16.73270,-36.64360,-2.9005,-3.0337
2024-03-31,133.47900,100.36300,33.11600,4.67100,43.53400,-49.98000,100.77700,-67.66100,17.36100,-50.30000,0.18700,-50.48700,-50.48700,-50.48700,-14.74000,-67.66100,11.03200,11.03200,-4.58000,-4.58000,0.34310,-0.70820,-0.41690,24.80990,-50.69040,-50.69040,-37.68380,-37.82390,0.09910,16.43220,5.47700,11.88580,11.88580,-3.74930,20.30280,-40.80780,-3.65380,-3.71870
2023-12-31,164.26400,95.61400,68.65000,5.07600,45.81400,-114.80400,165.70600,-97.05600,-9.64800,-106.70400,-1.36100,-105.34300,-105.34300,-105.34300,-38.00200,-97.05600,10.93300,10.93300,-9.66000,-9.66000,0.31840,-0.00400,-0.45180,41.79250,-59.08540,-59.08540,-64.95890,-64.13030,0.10800,20.53560,4.38260,27.96460,27.96460,-6.92470,28.07640,-36.28750,-3.3887,-3.4149
2023-09-30,160.89600,110.71100,50.18500,5.34400,48.54700,-53.22400,107.11500,-56.93000,-6.97000,-63.90000,0.37600,-64.27600,-64.27600,-64.27600,-11.81300,-56.93000,10.96000,10.96000,-5.86000,-5.86000,0.70840,52.93760,-1.02440,31.19100,-35.38310,-35.38310,-39.71510,-39.94880,0.09370,17.67120,5.09300,33.35760,33.35760,-3.74500,-1732.51100,-19.16720,-1.2926,-1.5394
2023-06-30,157.40300,94.76000,62.64300,5.56300,48.14900,-50.54000,104.22900,-41.58600,-2.60200,-44.18800,-0.00400,-44.18400,-44.18400,-44.18400,2.86000,-41.58600,10.90100,10.90100,-4.05000,-4.05000,0.85400,3.71600,-1.36820,39.79780,-26.42010,-26.42010,-28.07320,-28.07060,0.09790,11.20940,8.02890,32.34740,32.34740,-2.74800,-87.85490,-13.58990,-2.2365,-2.4688
2023-03-31,119.50300,91.81300,27.69000,6.38200,48.13800,-53.51000,110.16000,-82.47000,0.66100,-81.80900,0.05600,-81.86500,-81.86500,-81.86500,-21.65300,-82.47000,10.95500,10.95500,-7.47000,-7.47000,0.96980,2.16890,-1.85550,23.17100,-69.01080,-69.01080,-68.45770,-68.50460,0.07850,17.09630,5.26430,84.54770,84.54770,-5.38070,-98.82540,-9.68990,-3.22620,-3.85160
2022-12-31,138.66400,97.64000,41.02400,5.96300,48.02800,-128.22000,182.21100,-141.18700,4.60600,-136.58100,0.05800,-136.63900,-136.63900,-135.23300,-97.82200,-141.18700,10.30200,10.30200,-13.76000,-9.16000,1.20510,2.42010,-1.70420,29.58520,-101.81950,-101.81950,-98.49780,-97.52570,0.09250,21.45840,4.19420,134.63960,134.63960,-9.11760,-191.19710,-10.23030,-3.052,-3.5151
2022-09-30,124.52600,76.88400,47.64200,6.93600,46.38800,-55.58600,108.91000,-61.26800,-12.00500,-73.27300,0.41600,-73.68900,-73.68900,-73.68900,-22.62900,-61.26800,10.78400,10.78400,-6.83000,-6.83000,1.43470,0.80990,4.26020,38.25870,-49.20100,-49.20100,-58.84150,-59.17560,0.08130,22.00880,4.08930,-188.31340,-188.31370,-4.80830,-35.79950,3.96850,-2.9882,-3.6982
2022-06-30,121.32200,79.18700,42.13500,8.08800,43.69100,-54.00300,109.81500,-67.68000,22.13100,-45.54900,0.11700,-45.66600,-45.66600,-45.66600,-28.44500,-67.68000,10.75430,10.75430,-4.20000,-4.20000,1.63920,0.61200,1.57720,34.72990,-55.78540,-55.78540,-37.54390,-37.64030,0.07780,16.60350,5.42050,-44.65590,-44.65590,-2.92840,-17.32750,10.80170,-2.6184,-2.9756
2022-03-31,80.46600,73.89600,6.57000,7.62500,46.44200,-48.26700,102.33400,-95.76400,106.75800,10.99400,0.03100,10.96300,10.96300,9.55700,-46.74500,-95.76400,8.81640,8.59140,1.00000,-3.60000,1.93460,0.53670,1.15860,8.16490,-119.01180,-119.01180,13.66290,11.87710,0.04940,60.22910,1.49430,8.10470,8.10470,0.67280,3.75460,14.64890,-5.90050,-7.25250
2021-12-31,87.86400,66.97100,20.89300,6.26300,36.58000,-46.17900,89.02200,-68.12900,-8.73600,-76.86500,0.01600,-76.88100,-76.88100,-76.88100,-50.23000,-68.12900,0.58800,0.58800,-118.27010,-118.27010,0.37550,-0.01420,-0.27270,23.77880,-77.53920,-77.53910,-87.48180,-87.50000,0.59180,18.94440,4.75080,10.05760,10.05760,-51.77910,10.20090,-1198.88000,-83.2624,-99.6038
2021-09-30,67.45400,52.40200,15.05200,5.44300,28.41800,-36.59200,70.45300,-55.40100,-9.05000,-64.45100,0.13300,-64.58400,-64.58400,-64.58400,-39.46200,-55.40100,0.61020,0.61020,-105.80000,-105.80000,0.04330,,-0.03350,22.31450,-82.13150,-82.13150,-95.54810,-95.74530,0.14950,,,144.07350,144.07350,-14.30920,144.07350,-79.69270,-55.9426,-63.4053
2021-06-30,47.26900,43.74500,3.52400,4.06600,29.50300,-34.88900,68.45800,-64.93400,-8.94500,-73.87900,0.07000,-73.94900,-73.94900,-73.94900,-49.95900,-64.93400,0.57700,0.57700,-128.20000,-128.20000,0.06430,,-0.02570,7.45520,-137.37120,-137.37120,-156.29480,-156.44290,0.10470,,,189.88810,189.88800,-16.37440,189.88810,-69.23280,-91.1776,-98.1145
2021-03-31,31.55800,39.20500,-7.64700,3.31900,34.66000,-25.42300,63.40200,-71.04900,-7.46900,-78.51800,0.02300,-78.54100,-78.54100,-78.54100,-64.70300,-71.04900,0.53280,0.53280,-147.40000,-147.40000,0.09040,,-0.02720,-24.23160,-225.13790,-225.13790,-248.80540,-248.87830,0.06980,,,213.83650,213.83650,-17.37270,213.83650,-65.29680,-75.65310,-80.67570
2020-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2020-09-30,,,,,0.02050,-0.00120,,-0.02170,,-0.02170,0.00000,-0.02170,-0.02170,-0.02170,-0.02170,-0.02170,0.57500,0.57500,0.00000,0.00000,,,,,,,,,,,,,,,,,0,0
