Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,0.3089,0.3089
2023-09-30,0.66410,-0.66410,1.36830,0.70420,0.27680,0.42740,0.42740,0.42740,-0.66410,-0.66410,6.90000,6.90000,0.03000,0.03000,0.03680,-0.39830,-4.01700,-4.01700,0.39930,-4.01700,-1.54200,-0.30890,-0.30890
2023-06-30,,-1.66150,,0.38310,0.41880,,,-0.03570,,,6.90000,6.90000,0.00000,0.00000,,,,,,,,-0.0841,-0.0841
2023-03-31,3.71730,-3.71730,3.04750,-0.66980,0.62960,-1.29940,-1.29940,-1.29940,-3.71730,-3.71730,6.90000,6.90000,-0.04000,-0.04000,0.15910,-0.40150,18.90390,18.90390,-0.44640,18.90390,-0.99620,-0.0472,-0.0472
2022-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.2767,0.2767
2022-09-30,0.21440,-0.21440,1.22900,1.01460,0.22400,0.79060,0.79060,0.79060,-0.21440,-0.21440,6.90000,6.90000,0.02000,0.02000,2.40240,,-9.85880,-9.85880,0.27820,-9.85880,-1.16220,-0.27670,-0.27670
2022-06-30,,-0.37130,,0.01870,0.00000,,,0.01870,,,6.90000,6.90000,0.00000,0.00000,5.72700,,,,,,-1.27680,0.0195,0.0195
2022-03-31,0.25680,-0.25680,0.02530,-0.23150,0.00000,-0.23150,-0.23150,-0.23150,-0.25680,-0.25680,6.90000,6.90000,-0.01000,-0.01000,7.31230,,2.62180,2.62180,-0.08170,2.62180,-1.27950,-0.22,-0.22
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,0.06520,-0.06520,,-0.06520,0.00000,-0.06520,-0.06520,-0.06520,-0.06520,-0.06520,6.90000,6.90000,-0.01000,-0.01000,,,,,,,,0.00000,
2021-06-30,,-0.06450,,,,,,-0.06450,,,6.90000,6.90000,-0.01000,-0.01000,,,,,,,,0,0
