Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,4.40550,1.36250,,-5.76800,4.51920,-1.24880,-1.24880,-1.24880,-1.21420,-5.69550,-5.76800,16.45500,16.45500,-0.07000,0.81000,0.48970,,46.50970,43.28840,-21.26530,46.50960,-0.14680,-0.2091,-0.2368
2024-04-30,7.65760,1.57200,,-9.22960,10.92190,1.69220,1.69220,1.69220,1.71580,-9.22580,-9.22960,15.98200,15.98200,0.11000,0.11000,0.81830,,-27.14970,-26.29090,27.27990,-27.14970,-0.39000,-0.3181,-0.3181
2024-01-31,8.25750,1.57200,,-9.82940,-1.50450,-11.33390,-11.33390,-11.33390,-11.29460,-9.82560,-9.82940,15.98200,15.98200,-0.71000,-0.71000,2.99210,,136.26660,132.95090,-92.66510,136.26660,-0.52040,-0.4829,-0.4829
2023-10-31,6.85730,1.64580,,-8.50300,14.46190,5.95890,5.95890,5.95890,6.00150,-8.49920,-8.50300,15.98200,16.67500,0.38000,-0.50000,17.59000,,236.81110,258.51400,32.00390,236.81090,0.15740,-0.45610,-0.45610
2023-07-31,5.16750,2.53830,,-7.70580,5.28710,-2.41870,-2.41870,-2.41870,-2.41870,-7.70190,-7.70580,15.62000,15.62000,-0.14000,-0.14000,14.95930,,64.03340,60.58380,-8.90400,64.03340,-0.23630,-0.6937,-0.6937
2023-04-30,3.86060,1.81650,,-5.67700,0.78160,-4.89540,-4.89540,-4.89540,-4.89540,-5.67320,-5.67700,15.51800,15.51800,-0.32000,-0.32000,21.33120,,83.08140,80.10560,-16.47080,83.08130,-0.37970,-0.3436,-0.3436
2023-01-31,3.05340,1.43300,,-4.48630,-7.39540,-11.88180,-11.88180,-11.88180,-11.88180,-4.48250,-4.48630,15.51800,15.51800,-0.77000,-0.77000,50.62340,,927.84000,790.38380,-34.78140,927.83780,-0.08250,-0.2546,-0.2546
2022-10-31,3.25520,2.14790,,-5.40320,4.29660,-1.10650,-1.10650,-1.10650,-1.10650,-5.39930,-5.40320,15.51800,15.51800,-0.07000,-0.07000,39.24210,,-10.70740,-10.94740,-2.87780,-10.70740,0.66600,-0.22830,-0.22830
2022-07-31,3.16890,2.06520,,-5.23410,4.78370,-0.45040,-0.45040,-0.45040,-0.45040,-5.23020,-5.23410,15.49400,15.49400,0.02000,0.69000,44.99770,,-4.36010,-4.45950,-1.05770,-4.36010,0.66560,-0.2095,-0.2095
2022-04-30,2.26880,1.85450,,-4.12330,-5.89230,-10.01560,-10.01560,-10.01560,-10.01560,-4.11940,-4.12330,15.35900,15.35900,-0.65000,-0.65000,126.20180,,-21.86040,-21.97270,-21.55710,-21.86040,2.95240,-0.3608,-0.3608
2022-01-31,1.70820,1.93860,,-3.64680,14.80730,11.16050,11.16050,11.16050,11.16050,-3.64300,-3.64680,15.78900,18.40600,0.71000,0.04000,79.84090,,23.39730,23.51460,22.98590,23.39730,2.99120,-0.1188,-0.1188
2021-10-31,0.87560,1.40920,,-2.28480,-25.24870,-27.53350,-27.53350,-27.53350,-27.53350,-2.28100,-2.28480,15.23900,15.23900,-1.81000,-1.81000,129.62590,,-49.70530,-49.92320,-49.02860,-49.70530,3.60400,-0.11670,-0.11670
2021-07-31,0.58080,1.01800,,-1.59890,-14.50970,-16.10860,-16.10860,-16.10860,-16.10860,-1.59510,-1.59890,4.52000,4.52000,-2.85000,-2.85000,103.80510,,-58.21320,-58.73450,-27.75250,-58.21320,1.81220,-0.4911,-0.4911
2021-04-30,1.12540,3.68120,,-4.80670,7.75630,2.94960,2.94960,2.94960,2.94960,-4.80280,-4.80670,4.74400,4.74400,0.63000,0.63000,122.44220,,21.88260,22.28510,14.36650,21.88260,1.78840,-0.9433,-0.9433
2021-01-31,0.16560,0.02460,,-0.19010,-0.04580,-0.23590,-0.23590,-0.23590,-0.23590,-0.18630,-0.19010,0.77200,0.77200,-0.30000,-0.30000,0.05440,-0.10650,6.54140,6.13040,-51.91890,6.54140,-4.67230,-0.2052,-0.2052
2020-10-31,0.14910,0.23130,,-0.38040,-0.04100,-0.42130,-0.42130,-0.42130,-0.42130,-0.37660,-0.38040,0.77440,0.77440,-0.54000,-0.54000,0.05870,-0.07680,12.40900,11.59340,-92.31840,12.40900,-4.39830,-0.07500,-0.07500
2020-07-31,0.54480,0.29330,,-0.83800,-0.00190,-0.83990,-0.83990,-0.83990,-0.83990,-0.83300,-0.83800,0.71390,0.71390,548.86890,548.86890,0.06600,-0.06940,23.34820,21.76960,-160.80460,23.34820,-4.98280,-0.5606,-0.5606
2020-04-30,0.20480,0.30110,,-0.50590,-0.00360,-0.50940,-0.50940,-0.50940,-0.50940,-0.50280,-0.50590,0.72200,0.72200,-0.84340,-0.84340,0.06430,-0.07780,18.32170,16.88590,-114.80760,18.32170,-3.85140,0.0785,0.0785
2020-01-31,0.92420,0.50360,,-1.42780,-0.00330,-1.43100,-1.43100,-1.43100,-1.43100,-1.42420,-1.42780,0.72200,0.72200,-1.99880,-1.99880,0.08340,-0.06660,62.99940,56.73790,-298.00430,62.99940,-3.14630,353.4255,353.4255
2019-10-31,0.75210,0.41570,,-1.16770,-0.07640,-1.24410,-1.24410,-1.24410,-1.24410,-1.16420,-1.16770,0.00230,0.00230,-551.66670,-551.66670,0.17200,,153.23130,116.85990,-262.53990,153.23130,-340.79060,-354.71660,-354.71660
2019-07-31,0.89380,0.27740,,-1.17120,0.01130,-1.15990,-1.16970,-1.16970,-1.16970,-1.16800,-1.17120,0.57390,0.57390,0.21520,0.21520,0.14870,-0.46830,183.00170,130.63160,-283.46340,183.00160,-0.98630,-0.8201,-0.8201
2019-04-30,0.82790,0.29920,,-1.12710,-0.02040,-1.14750,-1.14750,-1.14750,-1.14750,-1.13690,-1.12710,0.58080,0.58080,-2.36360,-2.36360,1.45970,0.48400,-169.05940,-280.44130,-90.73700,-169.05930,1.04740,-2.8567,-2.8567
2019-01-31,1.23090,0.18470,,-1.41550,0.15310,-1.26240,-1.25260,-1.25260,-1.25260,-1.41130,-1.41550,0.53820,0.53820,-2.39700,-2.39700,0.34990,-0.81270,199.26200,138.50920,-128.46510,199.26210,-1.16360,-0.9454,-0.9454
2018-10-31,0.76200,0.22460,,-0.98660,0.18290,-0.80370,-0.80370,-0.80370,-0.80370,-0.97000,-0.98660,0.52920,0.52920,-2.33330,-2.33330,0.96110,2.28180,-220.71370,-863.32060,-56.76520,-220.71370,0.68390,-2.08440,-2.08440
2018-07-31,0.95500,0.54400,,-1.49900,-0.17300,-1.67100,-1.67100,-1.64000,-1.64000,-1.48570,-1.49900,0.35290,0.35290,-6.06060,-6.06060,1.40120,1.18610,-169.59660,-239.06700,-70.14540,-169.59670,,-4.1322,-4.1322
2018-04-30,0.52330,0.59330,,-1.11330,-0.18130,-1.29790,-1.29790,-1.29790,-1.29790,-1.11660,-1.11660,0.41530,0.41530,-2.37450,-2.37450,2.51040,0.41720,-54.90930,-62.70060,-34.76920,-54.90930,5.79200,-2.0268,-2.0268
2018-01-31,0.59620,0.18590,,-0.78590,0.01020,-0.77190,-0.77190,-0.77190,-0.77190,-0.78210,-0.78210,0.37040,0.37040,-2.39520,-2.39520,1.50140,,-168.50100,-477.07320,-99.32840,-168.50090,1.56160,-1.9775,-1.9775
2017-10-31,0.37410,0.14230,,-0.51230,0.00350,-0.51290,-0.51290,-0.51290,-0.51290,-0.51630,-0.51630,0.36660,0.36660,-2.42460,-2.42460,3.10530,,-50.60470,-71.87470,-37.94850,-50.60470,3.41310,-2.89780,-2.89780
2017-07-31,0.65620,0.21940,,-0.87940,-0.01830,-0.89500,-0.89500,-0.89500,-0.89500,-0.87610,-0.87560,-0.16820,-0.16820,-4.55010,-4.55010,1.84470,,-127.48610,-127.48620,-58.45730,-127.48610,2.67550,-0.216,-0.216
