Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,return-on-tangible-equity,roa,roi
2024-09-30,90.33700,89.39100,0.94600,2.60200,3.92300,1.62700,4.89800,-3.95200,-1.99200,-5.94400,-0.93600,-5.00800,-5.00800,-5.00800,-3.95200,-3.95200,162.90200,162.90200,-0.03000,-0.03000,4.09400,0.46680,0.87540,1.04720,-4.37470,-4.37470,-6.57980,-5.54370,0.31970,252.51690,3.05970,29.41490,-4.27980,-1.77250,-2.28210
2024-06-30,129.42100,118.40900,11.01200,0.34300,1.97700,-6.46800,8.78800,2.22400,-0.76800,1.45600,0.12500,1.33100,1.33100,1.33100,2.22400,2.22400,162.90200,162.90200,0.01000,0.01000,3.41010,0.46520,0.86980,8.50870,1.71840,1.71840,1.12500,1.02840,0.44140,207.37130,12.26270,7.33930,1.13020,0.45400,0.60440
2024-03-31,144.41100,122.74300,21.66800,0.39100,2.31700,24.84700,-22.13900,43.80700,-1.18500,42.62200,7.31400,35.30800,35.30800,35.30800,43.80700,43.80700,154.39500,154.39500,0.23000,0.23000,2.92820,0.46800,0.87970,15.00440,30.33490,30.33490,29.51440,24.44970,0.47080,405.09240,47.47240,1.89580,30.32320,11.51110,16.13170
2023-12-31,88.57400,86.61800,1.95600,0.55300,-6.02500,,-5.47200,7.42800,-0.87100,6.55700,1.19300,5.36400,5.36300,5.36300,31.92900,7.42800,,,,0.00000,1.40420,0.85530,5.90950,2.20830,8.38620,8.38620,7.40290,6.05480,0.42170,,22.85190,3.93840,30.93920,2.55340,4.47780
2023-09-30,61.29500,61.24500,0.05000,0.35300,1.12400,-0.48100,1.95800,-1.90800,-1.34200,-3.25000,-0.55900,-2.69100,-2.69100,-2.69100,-14.05800,-1.90800,150.00000,150.00000,-0.02000,-0.02000,,,,0.08160,-3.11280,-3.11280,-5.30220,-4.39020,,,,,,,
2023-06-30,76.26800,67.95600,8.31200,0.35200,1.00300,0.69100,0.66400,7.64800,-1.28800,6.36000,1.22100,5.13900,5.13900,5.13900,19.79800,7.64800,150.00000,150.00000,0.03000,0.03000,,,,10.89840,10.02780,10.02780,8.33900,6.73810,,,,,,,
2023-03-31,57.96900,55.57400,2.39500,0.48300,1.31400,2.80600,-1.00900,3.40400,-0.39300,3.01100,0.32800,2.68300,2.68300,2.68300,3.40400,3.40400,150.00000,150.00000,0.02000,0.02000,,,,4.13150,5.87210,5.87210,5.19420,4.62830,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
