Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,333.85700,23.15500,310.70200,-85.91900,115.31000,195.39200,,195.39200,43.50000,151.89200,151.89200,,151.89200,243.53600,224.78300,151.84600,153.07300,1.00000,0.99000,0.29450,0.41750,58.52570,67.32910,58.52570,45.49610,0.03970,3.23250,3.23250,1.80400,2.28050,31.37250,-1.5631,-1.5646
2024-06-30,321.14700,14.31200,306.83500,-91.64800,118.71200,188.12300,,188.12300,36.22000,151.90300,151.90300,,151.90300,215.18700,215.18700,153.11000,154.39900,0.99000,0.98000,0.30840,0.44590,58.57850,67.00580,58.57850,47.30010,0.03950,3.38890,3.38890,1.86850,2.34390,29.65520,-1.3392,-1.3462
2024-03-31,319.41800,9.08700,310.33100,-82.63600,111.68200,198.64900,,198.64900,46.29500,152.35400,152.35400,,152.35400,227.69500,227.69500,153.81700,155.97100,0.99000,0.98000,0.27930,0.38750,62.19090,71.28430,62.19090,47.69740,0.04120,3.43160,3.43160,1.96340,2.47320,29.30340,0.32730,0.31730
2023-12-31,328.64400,19.26700,309.37700,-95.21800,129.56000,179.81700,,179.81700,37.12400,142.69300,142.69300,,142.69300,234.51300,202.98600,158.14000,160.13300,0.90000,0.90000,0.25900,0.34960,54.71480,61.76470,54.71480,43.41870,0.04330,3.24460,3.24460,1.87900,2.40420,28.71020,1.6547,1.6429
2023-09-30,312.51300,7.67100,304.84200,-79.20600,103.85900,200.98300,,200.98300,44.40100,156.58200,156.58200,,156.58200,239.01900,224.26500,158.46100,160.14700,0.99000,0.98000,0.28540,0.39930,64.31190,71.76180,64.31190,50.10420,0.04240,3.77040,3.78060,2.12210,2.69440,26.69270,0.4742,0.4472
2023-06-30,289.57900,-6.15700,295.73600,-89.88500,113.06000,182.67600,,182.67600,36.58900,146.08700,146.08700,,146.08700,204.48100,204.48100,159.01000,160.74400,0.92000,0.91000,0.27660,0.38230,63.08330,70.61320,63.08330,50.44810,0.03960,3.50260,3.51310,1.99940,2.53390,26.50670,0.4535,0.4203
2023-03-31,309.85200,-0.23800,310.09000,-83.26900,106.07900,204.01100,,204.01100,46.25400,157.75700,157.75700,,157.75700,225.45000,225.45000,158.30400,161.34900,1.00000,0.98000,0.27220,0.37410,65.84140,72.76050,65.84140,50.91370,0.04300,3.84170,3.85470,2.18970,2.79580,26.23160,0.72380,0.69410
2022-12-31,314.72400,-21.54000,336.26400,-109.78500,132.96600,203.29800,,203.29800,40.96800,162.32990,162.32990,,162.33010,224.89200,224.89190,167.93000,170.66400,1.02000,0.99000,0.28590,0.40040,64.59570,71.45690,64.59560,51.57860,0.04460,4.14180,4.15800,2.29810,2.95760,24.95500,0.5625,0.5327
2022-09-30,296.18900,-72.80500,368.99400,-91.32700,113.53300,255.46100,,255.46100,57.18100,198.28000,198.28000,,198.28000,276.64400,276.64400,162.50600,164.73800,1.22000,1.20000,0.29520,0.41890,86.24930,93.40120,86.24930,66.94370,0.04240,5.30440,5.32840,2.83830,3.73830,23.80040,0.7045,0.6735
2022-06-30,286.83300,-85.22200,372.05500,-90.49500,112.17500,259.88000,,259.88000,58.68700,201.19300,201.19300,,201.19300,280.71100,280.71100,173.70500,175.41900,1.16000,1.15000,0.28870,0.40590,90.60320,97.86570,90.60320,70.14290,0.03940,5.11820,5.14160,2.76580,3.64040,23.62530,0.3567,0.3367
