Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.33600,2.33600,77.19700,23.27300,-98.13400,17.73600,-80.39800,-80.39800,-80.39800,-80.39800,-104.27000,-98.13400,123.37500,123.37500,-0.65000,-0.65000,17.75770,100.00000,-4200.94200,-4200.94200,-3441.69500,-3441.69500,0.00140,-5.34780,-5.34780,-4.90000,-5.34780,12.64410,-0.3631,-0.3751
2024-06-30,2.04500,2.04500,63.94000,20.73100,-82.62600,11.83300,-70.79300,-70.79300,-70.79300,-70.79300,-86.41400,-82.62600,106.92800,106.92800,-0.65000,-0.65000,15.77920,100.00000,-4040.39100,-4040.39100,-3461.76000,-3461.76000,0.00150,-5.79780,-5.79780,-5.25390,-5.79780,11.17490,-0.4591,-0.4621
2024-03-31,3.54300,3.54300,66.83200,13.89800,-77.18700,8.33200,-68.85500,-68.85500,-68.85500,-68.85500,-79.50600,-77.18700,87.21200,87.21200,-0.79000,-0.79000,12.46710,100.00000,-2178.57800,-2178.57800,-1943.41000,-1943.41000,0.00370,-8.28680,-8.28680,-7.23670,-8.28680,8.69200,-0.80700,-0.81750
2023-12-31,2.19300,2.19300,52.81700,16.11900,-66.74300,6.30000,-60.44300,-60.44300,-60.44300,-60.44300,-69.36500,-66.74300,73.01200,73.01200,-0.80000,-0.80000,7.57690,100.00000,-3043.45600,-3043.45600,-2756.17800,-2756.17800,0.00350,-12.07020,-12.07020,-9.61620,-12.07020,6.31680,0.1989,0.1863
2023-09-30,2.81800,2.81800,47.71400,13.72900,-58.62500,6.26700,-52.35800,-52.35800,-52.35800,-52.35800,-61.02500,-58.62500,74.09700,74.09700,-0.71000,-0.71000,11.40260,100.00000,-2080.37600,-2080.37600,-1857.98400,-1857.98400,0.00490,-10.11810,-10.11810,-9.13490,-10.11810,6.98330,-0.446,-0.4572
2023-06-30,2.31600,2.31600,42.67200,12.27800,-52.63400,5.60900,-47.02500,-47.02500,-47.02500,-47.02500,-54.94500,-52.63400,71.39000,71.39000,-0.66000,-0.66000,13.14060,100.00000,-2272.62500,-2272.62500,-2030.44100,-2030.44100,0.00380,-8.40970,-8.40970,-7.69910,-8.40970,7.54930,-0.6884,-0.6967
2023-03-31,2.23300,2.23300,47.76500,12.06400,-57.59600,5.20200,-52.39400,-52.39400,-52.39400,-52.39400,-59.43600,-57.59600,70.43300,70.43300,-0.74000,-0.74000,12.41860,100.00000,-2579.31000,-2579.31000,-2346.35000,-2346.35000,0.00360,-9.37420,-9.37420,-8.53360,-9.37420,7.89280,-0.69520,-0.72110
2022-12-31,2.76900,2.76900,45.61000,10.38400,-53.22500,2.75400,-50.47100,-50.47100,-50.47100,-50.47100,-53.64300,-53.22500,52.16200,52.16200,-0.89000,-0.89000,12.00090,100.00000,-1922.17500,-1922.17500,-1822.71600,-1822.71600,0.00430,-8.73090,-8.73090,-7.90090,-8.73090,8.28570,-0.7831,-0.8
2022-09-30,2.48200,2.48200,37.31700,10.09400,-44.92900,1.33000,-43.59900,-43.59900,-43.59900,-43.59900,-44.59800,-44.92900,53.06900,53.06900,-0.82000,-0.82000,9.71420,100.00000,-1810.19300,-1810.19300,-1756.60800,-1756.60700,0.00580,-11.56530,-11.56530,-10.12660,-11.56530,6.92400,-0.525,-0.5205
2022-06-30,2.17800,2.17800,39.78900,8.68800,-46.29900,0.60900,-45.69000,-45.69000,-45.69000,-45.69000,-45.91800,-46.29900,49.92700,49.92700,-0.92000,-0.92000,12.00020,100.00000,-2125.75800,-2125.75800,-2097.79600,-2097.79600,0.00520,-12.20510,-12.20510,-10.85790,-12.20510,7.18790,-0.6913,-0.7173
