Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,16.01700,18.40100,-2.38400,-3.59400,5.86900,-8.25300,-8.25300,-1.36700,-6.88600,-6.88600,60.17600,52.78800,-5.18400,-5.97800,12.22300,12.22300,4.32000,4.32000,0.25140,0.33580,-51.52650,-37.32290,-51.52650,329.57480,0.05340,-14.03850,-14.03850,-2.29650,-10.50910,4.01300,-0.8775,-0.8775
2024-06-30,26.84800,25.76100,1.08700,-4.25600,5.12500,-4.03800,-4.03800,-0.01800,-4.02000,-3.79200,,-3.95000,-3.15600,-3.16900,12.22300,12.22300,-0.32000,-0.32000,1.04920,-21.31500,-15.04020,-11.80350,-15.04020,-14.71250,0.09170,52.92390,325.49120,-1.29450,-16.02230,-0.09530,-0.8285,-0.8285
2024-03-31,23.07800,17.53300,5.54500,-4.49500,5.37200,0.17300,0.17300,,0.17300,0.23100,,0.07400,1.03100,1.05000,12.22300,12.22300,0.01000,0.01000,0.90700,9.74830,0.74960,4.54980,0.74960,0.32070,0.07670,-6.71320,9.02700,0.07670,0.83980,0.20940,0.66880,0.66880
2023-12-31,23.81600,35.82800,-12.01200,-4.40500,5.25000,-17.26200,-17.26200,0.46600,-17.72800,-17.80400,,-19.44100,-16.39900,-16.41700,12.22000,12.22000,-1.59000,-1.59000,0.89660,8.67460,-72.48070,-68.93270,-72.48070,-81.63000,0.07550,572.29180,-616.27340,-5.64120,-63.69950,0.23640,-1.0363,-1.0363
2023-09-30,25.44000,25.31100,0.12900,-4.09300,4.94800,-4.81900,-4.81900,-0.45700,-4.36200,-4.36200,1.65600,-2.70600,-4.13900,-3.96400,12.22300,12.22300,-0.22000,-0.22000,0.68180,2.14270,-18.94260,-15.58180,-18.94260,-10.63680,0.08670,-36.99430,-36.99440,-1.48650,-11.77170,0.96470,0.0588,0.0588
2023-06-30,24.92300,23.73200,1.19100,-5.11400,5.93400,-4.74300,-4.74300,,-4.74300,-4.73900,,-4.73900,-4.09300,-3.92300,12.22000,12.22000,-0.39000,-0.39000,0.66870,2.01880,-19.03060,-15.74050,-19.03060,-19.01460,0.08410,-28.11300,-28.11290,-1.59820,-9.31260,1.37910,0.3742,0.3742
2023-03-31,24.57900,18.43400,6.14500,-4.27900,4.96500,1.18000,1.18000,,1.18000,1.00100,,1.00100,1.86700,1.86600,12.21600,12.21600,0.08000,0.08000,0.60370,1.52310,4.80080,7.59180,4.80080,4.07260,0.08380,4.49040,4.49040,0.34140,1.77970,1.82480,-0.49260,-0.49260
2022-12-31,28.50400,29.26000,-0.75600,-5.77900,6.53400,-7.29000,-7.29000,-9.40100,2.11100,2.11100,,2.11100,-6.39600,-6.53500,10.69200,10.69200,0.30000,0.30000,0.64130,1.78770,-25.57540,-22.92660,-25.57540,7.40600,0.09130,11.13980,11.13980,0.67580,3.99610,1.55120,-2.5161,-2.5161
2022-09-30,26.33600,22.90100,3.43500,-4.38000,5.15800,-1.72300,-1.72300,-0.00100,-1.72200,-1.52300,,-1.52300,-0.76900,-0.94500,11.10100,11.10100,-0.14000,-0.14000,0.74920,2.98780,-6.54240,-3.58820,-6.54240,-5.78300,0.09210,-9.42160,-9.42160,-0.53250,-2.36260,1.32340,0.3238,0.3238
2022-06-30,24.68300,27.97600,-3.29300,-4.47000,5.19700,-8.49000,-8.49000,0.00200,-8.49200,-8.39900,,-8.39900,-7.55900,-7.76300,9.71300,9.71300,-0.86000,-0.86000,0.66510,1.98620,-34.39610,-31.45080,-34.39610,-34.02750,0.08970,-49.47280,-49.47280,-3.05360,-16.56710,1.74750,-0.7148,-0.7148
2022-03-31,25.36600,23.48200,1.88400,-4.16000,4.87100,-2.98700,-2.98700,-0.04100,-2.94600,-2.87000,,-2.87000,-2.05800,-2.27600,9.70800,9.70800,-0.30000,-0.30000,0.55980,1.27180,-11.77560,-8.97260,-11.77560,-11.31440,0.08900,-9.44580,-9.44580,-1.00730,-4.15790,3.12980,-0.87830,-0.87830
2021-12-31,27.48900,24.04600,3.44300,-3.74100,4.43900,-0.99600,-0.99600,0.01700,-1.01300,-0.80100,,-0.80100,-0.06000,-0.29800,9.69200,9.69200,-0.08000,-0.08000,0.45320,0.82870,-3.62320,-1.08410,-3.62330,-2.91390,0.09470,-1.97760,-1.97760,-0.27580,-1.08150,4.17210,0.7576,0.7597
2021-09-30,26.71500,23.33200,3.38300,-4.07700,4.77800,-1.39500,-1.39500,-0.00200,-1.39300,-1.20900,,-1.20900,-0.45800,-0.69400,9.69200,9.69200,-0.12000,-0.12000,0.45020,0.81900,-5.22180,-2.59780,-5.22180,-4.52550,0.09930,-2.87120,-2.87120,-0.44960,-1.57850,4.33830,0.2553,0.2553
2021-06-30,35.45200,24.82200,10.63000,-4.34200,5.07400,5.55600,5.55600,0.18400,5.37200,5.55200,,5.55200,6.53100,6.28800,9.68700,9.68700,0.57000,0.57000,0.45850,0.84660,15.67190,17.73670,15.67190,15.66060,0.13140,12.65150,12.65150,2.05830,6.85120,4.52930,-0.0996,-0.0997
2021-03-31,26.30700,26.11200,0.19500,-4.34900,5.07000,-4.87500,-4.87500,0.00900,-4.88400,-4.63600,,-4.63600,-3.92500,-4.15400,9.68200,9.68200,-0.48000,-0.48000,0.51380,1.05680,-18.53120,-15.79050,-18.53120,-17.62270,0.10130,-12.53790,-12.53790,-1.78520,-6.09590,3.81900,-0.36080,-0.36280
2020-12-31,29.99700,22.38500,7.61200,-4.02700,4.76700,2.84500,2.84500,-0.00700,2.85200,3.27400,,3.27400,3.87800,3.58500,9.62500,9.62500,0.33000,0.33000,0.48000,0.92310,9.48420,11.95120,9.48430,10.91440,0.11470,7.37170,7.37170,1.25150,3.83330,4.58720,0.6208,0.6272
2020-09-30,26.60500,21.03600,5.56900,-4.53700,5.26000,0.30900,0.30900,-0.04400,0.35300,0.54100,,0.54100,1.27500,1.03200,9.63100,9.63100,0.06000,0.06000,0.49000,0.96090,1.16140,3.87900,1.16140,2.03350,0.10240,1.27040,1.27040,0.20820,0.64790,4.40030,0.1685,0.1671
2020-06-30,25.30000,18.34000,6.96000,-4.85900,5.59000,1.37000,1.37000,0.04400,1.32600,1.50500,,1.50500,2.48800,2.10100,9.59600,9.59600,0.16000,0.16000,0.47300,0.89750,5.41500,8.30430,5.41500,5.94860,0.10120,3.47740,3.47740,0.60200,1.83260,4.50930,-0.898,-0.8982
2020-03-31,21.58600,20.57200,1.01400,-5.04500,5.77600,-4.76200,-4.76200,0.01300,-4.77500,-4.72500,,-4.72500,-3.86200,-4.03100,9.59300,9.59300,-0.49000,-0.49000,0.50090,1.00360,-22.06060,-18.67410,-22.06060,-21.88920,0.08670,-12.93170,-12.93170,-1.89750,-6.45430,3.80920,0.41850,0.41370
2019-12-31,25.04000,23.00800,2.03200,-4.62200,5.34900,-3.31700,-3.31700,-0.12200,-3.19500,-3.02800,,-3.02800,-2.25300,-2.59000,8.88000,8.88000,-0.33000,-0.33000,0.45610,0.83850,-13.24680,-10.34350,-13.24680,-12.09270,0.10130,-7.08720,-7.08720,-1.22460,-3.85490,4.45380,0.9603,0.9628
2019-09-30,23.87400,21.01000,2.86400,-4.29700,5.01700,-2.15300,-2.15300,-0.80200,-1.35100,-1.23000,,-1.23000,-1.20200,-1.43300,9.54350,9.54350,-0.13000,-0.13000,0.42590,0.74190,-9.01820,-6.00230,-9.01820,-5.15200,0.10010,-2.70440,-2.70440,-0.51570,-1.55250,4.74310,0.7961,0.7964
2019-06-30,22.78100,20.59200,2.18900,-4.34000,5.06500,-2.87600,-2.87600,0.00000,-2.87600,-2.88400,,-2.88400,-1.81800,-2.15100,8.37100,8.37100,-0.34000,-0.34000,0.42700,0.74520,-12.62460,-9.44210,-12.62460,-12.65970,0.09360,-6.20090,-6.20090,-1.18490,-3.55320,4.88540,0.2336,0.2336
2019-03-31,24.30300,20.04500,4.25800,-4.32300,5.03300,-0.77500,-0.77500,0.01100,-0.78600,-0.68000,,-0.68000,0.05500,-0.06500,8.45400,8.45400,-0.08000,-0.08000,0.44620,0.80580,-3.18890,-0.26750,-3.18890,-2.79800,0.10210,-1.58450,-1.58450,-0.28550,-0.87740,5.13770,-0.26020,-0.26300
2018-12-31,24.05000,23.66300,0.38700,-4.40700,5.21700,-4.83000,-4.83000,-0.00100,-4.82900,-4.77600,,-4.77600,-3.82500,-4.02000,8.54400,8.54400,-0.55000,-0.55000,0.44280,0.79460,-20.08310,-16.71510,-20.08320,-19.85860,0.10330,-11.32750,-11.32750,-2.05200,-6.31200,4.97320,-1.1125,-1.1146
2018-09-30,24.77100,23.00600,1.76500,-4.78600,5.38400,-3.61900,-3.61900,0.02500,-3.64400,-3.55100,,-3.55100,-2.82200,-3.02100,8.55400,8.55400,-0.42000,-0.42000,0.39000,0.63920,-14.60980,-12.19570,-14.60980,-14.33530,0.10630,-7.63020,-7.63020,-1.52410,-4.65470,5.40960,-0.0423,-0.047
2018-06-30,25.26700,21.53900,3.72800,-4.30300,4.92000,-1.19200,-1.19200,0.01000,-1.20200,-1.11300,,-1.11300,-0.35500,-0.57500,8.52000,8.52000,-0.13000,-0.13000,0.36680,0.57930,-4.71760,-2.27570,-4.71760,-4.40500,0.11110,-2.21850,-2.21850,-0.48960,-1.40480,5.88830,-0.3771,-0.3779
2018-03-31,24.82300,19.84100,4.98200,-4.18700,4.80600,0.17600,0.17600,0.01800,0.15800,0.21300,,0.21300,1.02200,0.79500,8.52000,8.52000,0.02000,0.02000,0.36090,0.56480,0.70900,3.20270,0.70900,0.85810,0.10810,0.41420,0.41420,0.09270,0.26470,6.03570,-0.45870,-0.46120
2017-12-31,26.54900,21.73200,4.81700,-3.99300,4.60900,0.20800,0.20800,-0.03600,0.24400,0.22100,,0.22100,1.03700,0.82400,7.86700,7.86700,0.10000,0.10000,0.35460,0.54950,0.78340,3.10370,0.78350,0.83240,0.11110,0.41840,0.41840,0.09250,0.27000,6.20020,-1.1251,-1.126
2017-09-30,18.94300,33.12300,-14.18000,-4.47400,4.77700,-18.95700,-18.95700,-0.13500,-18.82200,-18.89800,,-18.89800,-18.45000,-18.65400,7.67600,7.67600,-2.46000,-2.46000,0.35590,0.55260,-100.07390,-98.47440,-100.07390,-99.76240,0.08020,-36.00030,-36.00030,-7.99720,-23.18660,6.16270,1.3172,1.3166
2017-06-30,26.28200,23.10200,3.18000,-4.37000,4.58900,-1.40900,-1.40900,-0.28200,-1.12700,-1.06700,,-1.06700,-0.97800,-1.19000,7.63300,7.63300,-0.14000,-0.14000,0.19890,0.24820,-5.36110,-4.52780,-5.36110,-4.05980,0.12430,-1.61750,-1.61750,-0.50470,-1.29580,8.64230,0.4491,0.45
2017-03-31,25.06300,22.20500,2.85800,-4.53000,4.75400,-1.89600,-1.89600,0.00600,-1.90200,-1.79800,,-1.79800,-1.39700,-1.67200,7.63300,7.63300,-0.24000,-0.24000,0.20460,0.25720,-7.56490,-6.67120,-7.56490,-7.17390,0.12050,-2.70080,-2.70080,-0.86460,-2.14820,8.72170,0.51430,0.51320
2016-12-31,25.65900,25.17800,0.48100,-4.21100,4.39000,-3.90900,-3.90900,0.53000,-4.43900,-4.42100,,-4.42100,-3.47000,-3.73000,7.61900,7.61900,-0.58000,-0.58000,0.20750,0.26180,-15.23440,-14.53680,-15.23440,-17.22980,0.12600,-6.52120,-6.52120,-2.17030,-5.16810,8.88170,-0.0075,-0.0136
2016-09-30,24.31400,20.84800,3.46600,-4.71000,4.87800,-1.41200,-1.41200,0.01600,-1.42800,-1.47500,,-1.47500,-1.00100,-1.24400,7.60800,7.60800,-0.19000,-0.19000,0.16060,0.19130,-5.80730,-5.11640,-5.80740,-6.06650,0.12410,-1.97980,-1.97980,-0.75290,-1.66190,9.76330,0.1263,0.125
2016-06-30,23.02700,19.55500,3.47200,-4.53600,4.67900,-1.20700,-1.20700,-0.62300,-0.58400,-0.51300,,-0.51300,-0.81700,-1.06400,7.59500,7.59500,-0.07000,-0.07000,0.16250,0.19410,-5.24170,-4.62070,-5.24170,-2.22780,0.11510,-0.67500,-0.67500,-0.25640,-0.56530,10.02920,0.3009,0.2854
2016-03-31,20.88300,18.70200,2.18100,-4.13900,4.29600,-2.11500,-2.11500,0.00000,-2.11500,-2.02800,,-2.02800,-1.71800,-1.95800,7.63900,7.63800,-0.27000,-0.27000,0.14720,0.17260,-10.12790,-9.37600,-10.12790,-9.71120,0.11350,-2.64240,-2.64240,-1.10200,-2.25340,10.08400,0.38960,0.38690
2015-12-31,19.93800,17.86700,2.07100,-4.17000,4.27500,-2.20400,-2.20400,0.04800,-2.25200,-2.30400,,-2.30400,-1.82500,-2.09900,5.37000,5.37000,-0.45000,-0.45000,0.14160,0.16500,-11.05430,-10.52760,-11.05430,-11.55580,0.11210,-2.98210,-2.98210,-1.29490,-2.55970,10.10750,1.1393,1.1303
2015-09-30,19.02100,14.41800,4.60300,-3.32500,3.50600,1.09700,1.09700,-0.04800,1.14500,1.14500,,1.21200,1.54400,1.27800,5.70200,5.70200,0.21000,0.21000,0.10840,0.12160,5.76730,6.71890,5.76730,6.37190,0.11020,1.42830,1.45430,0.66330,1.27340,10.48720,-0.5245,-0.5242
2015-06-30,16.15100,11.61500,4.53600,-3.61900,3.85800,0.67800,0.67800,0.04800,0.63000,0.63000,,0.36600,1.17800,0.91700,4.05000,4.05000,0.09000,0.09000,0.34930,0.53670,4.19790,5.67770,4.19790,2.26610,0.09870,1.40230,1.28760,0.38490,0.80120,12.63410,-0.8447,-0.8574
2015-03-31,15.61300,11.16500,4.44800,-3.69200,3.93600,0.51200,0.51200,,0.51200,0.51200,,0.25000,0.98200,0.75600,4.04100,4.04100,0.06000,0.06000,,,3.27930,4.84210,3.27930,1.60120,,,,,,,-0.35410,-0.36380
2014-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0.5107,0.6531
2014-09-30,15.37300,13.95300,1.42000,-3.43300,3.54100,-2.12100,-2.12100,0.13100,-2.25200,-2.25200,,-2.25000,-1.80700,-2.01300,2.51400,2.51400,-0.89000,-0.89000,,,-13.79690,-13.09440,-13.79690,-14.63610,,,,,,,0.1232,0.1029
2014-06-30,14.82500,13.20500,1.62000,-3.21300,3.33600,-1.71600,-1.71600,-0.19100,-1.52500,-1.52500,,-1.55200,-1.59300,-1.59300,2.35700,2.35700,-0.66000,-0.66000,,,-11.57510,-10.74540,-11.57500,-10.46880,,,,,,,-0.6339,-0.756
2013-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
