Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,1.13000,1.00000,-2.13000,0.00700,-2.12300,-2.12300,-2.12300,-2.12300,-2.12900,-2.13000,3.16100,3.16100,-0.67000,-0.67000,3.10380,,,,,,,,-58.00550,-58.00550,-38.88990,-58.00550,0.72860,7.3984,7.3984
2024-06-30,,,0.87700,1.38000,-2.25700,0.00700,-2.25000,-2.25000,-2.25000,-2.25000,-2.25600,-2.25700,0.45770,0.45770,-4.92000,-4.92000,3.10650,,,,,,,,-47.67960,-47.67960,-32.00110,-47.67960,5.88470,-2.5486,-2.5486
2024-03-31,,,0.93300,0.96200,-1.89500,0.00800,-1.88700,-1.88700,-1.88700,-1.88700,-1.89400,-1.89500,0.31740,0.31740,-5.98180,-5.98180,2.63570,,,,,,,,-67.44100,-67.44100,-41.13800,-67.44100,11.38450,-6.94150,-6.94150
2023-12-31,,,1.04700,0.97900,-2.02600,0.02200,-2.00400,-2.00400,-2.00400,-2.00400,-2.02500,-2.02600,0.03550,0.03550,133.36840,133.36840,1.08790,,,,,,,,-773.74840,-773.74480,-67.79430,-773.74500,5.21520,-147.4541,-147.433
2023-09-30,,,1.18900,1.25000,-2.43900,0.30200,-2.13700,-2.13700,-2.13700,-2.13700,-2.43800,-2.43900,0.03250,0.03250,-65.78000,-65.78000,2.00600,,,,,,,,-95.95860,-95.95870,-48.52410,-95.95870,68.55790,-30.3947,-30.3571
2023-06-30,,,0.88000,5.05400,-5.93400,-0.81200,-6.74600,-6.74600,-6.74600,-6.74600,-4.99000,-5.93400,0.02820,0.02820,-239.37000,-239.37000,3.48630,,,,,,,,-167.06290,-167.06290,-119.56750,-167.06290,124.30920,-22.5403,-22.8242
2023-03-31,,,0.11600,0.87200,-0.98800,-1.16200,-2.15000,-2.15000,-2.15000,-2.15000,0.17400,-0.98800,0.01100,0.01100,-195.57870,-195.57870,1.01500,,,,,,,,-6935.45300,-6935.50600,-102.52740,-6935.48300,6.27710,-52.65220,-52.65220
2022-12-31,,,-1.15100,0.38100,0.77000,-0.70600,0.06400,0.06400,0.06400,0.06400,0.94300,0.77000,0.00990,0.00990,800.31270,800.31270,0.15650,,-0.37050,,,,,,-3.93850,-3.93850,16.71020,-3.93850,-147.77160,-84.9005,-85.2029
2022-09-30,,,0.06300,0.12300,-0.18600,-0.16500,-0.35100,-0.35100,-0.35100,-0.35100,-0.14000,-0.18600,0.00980,0.00980,-35.49000,-35.49000,2.63930,,,,,,,,-10.14740,-10.14740,-6.30270,-10.14740,742.36420,-12.0692,-12.0692
2022-06-30,,,0.05900,0.13000,-0.18900,-0.10600,-0.29500,-0.29500,-0.29500,-0.29500,-0.22300,-0.18900,0.00940,0.00940,-31.85000,-31.85000,1.81350,,,,,,,,-8.04690,-8.04690,-3.68430,-8.04690,952.93440,905.2375,905.2375
2022-03-31,,,1.27100,1.36300,-2.63400,-0.00100,-2.63500,-2.63500,-2.63500,-2.63500,-2.59900,-2.63400,0.00250,0.00250,-1057.42000,-1057.42000,2.26830,,,,,,,,-78.42260,-78.42260,-44.33040,-78.42260,1347.74700,-917.64170,-917.64170
2021-12-31,,,1.99800,1.09600,-3.09400,-0.00200,-3.09600,-3.09600,-3.09600,-3.09600,-3.05500,-3.09400,0.00240,0.00240,-1202.40300,-1202.40300,3.32470,,,,,,,,-53.21420,-53.21420,-37.14460,-53.21420,2333.63300,-773.591,-773.591
2021-09-30,,,0.21500,1.03800,-1.25300,-0.00400,-1.25700,-1.25700,-1.25700,-1.25700,-1.22300,-1.25300,0.00250,0.00250,-491.89190,-491.89190,7.55220,,,,,,,,-14.40030,-14.40030,-12.39650,-14.40030,3501.25100,-517.025,-517.025
2021-06-30,,,1.20200,1.10800,-2.31000,-0.00200,-2.31200,-2.31200,-2.31200,-2.31200,-2.29200,-2.31000,0.00250,0.00250,-929.12920,-929.12920,6.82470,,,,,,,,-23.46490,-23.46490,-19.85060,-23.46490,3952.09400,-771.207,-771.207
2021-03-31,,,1.77200,0.83000,-2.60200,-0.03600,-2.63800,-2.63800,-2.63800,-2.63800,-2.58400,-2.60200,0.00210,0.00210,-1257.05700,-1257.05700,5.90770,0.01200,0.02000,,,,,,-21.93400,-21.93400,-18.06850,-21.67090,4824.09800,-1410.80800,-1410.80800
2020-12-31,,,1.28300,0.17900,-1.46200,-0.00800,-1.47000,-1.47000,-1.47000,-1.47000,-1.44200,-1.46200,0.00160,0.00160,-901.80210,-901.80210,0.30290,-0.00970,-0.04200,,,,,,101.10040,101.10040,-153.92670,102.08330,-0.32300,-0.1795,-0.1795
2020-09-30,,,0.73300,0.30000,-1.03300,-0.01200,-1.04500,-1.04500,-1.04500,-1.04500,-1.01500,-1.03300,0.00160,0.00160,-628.52860,-628.52860,,,,,,,,,,,,,,-0.2364,-0.2363
2020-06-30,,,0.80800,0.32700,-1.13500,-0.01200,-1.14700,-1.14700,-1.14700,-1.14700,-1.11600,-1.13500,0.00160,0.00160,-683.18320,-683.18320,,,,,,,,,,,,,,-0.2372,-0.2373
2020-03-31,0.10000,0.10000,0.88300,0.37500,-1.15800,-0.00200,-1.16000,-1.16000,-1.16000,-1.16000,-1.14000,-1.15800,0.00160,0.00160,-710.51050,-710.51050,,,,100.00000,-1158.00000,-1158.00000,-1160.00000,-1160.00000,,,,,,-0.17020,-0.17060
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
