Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,25.55100,19.44400,6.10700,0.82400,3.29000,4.11400,1.99300,1.32900,3.32200,0.76400,2.55800,2.55800,2.55800,2.63600,1.99300,14.65800,14.65800,0.17000,0.17000,26.54830,23.90120,7.80010,7.80010,13.00150,10.01140,0.12660,0.30750,8.74140,10.29590,1.31390,1.31390,1.26790,1.31390,13.28240,-0.0715,-0.0978
2024-03-31,40.67600,28.35400,12.32200,0.89300,4.35700,5.25000,7.07200,1.00800,8.08000,1.85800,6.22200,6.22200,6.22200,7.73500,7.07200,14.65800,14.65800,0.42000,0.42000,13.82960,30.29310,17.38620,17.38620,19.86430,15.29650,0.19740,0.44490,7.06430,12.74020,3.23840,3.23840,3.01980,3.23840,13.10760,0.7959,0.7951
2023-12-31,26.01800,18.48400,7.53400,0.80100,3.35000,4.15100,3.38300,2.23500,5.61800,1.29200,4.32600,4.32600,4.32600,4.04800,3.38300,14.65800,14.65800,0.30000,0.30000,9.59890,28.95690,13.00250,13.00250,21.59270,16.62700,0.12650,0.25600,6.45930,13.93340,2.32690,2.32690,2.10350,2.32690,12.68310,0.12920,0.10420
2023-09-30,20.87200,14.25900,6.61300,0.84200,3.07900,3.92100,2.69200,0.92000,3.61200,0.50700,3.10500,3.10500,3.10500,3.43500,2.69200,14.65800,14.65800,0.21000,0.21000,12.63350,31.68360,12.89770,12.89760,17.30550,14.87640,0.10660,0.19940,8.46050,10.63770,1.71000,1.71000,1.58620,1.71000,12.38820,0.8081,0.7385
2023-06-30,27.87700,20.36500,7.51200,0.84500,3.21400,4.05900,3.45300,0.71900,4.17200,0.96000,3.21200,3.21200,3.21200,4.15000,3.45300,14.65800,14.65800,0.22000,0.22000,15.08670,26.94690,12.38660,12.38660,14.96570,11.52200,0.14660,0.30490,8.01750,11.22540,1.79970,1.79970,1.68940,1.79970,12.17620,-0.7985,-0.8361
2023-03-31,30.50100,21.40400,9.09700,0.87400,3.06200,3.93600,5.16100,1.25700,6.41800,1.54500,4.87300,4.87300,4.87300,5.85000,5.16100,14.65800,14.65800,0.33000,0.33000,8.95820,29.82530,16.92080,16.92080,21.04190,15.97650,0.15600,0.33550,4.24920,21.18030,2.78030,2.78030,2.49260,2.78030,11.95700,0.8837,0.8517
2022-12-31,25.82500,20.01000,5.81500,0.89700,2.79900,3.69600,2.11900,2.45500,4.57400,1.09800,3.47600,3.47600,3.47600,2.82400,2.11900,14.65800,14.65800,0.24000,0.24000,11.32660,22.51690,8.20520,8.20520,17.71150,13.45980,0.13930,0.33740,5.54300,16.23660,2.04000,2.04000,1.87550,2.04000,11.62460,-0.19770,-0.24580
2022-09-30,23.07200,18.10400,4.96800,1.10500,2.71200,3.81700,1.15100,-1.84100,-0.69000,-1.16800,0.47800,0.47800,0.47800,1.91100,1.15100,14.65800,14.65800,0.03000,0.03000,13.11370,21.53260,4.98880,4.98870,-2.99060,2.07180,0.12870,0.32440,7.70090,11.68690,0.28640,0.28640,0.26660,0.28640,11.38740,-0.5158,-0.6749
2022-06-30,29.64700,23.96800,5.67900,0.95100,2.57700,3.52800,2.15100,-3.39000,-1.23900,-0.22400,-1.01500,-1.01500,-1.01500,2.91500,2.15100,14.65800,14.65800,-0.07000,-0.07000,11.32340,19.15540,7.25540,7.25540,-4.17920,-3.42360,0.16350,0.49680,7.06220,12.74400,-0.60980,-0.60980,-0.55960,-0.60980,11.35480,-0.1787,-0.2113
2022-03-31,30.65400,24.46200,6.19200,0.92000,3.36400,4.28400,1.90800,-1.32900,0.57900,0.14000,0.43900,0.43900,0.43900,2.45700,1.90800,14.65800,14.65800,0.03000,0.03000,9.19700,20.19970,6.22430,6.22430,1.88880,1.43210,0.16430,0.51800,7.81190,11.52090,0.26220,0.26220,0.23540,0.26220,11.42410,0.1384,0.0906
