Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,4.20300,2.10600,,-6.30900,0.26800,-6.04100,-6.04100,-6.04100,-6.04100,-6.19700,-6.30900,55.24700,55.24700,-0.11000,-0.11000,3.41290,,,,,,,,,,,-32.95330,-32.95330,-14.08290,-32.95330,0.33170,-0.1017,-0.1025
2024-06-30,,,,3.51300,2.16800,,-5.68100,0.32500,-5.35600,-5.35600,-5.35600,-5.35600,-5.58100,-5.68100,55.02100,55.02100,-0.10000,-0.10000,4.55340,,,,,,,,,,,-22.48150,-22.48150,-11.10650,-22.48150,0.43160,-0.0829,-0.0833
2024-03-31,,,,3.72600,2.50100,,-6.22700,0.18800,-6.03900,-6.03900,-6.03900,-6.03900,-6.12800,-6.22700,52.20200,52.20200,-0.12000,-0.12000,5.13230,,,,,,,,,,,-21.03450,-21.03450,-11.22740,-21.03450,0.52220,-0.08640,-0.08990
2023-12-31,,,,4.70800,1.50900,,-6.21700,0.19100,-6.02600,-6.02600,-6.02600,-6.02600,-6.11900,-6.21700,50.85300,50.85300,-0.12000,-0.12000,4.02970,,,,,,,,,,,-29.02560,-29.02560,-13.15810,-29.02560,0.40680,-0.0683,-0.083
2023-09-30,,,,4.44100,2.70300,,-7.14400,0.36200,-6.78200,-6.78200,-6.78200,-6.78200,-7.07300,-7.14400,50.83700,50.83700,-0.13000,-0.13000,4.12780,,,,,,,,,,,-25.87860,-25.87860,-12.71970,-25.87860,0.51360,-0.1513,-0.1525
2023-06-30,,,,3.86400,3.13900,,-7.00300,0.47700,-6.52600,-6.52600,-6.52600,-6.52600,-6.92300,-7.00300,50.79500,50.79500,-0.13000,-0.13000,5.11180,,,,,,,,,,,-20.14570,-20.14570,-10.94840,-20.14570,0.63770,-0.1092,-0.11
2023-03-31,,,,3.95500,2.64600,,-6.60100,0.28300,-6.31800,-6.31800,-6.31800,-6.31800,-6.49300,-6.60100,50.75500,50.75500,-0.12000,-0.12000,6.93910,,,,,,,,,,,-16.46690,-16.46690,-14.17230,-16.46690,0.75540,-0.13720,-0.13800
2022-12-31,,,,4.42800,3.37500,,-7.80300,0.51800,-7.28500,-7.28500,-7.28500,-7.28500,-7.69300,-7.80300,38.24100,38.24100,-0.18000,-0.18000,6.96690,,,,,,,,,,,-16.44170,-16.44170,-14.24800,-16.44170,0.87330,-0.1383,-0.1406
2022-09-30,,,,3.85900,1.58500,,-5.44400,6.86700,1.42300,1.42300,1.42300,1.42300,-5.34300,-5.44400,37.96500,38.47700,0.04000,0.04000,9.69090,,,,,,,,,,,2.77060,2.77060,2.49550,2.77060,1.01230,-0.1734,-0.1767
2022-06-30,,,,3.20300,0.88400,,-4.08700,-0.01600,-4.10300,-4.10300,-4.10300,-4.10300,-4.00000,-4.08700,36.88000,36.88000,-0.11000,-0.11000,22.14940,,,,,,,,,,,-6.50670,-6.50670,-6.24990,-6.50670,4.80080,-0.0933,-0.0957
2022-03-31,,,,2.67900,1.22800,,-3.90700,-0.01700,-3.92400,-3.92400,-3.92400,-3.92400,-3.82400,-3.90700,36.80600,36.80600,-0.11000,-0.11000,25.24820,,,,,,,,,,,-5.93170,-5.93170,-5.72530,-5.93170,5.03640,-0.08630,-0.08710
2021-12-31,,,,7.10500,-2.40600,,-4.69900,0.55400,-4.14500,-4.14500,-4.14500,-4.14500,-4.61600,-4.69900,33.09200,33.09200,0.31010,0.31010,1.18360,,,,,,,,,,,-168.15410,-168.15410,-76.01320,-168.15420,0.06700,-0.0944,-0.1024
2021-09-30,,,,2.86800,0.61700,,-3.48500,-0.00600,-3.49100,-3.49100,-3.49100,-3.49100,-3.26200,-3.48500,33.79900,33.79900,-0.10000,-0.10000,18.68360,,,,,,,,,,,-5.01520,-5.01520,-4.74130,-5.01520,5.29950,0.2829,0.2736
2021-06-30,,,,0.69500,1.60100,,-2.29600,0.00200,-2.29400,-2.29400,-2.29400,-2.29400,-2.27700,-2.29600,9.55470,9.55470,-0.24000,-0.24000,20.60590,,,,,,,,,,,-3.18150,-3.18150,-3.02180,-3.18150,6.28710,-0.4202,-0.4202
2021-03-31,,,,0.33400,2.50900,,-2.84300,,-2.84300,-2.84300,-2.84300,-2.84300,-2.82300,-2.84300,7.84490,7.84490,-0.36000,-0.36000,3.98000,0.10470,,,,,,,,,,-13.53420,-13.53420,-10.10130,-13.53420,2.25830,-0.09920,-0.09920
2020-12-31,,,,0.34700,1.42700,,-1.27400,-0.01700,-1.29100,-1.29100,-1.29100,-1.29100,-1.25800,-1.27400,6.85760,6.85760,0.21000,0.21000,0.83180,-3.27380,,,,,,,,,,192.11340,192.11320,-28.94620,192.11310,-0.08690,-0.4584,-0.4572
2020-09-30,,,,0.27900,1.32300,,-1.60200,-0.00100,-1.60300,-1.60300,-1.60300,-1.60300,-1.58000,-1.60200,7.70520,7.70520,-0.21000,-0.21000,1.11040,,,,,,,,,,,-295.75180,-295.75640,-45.51390,-295.75650,0.07030,0.0547,0.1123
2020-06-30,,,,0.32300,1.94500,,-3.11600,0.01600,-3.10000,-3.10000,-3.10000,-3.10000,-3.09600,-3.11600,6.77830,6.77830,-0.45000,-0.45000,1.68300,,,,,,,,,,,-148.82180,-148.82380,-64.51610,-148.82380,0.27030,-0.3901,-0.3756
2020-03-31,,,,3.88700,3.63600,,-8.90400,0.01800,-8.88600,-8.88600,-8.88600,-8.88600,-8.79800,-8.90400,5.21580,5.21580,-1.71020,-1.71020,0.70180,,,,,,,,,,,674.19090,674.20320,-227.61270,674.20340,-0.25260,-1.65920,-1.72260
2019-12-31,0.49700,0.12400,0.37300,4.14500,4.29400,8.49900,-8.12600,0.25800,-7.86800,-7.86800,-7.86800,-7.86800,-8.02200,-8.12600,4.90220,4.90220,-1.29010,-1.29010,1.88390,,75.05030,-1635.00900,-1635.00800,-1583.09800,-1583.09900,0.02990,0.12050,1.09230,82.39440,-108.15110,-108.15120,-47.40040,-108.15120,1.39530,-1.7363,-1.7609
2019-09-30,0.47200,0.36400,0.10800,3.37900,4.34800,7.72700,-7.61900,0.03500,-7.58400,-7.58400,-7.58400,-7.58400,-7.52200,-7.61900,5.19080,5.19080,-1.47010,-1.47010,2.83310,,22.88140,-1614.19500,-1614.19500,-1606.78000,-1606.78000,0.01980,0.28800,1.78790,50.33900,-53.08680,-53.08690,-31.73490,-53.08690,2.75200,-1.2387,-1.2829
2019-06-30,1.28200,0.93300,0.34900,3.43600,4.48100,8.79000,-8.44100,0.00100,-8.44000,-8.44000,-8.44000,-8.44000,-8.34400,-8.44100,5.18010,5.18010,-1.68020,-1.68020,3.57830,,27.22310,-658.42440,-658.42440,-658.34630,-658.34630,0.04070,0.63300,2.03820,44.15760,-39.82070,-39.82070,-26.77670,-39.82070,4.08340,-0.8839,-0.9064
2019-03-31,1.12800,0.73100,0.39700,2.18300,5.55800,10.16500,-9.76800,0.06800,-9.70000,-9.70000,-9.70000,-9.70000,-9.66900,-9.76800,4.02330,4.02330,-2.40020,-2.40020,4.71360,,35.19500,-865.95730,-865.95730,-859.92910,-859.92910,0.02930,0.45630,1.88940,47.63300,-34.00050,-34.00050,-25.16340,-34.00050,5.51350,-1.77720,-1.78640
2018-12-31,1.76700,1.60000,0.16700,2.43700,6.05200,9.04400,-8.87700,0.01900,-8.85800,-8.85800,-8.85800,-8.85800,-8.77100,-8.87700,2.76540,2.76540,-2.85030,-2.85030,1.26610,,9.45100,-502.37710,-502.37700,-501.30180,-501.30180,0.16540,0.49230,3.50600,25.67060,-287.22480,-287.22440,-82.92460,-287.22440,0.96970,-3.0728,-3.0814
