Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.01130,0.01130,0.13970,0.79890,,-0.92730,0.01930,-0.90800,-0.90800,-0.90800,-0.90800,-0.80910,-0.92730,2.70700,2.70700,-0.34000,-0.34000,2.96180,,100.00000,-8243.05800,-8243.05800,-8071.51100,-8071.51100,0.00350,,,-37.94420,-37.94420,-28.05980,-37.94420,0.85710,-0.18040,-0.23500
2024-06-30,0.02780,0.02780,0.18580,1.05180,,-1.20980,0.02880,-1.18100,-1.18100,-1.18100,-1.18100,-1.09030,-1.20980,2.54200,2.54200,-0.78400,-0.78400,3.26200,,100.00000,-4344.89800,-4344.89800,-4241.36800,-4241.36800,0.00840,0.92630,97.16280,-46.94360,-46.94360,-35.63380,-46.94360,0.98970,-0.2574,-0.3153
2024-03-31,0.03430,0.03430,0.22380,1.27420,,-1.46380,0.03790,-1.42590,-1.42590,-1.42590,-1.42590,-1.34160,-1.46380,2.54200,2.54200,-0.56000,-0.56000,14.88940,,100.00000,-4272.45000,-4272.45000,-4161.91000,-4161.91000,0.00890,,,-39.35780,-39.35780,-37.18460,-39.35780,1.42520,-0.2288,-0.2718
2023-12-31,0.04140,0.04140,0.33120,0.66630,,-0.95610,0.05050,-0.90560,-0.90560,-0.90560,-0.90560,-0.81640,-0.95610,2.54200,2.54200,-0.03600,-0.03600,21.92250,,100.00000,-2306.98500,-2306.98500,-2185.19700,-2185.19700,0.00910,,,-20.69330,-20.69330,-19.89340,-20.69330,1.72160,-0.3615,-0.3829
2023-09-30,0.06330,0.06330,0.33340,0.67990,,-0.95000,0.05930,-0.89070,-0.89070,-0.89070,-0.89070,-0.79760,-0.95000,2.54200,2.54200,-0.35000,-0.35000,17.96980,,100.00000,-1499.99200,-1499.99200,-1406.36500,-1406.36500,0.01150,3.37780,26.64490,-16.96940,-16.96940,-16.15870,-16.96940,2.06480,-0.25920,-0.28480
2023-06-30,0.12300,0.12300,0.33230,0.77550,,-0.98480,0.03630,-0.94850,-0.94850,-0.94850,-0.94850,-0.82790,-0.98480,2.47000,2.47000,-0.34000,-0.34000,20.66260,,100.00000,-800.64060,-800.64070,-771.13130,-771.13130,0.01940,8.19990,10.97570,-15.58870,-15.58870,-14.93730,-15.58870,2.39360,-0.294,-0.3381
2023-03-31,0.20460,0.20460,0.27940,0.87070,,-0.94550,0.01750,-0.92800,-0.92800,-0.92800,-0.92800,-0.78220,-0.94550,2.52900,2.52900,-0.37000,-0.37000,20.39510,,100.00000,-462.13530,-462.13530,-453.59090,-453.59090,0.02810,4.67630,19.24590,-13.33870,-13.33870,-12.76760,-13.33870,2.73690,-0.2941,-0.3398
2022-12-31,0.23710,0.23710,0.43110,0.51800,,-0.71200,0.01250,-0.69950,-0.69950,-0.69950,-0.69950,-0.53670,-0.71200,2.52500,2.52500,-0.28000,-0.28000,16.43060,,100.00000,-300.24250,-300.24250,-294.96790,-294.96790,0.02850,2.25880,39.84440,-8.87750,-8.87750,-8.40020,-8.87750,3.11720,-0.373,-0.3943
2022-09-30,0.28030,0.28030,0.48080,1.38180,,-1.58230,0.00490,-1.57730,-1.57730,-1.57730,-1.57730,-1.39520,-1.58230,2.28500,2.28500,-0.69000,-0.69000,11.17220,,100.00000,-564.52360,-564.52360,-562.76820,-562.76820,0.02980,4.24180,21.21740,-18.24370,-18.24370,-16.79840,-18.24370,3.42550,-0.35440,-0.40360
2022-06-30,0.15760,0.15760,0.68290,1.61270,,-2.13800,-0.00380,-2.14340,-2.14340,-2.14340,-2.14340,-1.94440,-2.13800,1.93900,1.93900,-0.90890,-0.90890,10.33270,,100.00000,-1356.43100,-1356.43100,-1359.88000,-1359.88000,0.01770,10.83660,8.30520,-26.34560,-26.34560,-24.12710,-26.34560,3.75610,-0.8986,-0.969
2022-03-31,0.20950,0.20950,0.90000,1.52180,,-2.21230,-0.00380,-2.21610,-2.21610,-2.21610,-2.21610,-1.97210,-2.21230,1.98400,1.98400,-1.12000,-1.12000,11.30280,,100.00000,-1055.88500,-1055.88500,-1057.71900,-1057.71900,0.01940,19.40880,4.63710,-22.30120,-22.30120,-20.56530,-22.30120,4.63460,-0.4829,-0.5013
2021-12-31,0.18920,0.18920,0.68100,1.83600,,-2.32790,0.00560,-2.32220,-2.32220,-2.32220,-2.32220,-2.10540,-2.32790,1.83140,1.83140,-1.32050,-1.32050,11.32300,,100.00000,-1230.53400,-1230.53400,-1227.56800,-1227.56800,0.01890,11.39950,7.89510,-25.16240,-25.16240,-23.26040,-25.16240,5.03830,-1.4102,-1.5366
2021-09-30,0.14070,0.14070,0.79610,1.72300,,-2.37840,-0.00140,-2.37820,-2.37820,-2.37820,-2.37820,-2.15900,-2.37840,1.80010,1.80010,-1.32050,-1.32050,9.58600,,100.00000,-1690.52700,-1690.52700,-1690.34000,-1690.34000,0.01150,6.13700,14.66510,-21.41320,-21.41320,-19.44320,-21.41320,6.06690,-0.67180,-0.82360
2021-06-30,0.25630,0.25630,0.68260,1.46360,,-1.88990,0.00020,-1.88970,-1.88970,-1.88970,-1.88970,-1.67550,-1.88990,1.62440,1.62440,-0.72030,-0.72030,14.91570,,100.00000,-737.49150,-737.49140,-737.40250,-737.40250,0.02050,5.01300,17.95330,-16.10300,-16.10300,-15.14570,-16.10300,6.68810,-0.8912,-1.0156
2021-03-31,0.20140,0.20140,0.61520,1.90970,,-2.32350,0.00070,-2.32280,-2.32280,-2.32280,-2.32280,-2.12630,-2.32350,1.71080,1.71080,-1.32050,-1.32050,12.32400,,100.00000,-1153.68500,-1153.68500,-1153.33600,-1153.33600,0.01420,29.18750,3.08350,-17.62440,-17.62440,-16.34120,-17.62440,7.69290,-0.7774,-0.9051
2020-12-31,0.10680,0.10680,0.51100,1.88400,,-2.28820,0.00060,-2.28760,-2.28760,-2.28760,-2.28760,-2.10920,-2.28820,1.70140,1.70140,-1.32050,-1.32050,15.26210,,100.00000,-2142.25100,-2142.25100,-2141.68300,-2141.68300,0.00660,10.23100,8.79680,-14.97030,-14.97030,-14.07610,-14.97030,8.93270,-1.3886,-1.494
2020-09-30,0.11010,0.11010,0.46780,1.11480,,-1.47240,-3.61380,-5.08630,-5.08630,-5.08630,-5.08630,-1.12860,-1.47240,1.37830,1.37830,-3.72150,-3.72150,10.49030,,100.00000,-1337.26200,-1337.26200,-4619.29900,-4619.29900,0.00610,0.39790,226.20770,-30.71110,-30.71110,-28.00660,-30.71110,9.76520,-0.22700,-0.38810
2020-06-30,-0.00150,-0.00150,0.42210,0.85330,,-1.27690,-0.10400,-1.38090,-1.38090,-1.38090,-1.38090,-1.04100,-1.27690,1.28120,1.28120,-0.84030,-0.84030,1.62020,0.67520,,,,,,-0.00030,-0.02450,-3679.46500,-46.03080,-46.03080,-24.20600,-46.03080,2.21870,-0.5518,-0.6739
2020-03-31,0.02090,0.02090,0.34440,0.56140,,-0.88480,0.00810,-0.87670,-0.87670,-0.87670,-0.87670,-0.73730,-0.88480,1.31880,1.31880,-0.72030,-0.72030,5.92360,,100.00000,-4226.10200,-4226.10200,-4187.25200,-4187.25200,0.00440,0.05720,1573.80700,-20.84200,-20.84200,-18.32520,-20.84200,3.18950,-0.389,-0.4935
