Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,16.07300,6.96500,9.10800,7.68700,7.68700,1.42100,1.42100,0.26700,1.15400,1.15400,1.15400,2.54400,2.56900,0.45000,0.45000,0.33610,0.50620,15.61540,12.68130,0.00830,1.12870,1.12870,0.10480,0.74940,39.87480,1.2755,1.2596
2024-06-30,15.20100,6.59100,8.61000,7.62800,7.62800,0.98200,0.98200,0.18700,0.79500,0.79500,0.79500,2.54100,2.55900,0.31000,0.31000,0.33800,0.51050,11.26280,9.11800,0.00810,0.78440,0.78440,0.07400,0.51930,39.63510,-1.57,-0.9271
2024-03-31,14.85600,6.30000,8.55600,7.62300,7.62300,0.93300,0.93300,0.16300,0.77000,0.77000,0.77000,2.53900,2.55700,0.30000,0.30000,0.33870,0.51220,10.86270,8.96500,0.00790,0.76240,0.76240,0.07090,0.50420,39.46540,1.37620,0.74150
2023-12-31,14.40200,5.77000,8.63200,7.28000,7.28000,1.35200,1.35200,0.14200,1.21000,1.21000,1.16300,2.56220,2.58170,0.47000,0.47000,0.33940,0.51380,15.61380,13.43110,0.00870,1.20210,1.20210,0.12160,0.79410,39.48760,0.8149,0.7305
2023-09-30,13.76700,4.51800,9.24900,7.78500,7.78500,1.46400,1.46400,0.29500,1.16900,1.16900,1.16900,2.55400,2.57200,0.45000,0.45000,0.34030,0.51580,15.95810,12.74250,0.00890,1.16620,1.16620,0.11350,0.76940,39.03350,1.1572,1.1322
2023-06-30,14.30300,3.66800,10.63500,7.16600,7.16600,3.46900,3.46900,0.57700,2.89200,2.89200,2.89200,2.57500,2.59100,1.12000,1.11000,0.41780,0.71750,31.63410,26.37240,0.01080,2.89420,2.89420,0.28610,1.68510,38.83560,-0.0584,-0.1074
2023-03-31,13.14300,2.80300,10.34000,7.62500,7.62500,2.71500,2.71500,0.54700,2.16800,2.16800,2.16800,2.57800,2.60400,0.84000,0.83000,0.32130,0.47350,26.28270,20.98740,0.01030,2.19870,2.19870,0.21590,1.49220,37.91040,0.75350,0.74000
2022-12-31,12.83800,2.13200,10.70600,7.24600,7.24600,3.46000,3.46000,0.53900,2.92100,2.92100,2.86000,2.57850,2.61340,1.12000,1.12000,0.35880,0.55960,32.55550,26.91010,0.01090,2.98960,2.98960,0.29920,1.91690,37.81150,1.7447,1.679
2022-09-30,11.80200,1.17900,10.62300,7.41100,7.41100,3.21200,3.21200,0.66600,2.54600,2.54600,2.54600,2.56300,2.59800,0.99000,0.97000,0.37170,0.59150,31.25430,24.77380,0.01050,2.68120,2.68120,0.25920,1.68470,36.77610,-0.0085,-0.0312
2022-06-30,10.00100,0.59400,9.40700,7.38400,7.38400,2.02300,2.02300,0.40900,1.61400,1.61400,1.61400,2.58400,2.61500,0.62000,0.61000,0.30920,0.44760,22.94950,18.30970,0.00940,1.73440,1.73440,0.17230,1.19810,36.08260,1.0109,0.9788
