Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-03-31,26.67600,3.70200,22.97400,3.60200,15.92500,,23.15800,-0.18400,2.31800,2.13400,0.12200,2.01200,2.01200,0.65900,2.67100,3.94900,-0.18400,46.99300,48.60600,0.06000,0.05000,0.54860,0.13160,0.15160,86.12240,-0.68980,-0.68980,7.99970,10.01270,0.10870,1.10050,81.78140,1.55450,-7.17190,0.82020,1.34990,2.48140,0.13220,0.05600
2020-12-31,19.78900,3.06200,16.72700,3.62400,11.37700,,17.04400,-0.31700,-0.21400,-0.53100,-0.51500,-0.01600,-0.01600,2.01100,1.99500,2.66000,-0.31700,48.27800,48.27800,0.04000,0.04000,0.51210,0.13310,0.15350,84.52680,-1.60190,-1.60190,-2.68330,10.08140,0.08210,1.18730,75.80120,-0.01250,0.06580,-0.00660,-0.01090,2.49060,0.0858,0.0136
2020-09-30,27.14900,3.54900,23.60000,3.69700,15.38400,-8.00000,52.07800,-28.47800,-0.27300,-28.75100,-1.75800,-26.99300,-26.99300,-0.32900,-27.32200,-2.00900,-28.47800,47.95500,47.95500,-0.57000,-0.57000,0.80460,0.22610,0.29210,86.92770,-104.89520,-104.89520,-105.90080,-100.63720,0.10720,1.41450,63.62560,-21.57420,90.53500,-10.66310,-16.69710,2.37440,0.0996,0.0073
2020-06-30,27.59600,3.49900,24.09700,3.40100,16.46800,,22.44200,1.65500,-0.16100,1.49400,0.33200,1.16200,1.16200,0.70000,1.86200,4.71100,1.65500,48.42700,49.69100,0.04000,0.04000,0.77980,0.19650,0.24460,87.32060,5.99720,5.99720,5.41380,6.74740,0.09780,1.36270,66.04540,0.77850,-3.35670,0.41170,0.62550,2.81980,0.1419,0.0601
2020-03-31,36.63300,4.17600,32.45700,4.16500,23.08900,-7.20000,37.70700,-5.25000,-2.18500,-7.43500,-0.88500,-6.55000,-6.55000,,-6.55000,-1.96000,-5.25000,49.13400,49.13400,-0.13000,-0.13000,0.79910,0.19600,0.24380,88.60050,-14.33130,-14.33130,-20.29590,-17.88010,0.12730,1.46220,61.55270,-4.37840,18.98220,-2.27650,-3.52020,2.76640,0.05970,-0.02760
2019-12-31,5.61700,1.54200,4.07500,1.99500,3.64100,0.28600,6.57700,-2.50200,-0.19100,-2.69300,-0.29400,-2.39900,-2.39900,,3.52100,0.07700,-2.50200,48.73900,51.63300,0.08000,0.07000,0.44630,0.05530,0.05850,72.54760,-44.54310,-44.54310,-47.94370,62.68460,0.02020,0.23890,376.71120,-1.48830,7.08420,-0.86200,-1.40600,2.98960,0.0798,0.0034
2019-09-30,37.17600,4.25000,32.92600,4.12100,21.11700,,27.65300,5.27300,-0.18800,5.08500,0.70400,4.38100,4.38100,,4.38100,7.72400,5.27300,48.97400,52.13700,0.09000,0.08000,0.33800,0.04600,0.04830,88.56790,14.18390,14.18390,13.67820,11.78450,0.14370,2.27100,39.63040,2.85810,-11.63180,1.69360,2.72650,2.83610,0.0871,0.0099
2019-06-30,37.35900,3.91600,33.44300,4.39100,21.56400,-1.36200,29.67800,3.76500,-0.21900,3.54600,0.48500,3.06100,3.06100,,3.06100,6.16300,3.76500,48.91800,51.87500,0.06000,0.06000,0.38300,0.05830,0.06190,89.51790,10.07790,10.07790,9.49170,8.19350,0.13970,1.90710,47.19100,2.02310,-7.37250,1.14500,1.90520,2.74460,0.2128,0.1522
2019-03-31,37.12000,3.82500,33.29500,4.19600,22.20700,-0.87500,29.70300,3.59200,-0.10500,3.48700,1.89900,1.58800,1.58800,,1.58800,6.05400,3.59200,48.10300,50.33000,0.03000,0.03000,0.44900,0.09890,0.10970,89.69560,9.67670,9.67670,9.39390,4.27800,0.13470,1.43770,62.60000,1.06710,-3.48500,0.57620,0.96160,2.70840,0.06430,0.00370
2018-12-31,37.98700,4.01400,33.97300,4.40100,22.67000,-2.47100,31.66700,2.30600,-0.67800,1.62800,-1.31800,2.94600,2.94600,,2.94600,4.62700,2.30600,48.52000,49.60500,0.06420,0.05420,0.48020,0.10630,0.11890,89.43330,6.07050,6.07050,4.28570,7.75530,0.14700,1.51630,59.35640,2.02680,-6.18660,1.14020,1.81130,2.72220,0.1282,0.0567
