Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.13340,0.05070,0.08270,1.58570,-0.25500,1.84070,-1.75810,-0.24160,-1.99970,-1.99970,-1.99970,-1.99920,-1.51620,-1.75810,2.01400,2.01400,-0.99000,-0.99000,0.07480,0.01400,61.98710,-1318.21300,-1318.21300,-1499.38100,-1499.03500,0.00900,3.83690,-14.93600,163.70700,-13.51870,-14.93590,6.27100,-0.3787,-0.3837
2024-06-30,0.16320,0.09340,0.06980,2.19840,-0.04000,2.23840,-2.16860,-0.22270,-2.39130,-2.39130,-2.39130,-2.39100,-1.94280,-2.16860,1.74080,1.74080,-1.34930,-1.34930,0.37550,0.01360,42.77440,-1329.12500,-1329.12500,-1465.60100,-1465.39300,0.01070,6.66030,-17.29160,306.36150,-15.69330,-17.29150,7.11650,-0.8246,-0.7873
2024-03-31,0.21410,0.06670,0.14740,2.37200,-0.14300,2.51500,-2.36760,,-2.36760,-2.36760,-2.36760,-2.36760,-2.36140,-2.36760,1.52300,1.52300,-1.49930,-1.49930,0.07410,-0.09130,68.84700,-1105.87200,-1105.87200,-1105.87200,-1105.85500,0.71020,4.61510,247.02110,247.02100,-785.41730,247.02100,-0.60840,-0.65080,-0.65080
2023-12-31,0.24440,0.10180,0.14260,3.21670,-0.66200,3.87860,-3.73600,-0.01290,-2.56800,-2.56800,-2.56800,-2.56800,-3.72980,-3.73600,1.07470,1.07470,-1.29850,-1.29850,3.95780,,58.34620,-1528.82300,-1528.82400,-1050.86800,-1050.86800,0.23260,5.50190,-331.46630,-331.46610,-244.39130,-331.46610,0.54250,-1.5206,-1.5205
2023-09-30,0.24520,0.10060,0.14460,1.68850,-0.25550,1.94400,-1.79950,,-1.79950,-1.79950,-1.79950,-1.79950,-1.79320,-1.79950,1.06200,1.06200,-1.70000,-1.70000,8.43540,,58.97740,-733.99410,-733.99410,-733.99410,-733.99410,0.15370,4.66020,-132.81890,-132.81900,-112.78310,-132.81900,1.20980,-1.5787,-1.5787
2023-06-30,0.14120,0.05410,0.08710,2.28890,-0.09050,2.37940,-2.29230,0.00820,-2.28400,-2.28400,-2.28400,-2.28400,-2.28600,-2.29230,1.05200,1.05200,-2.09900,-2.09900,15.38950,,61.69060,-1622.98700,-1622.98700,-1617.15800,-1617.15800,0.04280,2.30300,-76.06600,-76.06600,-69.28510,-76.06600,2.69330,-1.0033,-1.0021
2023-03-31,0.10070,0.04350,0.05720,1.35580,-0.09250,1.44830,-1.39110,-0.00180,-2.56090,-2.56090,-2.56090,-2.56090,-1.38500,-1.39110,0.75090,0.75090,-3.44830,-3.44830,20.90600,0.02340,56.78900,-1381.15300,-1381.15300,-2542.52800,-2542.52800,0.02450,,-67.05330,-67.05330,-62.22860,-67.05330,3.73880,-2.40820,-2.41280
2022-12-31,0.00890,0.00410,0.00480,0.65730,,0.65730,-0.65250,-0.00090,-0.65440,-0.65440,-0.65440,-0.65440,-0.65250,-0.65250,0.72020,0.72020,-0.74960,-0.74960,2.66560,0.27270,55.05620,-7331.46100,-7331.46100,-7352.80900,-7352.80900,0.00890,,-106.57460,-106.57460,-65.22560,-106.57460,0.68880,-0.8304,-0.8865
2022-09-30,,,,0.99180,,,-0.99180,-0.00310,-0.99490,-0.99490,-0.99490,-0.99490,-0.99180,-0.99180,0.67030,0.67030,-1.49930,-1.49930,,,,,,,,,,,,,,,-0.8789,-0.8827
2022-06-30,,,,0.32790,,,-0.32790,-0.00160,-0.32950,-0.32950,-0.32950,-0.32950,-0.32790,-0.32790,0.60060,0.60060,-0.59970,-0.59970,,,,,,,,,,,,,,,-0.1258,-0.1258
2022-03-31,,,,0.01870,,,-0.01870,-0.00090,-0.01960,-0.01960,-0.01960,-0.01960,-0.01870,-0.01870,0.53360,0.53360,0.00000,0.00000,,,,,,,,,,,,,,,-0.03510,-0.03510
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
