Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.24880,-0.24880,0.17810,-0.07080,0.08390,-0.15470,-0.15470,-0.15470,-0.24880,-0.24880,3.84050,3.84050,-0.04000,-0.04000,0.05440,-0.18660,2.87450,2.87450,-3.92670,2.87450,-2.13220,-0.0497,-0.0497
2024-06-30,-0.34840,-0.34840,0.20410,-0.14430,0.00880,-0.15310,-0.15310,-0.15310,-0.34840,-0.34840,4.08170,4.08170,-0.04000,-0.04000,0.00780,-0.21330,3.25260,3.25260,-0.87940,3.25260,-1.86490,-0.0727,-0.0727
2024-03-31,-0.42010,-0.42010,0.39180,-0.02820,,-0.02820,-0.02820,-0.02820,-0.42010,-0.42010,5.38770,5.38770,-0.01000,-0.01000,0.08410,-0.23220,0.65260,0.65260,-0.16160,0.65260,-1.71310,-0.03010,-0.03010
2023-12-31,-0.30710,-0.30710,0.38370,0.07650,-0.01850,0.09500,0.09500,0.09500,-0.30710,-0.30710,6.19060,6.19060,0.03000,0.03000,0.06030,-0.26660,-2.60070,-2.60070,0.29370,-2.60070,-1.44740,-0.0209,-0.0209
2023-09-30,-0.39420,-0.39420,0.37490,-0.01930,0.08180,-0.10120,-0.10120,-0.10120,-0.39420,-0.39420,5.46360,5.46360,-0.02000,-0.02000,0.01260,-0.22840,3.18170,3.18170,-0.31660,3.18170,-1.25960,-0.0283,-0.0283
2023-06-30,-0.49010,-0.49010,0.33630,-0.15380,0.08560,-0.23940,-0.23940,-0.23940,-0.49010,-0.49010,5.46360,5.46360,-0.04000,-0.04000,0.05050,-0.16480,9.04650,9.04650,-0.76090,9.04650,-1.04850,-0.0535,-0.0535
2023-03-31,-0.31350,-0.31350,0.68290,0.36940,0.18070,0.18870,0.18870,0.18870,-0.31350,-0.31350,8.41190,8.41190,0.02000,0.02000,0.02470,,-9.61970,-9.61970,0.61280,-9.61970,-0.77720,-0.04410,-0.04410
2022-12-31,-0.25730,-0.25730,0.63450,0.37730,0.16000,0.21720,0.21720,0.21720,-0.25730,-0.25730,9.42400,9.42400,0.02000,0.02000,0.03180,,-17.48180,-17.48180,0.30400,-17.48180,-0.49230,-0.0455,-0.0455
2022-09-30,-0.30150,-0.30150,0.43070,0.12920,0.06330,0.06590,0.06590,0.06590,-0.30150,-0.30150,9.42400,9.42400,0.01000,0.01000,0.42090,,2.89970,2.89970,0.09370,2.89970,0.90100,0.0028,0.0028
2022-06-30,-0.25730,-0.25730,0.11100,-0.14630,,-0.14630,-0.14630,-0.14630,-0.25730,-0.25730,9.42400,9.42400,-0.02000,-0.02000,0.76560,,-2.78820,-2.78820,-0.20900,-2.78820,2.07920,-0.0084,-0.0084
2022-03-31,-0.18490,-0.18490,0.09510,-0.08970,,-0.08970,-0.08970,-0.08970,-0.18490,-0.18490,9.42400,9.42400,-0.01000,-0.01000,2.01690,,-1.06410,-1.06410,-0.12810,-1.06410,3.34150,-0.02140,-0.02140
2021-12-31,-0.27570,-0.27570,0.14770,-0.12800,,-0.12800,-0.12800,-0.12800,-0.27570,-0.27570,4.78510,4.78510,-0.01000,-0.01000,2.52710,,-1.10690,-1.10690,-0.18210,-1.10690,4.58140,0.0092,0.0092
2021-09-30,-0.11880,-0.11880,-0.02920,-0.14800,,-0.14800,-0.14800,-0.14800,-0.11880,-0.11880,3.14800,3.14800,-0.05000,-0.05000,6.48860,,-3.09320,-3.09320,-0.21010,-3.09320,1.89560,-0.0786,-0.0786
2021-06-30,-0.00020,-0.00020,,-0.00020,,-0.00020,-0.00020,-0.00020,-0.00020,-0.00020,2.83500,2.83500,0.00000,0.00000,0.87090,86.97610,-1.39070,-1.39070,-0.01560,-1.39070,0.00760,0,0
2021-03-31,-0.00100,-0.00100,,-0.00100,,-0.00100,-0.00100,-0.00100,-0.00100,-0.00100,2.87500,2.87500,0.00000,0.00000,,,,,,,,-0.00010,-0.00010
2020-09-30,-0.12000,-0.12000,-0.39030,-0.51040,,-0.51040,-0.51040,-0.51040,-0.12000,-0.12000,3.09800,3.09800,-0.16000,-0.16000,,,,,,,,0,0
