Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,8.07000,4.26000,-12.33000,1.11100,-11.21900,-11.21900,-11.21900,-11.21900,-11.82700,-12.33000,22.33000,22.33000,-0.50000,-0.50000,9.84520,,,,,,,,-13.71670,-13.71670,-11.92370,-13.71670,3.96470,-0.3359,-0.3362
2024-06-30,,,6.38700,4.27400,-10.66100,1.14800,-9.51300,-9.51300,-9.51300,-9.51300,-10.83100,-10.66100,21.23300,21.23300,-0.45000,-0.45000,16.32680,,,,,,,,-10.33460,-10.33460,-9.35890,-10.33460,4.46190,0.058,0.0554
2024-03-31,,,7.74800,4.10300,-11.85100,0.75600,-11.09500,-11.09500,-11.09500,-11.09500,-11.59000,-11.85100,11.42100,11.42100,-0.97000,-0.97000,10.52770,,,,,,,,-18.99630,-18.99630,-16.28410,-18.99630,5.10810,-0.90880,-0.90880
2023-12-31,,,6.38100,4.66000,-11.04100,0.82000,-10.22100,-10.22100,-10.22100,-10.22100,-10.74500,-11.04100,11.33100,11.33100,-0.90000,-0.90000,11.17340,,,,,,,,-14.96030,-14.96030,-12.94550,-14.96030,6.01150,-0.7716,-0.7716
2023-09-30,,,6.21800,4.48200,-10.70000,0.84000,-9.86000,-9.86000,-9.86000,-9.86000,-10.03700,-10.70000,11.34800,11.34800,-0.87000,-0.87000,11.48530,,,,,,,,-12.81250,-12.81250,-11.14540,-12.81250,6.77130,-0.5712,-0.5745
2023-06-30,,,7.24700,4.89300,-12.14000,0.84600,-11.29400,-11.29400,-11.29400,-11.29400,-12.53600,-12.14000,11.30800,11.30800,-1.00000,-1.00000,17.08540,,,,,,,,-13.25200,-13.25200,-11.87080,-13.25200,7.53670,-0.8316,-0.8317
2023-03-31,,,5.14300,4.58900,-9.73200,0.68700,-9.04500,-9.04500,-9.04500,-9.04500,-9.38500,-9.73200,11.30400,11.30400,-0.80000,-0.80000,14.76070,,,,,,,,-9.54440,-9.54440,-8.50050,-9.54440,8.38140,-1.14010,-1.14070
2022-12-31,,,4.98900,5.00300,-39.50900,0.54200,-38.96700,-38.96700,-38.96700,-38.96700,-8.44300,-39.50900,11.26000,11.26000,-3.46000,-3.46000,15.00800,,,,,,,,-38.17190,-38.17190,-34.39580,-38.17190,9.06040,-0.4472,-0.4477
2022-09-30,,,3.46600,4.50800,-7.97400,0.28300,-7.69100,-7.69100,-7.69100,-7.69100,-7.63700,-7.97400,11.26500,11.26500,-0.68000,-0.68000,26.58770,,,,,,,,-5.52600,-7.01340,-5.17600,-5.52600,12.35270,-0.4733,-0.4808
2022-06-30,,,3.08400,5.62100,-8.70500,0.16600,-8.53900,-8.53900,-8.53900,-8.53900,-8.30600,-8.70500,11.25500,11.25500,-0.76000,-0.76000,28.94100,,,,,,,,-5.87040,-7.36500,-5.51320,-5.87040,12.92160,-0.4548,-0.4565
2022-03-31,,,5.26900,5.60500,-10.87400,0.11900,-10.75500,-10.75500,-10.75500,-10.75500,-10.40800,-10.87400,11.25000,11.25000,-0.96000,-0.96000,31.69840,,,,,,,,-7.06470,-8.76400,-6.66950,-7.06470,13.52960,-0.97430,-0.97530
2021-12-31,,,4.06800,6.21900,-10.28700,0.05900,-10.22800,-10.22800,-10.22800,-10.22800,-8.72600,-10.28700,11.23300,11.23300,-0.91000,-0.91000,21.66400,,,,,,,,-6.31690,-7.72530,-5.92600,-6.31690,14.41030,-0.6156,-0.6194
2021-09-30,,,4.09300,6.73700,-10.83000,0.05300,-10.77700,-10.77700,-10.77700,-10.77700,-10.72200,-10.83000,11.23600,11.23600,-0.96000,-0.96000,25.94770,,,,,,,,-6.32430,-7.64930,-5.96410,-6.32430,15.16610,-0.5512,-0.5455
2021-06-30,,,5.88700,6.90500,-12.79200,0.01000,-12.78200,-12.78200,-12.78200,-12.78200,-11.92700,-12.79200,11.23200,11.23200,-1.14000,-1.14000,23.94190,,,,,,,,-7.16460,-8.58500,-6.76680,-7.16460,15.88080,-0.843,-0.872
2021-03-31,,,7.04000,6.54000,-13.58000,0.11500,-13.46500,-13.46500,-13.46500,-13.46500,-13.21000,-13.58000,11.22700,11.22700,-1.20000,-1.20000,26.47060,,,,,,,,-7.15740,-8.48940,-6.99800,-7.15740,16.75360,-1.06170,-1.08760
2020-12-31,,,3.65100,5.30500,-8.95600,0.14800,-8.80800,-8.80800,-8.80800,-8.80800,-8.98500,-8.95600,7.23400,7.23400,-0.41000,-0.41000,58.12520,,,,,,,,-4.42070,-5.18950,-4.33560,-4.42070,17.77050,-0.6043,-0.6675
2020-09-30,,,2.79600,5.26600,-8.06200,0.09200,-7.97000,-7.97000,-7.97000,-7.97000,-7.97400,-8.06200,6.32400,6.32400,-1.26000,-1.26000,42.99580,0.00190,,,,,,,-4.09500,-4.82270,-4.00690,-4.09500,18.49700,-0.4272,-0.445
2020-06-30,,,2.47000,4.79600,-7.26600,0.12600,-7.14000,-7.14000,-7.14000,-7.14000,-7.27200,-7.26600,5.84300,5.84300,-1.22000,-1.22000,9.53100,0.01560,,,,,,,-12.01400,-23.74990,-11.28750,-12.01400,10.17120,-0.9192,-0.916
2020-03-31,,,3.06500,7.09500,-10.16000,0.10000,-10.06000,-10.06000,-10.06000,-10.06000,-10.11000,-10.16000,5.56100,5.56100,-1.81000,-1.81000,7.98790,0.02000,,,,,,,-15.53860,-28.43850,-14.35170,-15.53860,11.08020,-1.28500,-1.32940
2019-12-31,,,0.71480,1.80440,-2.51920,,-2.51920,-2.51920,-2.51920,-2.51920,-2.51920,-2.51920,2.57700,2.57700,-0.98000,-0.98000,0.22800,,,,,,,,118.38280,118.38280,-205.98410,118.38280,-0.80970,-0.4147,-0.4317
2019-09-30,,,1.09860,1.25550,-2.35410,,-2.35410,-2.35410,-2.35410,-2.35410,-2.35410,-2.35410,2.56400,2.56400,-0.92000,-0.92000,5.98140,,,,,,,,17.90450,-29.29790,-24.39970,-29.29790,16.41050,-0.4705,-0.5972
2019-06-30,,,0.98670,0.44200,-1.42870,,-1.42870,-1.42870,-1.42870,-1.42870,-1.42870,-1.42870,2.55800,2.55800,-0.56000,-0.56000,5.41450,,,,,,,,12.20470,-15.07520,-12.31620,-15.07520,19.35560,-0.5243,-0.5546
2019-03-31,,,1.07780,0.45020,-1.52810,,-1.52810,-1.52810,-1.52810,-1.52810,-1.52810,-1.52810,2.62800,2.62800,-0.58000,-0.58000,5.32140,,,,,,,,23.53380,-10.40200,-8.46100,-10.40200,30.00260,-0.53500,-0.54530
2018-12-31,,,2.66300,2.72200,-5.38500,0.12600,-5.25900,-5.25900,-5.25900,-5.25900,-5.36900,-5.38500,0.45260,0.45260,-11.00000,-11.00000,7.54910,,,,,,,,486.94140,-25.72520,-22.35880,-25.72520,42.49300,-8.8778,-9.0869
2018-09-30,,,2.35400,2.26800,-4.62200,0.11200,-4.51000,-4.51000,-4.51000,-4.51000,-4.62100,-4.62200,0.44560,0.44560,-10.00000,-10.00000,10.68790,,,,,,,,-134.70750,-18.13360,-16.45690,-18.13360,51.75800,-6.6938,-6.7002
2018-06-30,,,2.76000,2.24000,-5.00000,0.12100,-4.87900,-4.87900,-4.87900,-4.87900,-4.98800,-5.00000,0.44190,0.44190,-11.20000,-11.20000,12.33120,,,,,,,,-119.05810,-19.04300,-17.51760,-19.04300,57.81240,-23.4184,-23.4455
2018-03-31,,,4.07100,2.29400,-6.36500,0.28400,-6.08100,-6.08100,-6.08100,-6.08100,-6.33000,-6.36500,0.44190,0.44190,-13.60000,-13.60000,4.21650,,,,,,,,-76.33690,-20.62130,-15.79110,-20.62130,66.73610,-12.34740,-12.36780
2017-12-31,,,3.21300,2.37700,-5.59000,0.03900,-5.55100,-5.55100,-5.55100,-5.55100,-5.55700,-5.59000,0.43190,0.43190,-13.20000,-13.20000,4.70560,,,,,,,,-42.00210,-15.97920,-12.62190,-15.97920,78.61730,-13.8527,-13.8814
2017-09-30,,,10.33600,1.97000,-12.30600,-0.00100,-12.30700,-12.30700,-12.30700,-19.05400,-12.27100,-12.30600,0.43940,0.43940,-43.20000,-43.20000,5.27640,,,,,,,,-68.62380,-31.18060,-25.34180,-31.18060,89.60780,-12.9688,-12.9886
2017-06-30,,,3.89100,2.09500,-5.98600,0.37800,-5.60800,-5.60800,-5.60800,-5.60800,-5.95200,-5.98600,0.43020,0.43020,-13.20000,-13.20000,7.98210,,,,,,,,-19.01400,-19.01400,-16.67510,-19.01400,66.95950,-7.0339,-7.052
2017-03-31,,,4.24600,2.23400,-6.48000,-0.01800,-6.49800,-6.49800,-6.49800,-6.49800,-6.43600,-6.48000,0.41590,0.41590,-15.60000,-15.60000,11.70590,,,,,,,,-19.69030,-19.69030,-18.03800,-19.69030,78.70970,-17.90330,-17.91780
2016-12-31,,,4.43700,2.42900,-6.86600,-0.09600,-6.96200,-6.96200,-6.96200,-6.96200,-6.80700,-6.86600,0.41410,0.41410,-16.40000,-16.40000,8.41800,,,,,,,,-18.11090,-18.11090,-15.99720,-18.11090,92.60660,-13.527,-13.5567
2016-09-30,,,4.84200,2.32400,-7.16600,0.05900,-7.10700,-7.10700,-7.10700,-7.10700,-7.09400,-7.16600,0.41460,0.41460,-17.20000,-17.20000,9.85900,,,,,,,,-15.96360,-15.98770,-14.38810,-15.98770,107.22550,-15.9968,-16.1337
2016-06-30,,,5.24100,2.61300,-7.85400,-0.05100,-7.90500,-7.90500,-7.90500,-7.90500,-7.79100,-7.85400,0.41400,0.41400,-19.20000,-19.20000,11.58840,,,,,,,,-15.52280,-15.52280,-14.20150,-15.52280,122.89590,-13.4027,-13.8712
2016-03-31,,,4.34900,2.47000,-6.81900,0.26700,-6.55200,-6.55200,-6.55200,-6.55200,-6.75900,-6.81900,0.41270,0.41270,-16.00000,-16.00000,16.84530,,,,,,,,-11.34470,-11.34470,-10.68110,-11.34470,139.94180,-14.28160,-14.30100
2015-12-31,,,3.58000,2.60700,-6.18700,-0.15500,-6.34200,-6.34200,-6.34200,-6.34200,-6.09200,-6.18700,0.41160,0.41160,-15.20000,-15.20000,16.11610,,,,,,,,-10.00240,-10.00240,-9.39030,-10.00240,153.69040,-12.6051,-12.6708
2015-09-30,,,3.07800,2.00400,-5.08200,-0.30100,-5.38300,-5.38300,-5.38300,-5.38300,-4.90100,-5.08200,0.41170,0.41170,-13.20000,-13.20000,22.53060,,,,,,,,-7.79780,-7.79780,-7.44700,-7.79780,167.55340,-9.4766,-9.8043
2015-06-30,,,3.09000,1.89100,-4.98100,-0.09100,-5.07200,-5.07200,-5.07200,-5.07200,-4.75500,-4.98100,0.41130,0.41130,-12.40000,-12.40000,27.40980,,,,,,,,-6.87640,-6.87640,-6.62360,-6.87640,179.26600,-11.1775,-11.2529
2015-03-31,,,2.63300,1.98700,-4.62000,0.04000,-4.58000,-4.58000,-4.58000,-4.58000,-4.41400,-4.62000,0.41120,0.41120,-11.20000,-11.20000,30.65030,,,,,,,,-5.84980,-5.84980,-5.65940,-5.84980,190.38970,-9.41820,-9.43040
2014-12-31,,,1.87400,1.39900,-3.27300,10.50600,7.23300,7.23300,7.23300,6.56600,-3.25200,-3.27300,0.07660,0.07660,2579.20000,2579.20000,36.18520,,,,,,,,8.77150,8.77150,8.52970,8.77150,200.53500,1187.4668,1194.2702
2014-09-30,2.94800,2.94800,1.77300,1.04100,0.13400,-5.31500,-5.18100,-5.18100,-5.18100,-7.45800,0.15400,0.13400,0.00600,0.00600,-1240.00000,-1240.00000,8.24680,,100.00000,4.54540,4.54540,-175.74630,-252.98510,0.12190,4.44530,-53.86770,-21.42770,-53.86770,1596.34900,-612.1753,-613.6443
2014-06-30,,,1.59600,0.91200,-2.50800,-0.05500,-2.56300,-2.56300,-2.56300,-4.46000,-2.50000,-2.50800,0.00600,0.00600,-741.99990,-741.99990,,,,,,,,,,,,,,-445.3334,-451.3334
2014-03-31,,,1.18900,0.74400,-1.93300,-0.89800,-2.83100,-2.83100,-2.83100,-4.34300,-1.92200,-1.93300,0.00600,0.00600,-723.60000,-723.60000,,,,,,,,,,,,,,-260.33330,-260.33330
2013-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,839.1453,838.1197
2013-09-30,,,0.97100,0.94300,-1.91400,-0.18900,-2.10300,-2.10300,-2.10300,-3.64300,-1.91400,-1.91400,0.00590,0.00590,-624.00000,-624.00000,,,,,,,,,,,,,,-839.1453,-838.1197
2012-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
