Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,101.05410,3.51860,97.53550,53.65670,55.81950,41.71600,-20.89030,20.82570,2.90710,17.91870,17.91870,17.75430,41.71600,41.71600,157.50200,164.48300,0.11300,0.11000,1.11380,0.22820,0.29570,96.51810,41.28090,41.28090,20.60850,17.56910,0.01590,0.03120,2885.45400,3.33580,3.35140,0.28110,2.57450,3.39520,-0.9782,-0.9696
2024-06-30,87.43700,2.80700,84.63000,64.11250,66.22220,18.40780,-12.17700,6.23080,3.48630,2.74460,2.74460,2.59320,18.40780,18.40780,156.96220,158.58300,0.01700,0.01600,1.15070,0.24000,0.31580,96.78970,21.05270,21.05270,7.12610,2.96580,0.01820,0.03590,2510.09200,0.54790,0.55060,0.05730,0.41640,3.17020,0.9782,0.9696
2024-03-31,78.94850,2.23090,76.71760,46.40680,48.55110,28.16650,-11.17460,16.99190,4.52830,12.46360,12.46360,12.33020,28.16650,28.16650,156.16460,163.46820,0.07900,0.07700,1.18500,0.24010,0.31590,97.17430,35.67700,35.67700,21.52270,15.61800,0.01970,0.08360,1076.65900,2.49960,2.51220,0.31170,1.89950,,0.00000,
2023-12-31,69.98100,2.24480,67.73620,48.07530,50.26590,17.47020,-17.65980,-0.18960,1.49860,-1.68820,-1.68820,-1.83550,17.47020,17.47020,155.02300,155.02300,-0.07200,-0.06800,1.19590,0.24300,0.32100,96.79230,24.96430,24.96430,-0.27090,-2.62290,0.01870,0.05400,1665.75900,-0.34540,-0.34720,-0.04510,-0.26150,3.11880,-0.0424,-0.0602
2023-09-30,70.14620,2.37210,67.77410,44.16790,46.40300,21.37110,-5.40550,15.96560,2.59270,13.37290,13.37290,13.24980,21.37110,21.37110,155.34800,162.61700,0.08500,0.08300,1.21100,0.24530,0.32490,96.61830,30.46650,30.46650,22.76050,18.88880,0.02010,0.05290,1700.79100,2.78130,2.79580,0.38390,2.09920,,0.3962,0.4072
2023-06-30,66.05480,2.03530,64.01940,40.94220,43.47080,20.54860,-2.66790,17.88070,4.57770,13.30300,13.30300,13.18580,20.54860,20.54860,154.79200,161.14760,0.08500,0.08400,1.18740,0.25010,0.33350,96.91870,31.10850,31.10850,27.06960,19.96200,0.01760,0.04620,1946.84300,2.85170,2.86710,0.35530,2.13850,,-0.3962,-0.4072
2023-03-31,66.32570,2.43180,63.89380,41.04780,43.48070,20.41320,-8.07630,12.33690,4.31720,8.01970,8.01970,7.96340,20.41320,20.41320,154.19800,160.31600,0.05200,0.05100,1.17720,0.25290,0.33860,96.33350,30.77730,30.77730,18.60050,12.00660,0.01730,0.04050,2222.20300,1.75230,1.76190,0.20860,1.30900,,0.00000,
2022-12-31,63.85440,4.02130,59.83300,44.87410,46.89590,12.93720,-9.31000,3.62720,2.37890,1.24830,1.24830,1.24270,12.93720,12.93720,153.01000,153.01000,0.02300,0.02400,1.17540,0.25670,0.34530,93.70240,20.26040,20.26040,5.68040,1.94620,0.01680,0.03990,2257.43900,0.27930,0.28080,0.03290,0.20760,2.89120,1.6866,1.6546
2022-09-30,55.40640,3.22160,52.18480,41.59340,44.06950,8.11530,-3.13470,4.98060,1.72010,3.26050,3.26050,3.33650,8.11530,8.11530,153.25940,161.66300,0.02200,0.02100,1.22080,0.25910,0.34970,94.18550,14.64690,14.64690,8.98920,6.02180,0.01790,0.03740,2408.62300,0.74190,0.74610,0.10550,0.54960,,0,0
2022-06-30,53.47610,3.85620,49.61990,45.52570,47.99430,1.62560,-1.84930,-0.22370,0.66340,-0.88710,-0.88710,-0.88710,1.62560,1.62560,152.91960,152.91960,-0.00600,-0.00600,1.18830,0.25860,0.34870,92.78890,3.03990,3.03990,-0.41830,-1.65880,0.01520,0.03510,2562.77500,-0.20210,-0.20320,-0.02530,-0.14980,,0,0
