Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12.35300,5.66600,6.68700,6.42700,-3.99900,10.42600,-3.73900,-0.39400,-4.13300,0.04900,-4.18200,-4.28200,-4.27900,-3.73900,-3.73900,19.67090,19.67090,-0.22000,-0.22000,2.00390,54.13260,-30.26800,-30.26800,-33.45750,-34.63940,0.06140,1.40070,1.51370,59.45840,-2.61150,-3.08160,-2.12710,-2.61150,,0,0
2024-06-30,14.58300,7.78400,6.79900,5.55400,-4.42300,9.97700,-3.17800,1.87400,-1.30400,0.13200,-1.43600,-1.63700,-1.63700,-3.17800,-3.17800,4.91780,4.91780,0.00000,0.00000,1.98780,46.62280,-21.79250,-21.79250,-8.94190,-11.22540,0.07110,1.78450,1.61750,55.64290,-1.00090,-1.00090,-0.79790,-1.00090,,0,0
2024-03-31,17.70800,8.96700,8.74100,5.62900,-4.40500,10.03400,-1.29300,1.99800,0.70500,0.04600,0.65900,0.53500,0.53500,-1.29300,-1.29300,49.17540,49.17540,0.01090,0.01090,2.50170,49.36190,-7.30180,-7.30180,3.98130,3.02120,0.08420,1.81440,1.74770,51.49540,0.32310,0.32310,0.25440,0.32310,,0.00000,
2023-12-31,21.19600,11.30400,9.89200,10.47600,-5.13400,15.61000,-5.71800,-3.18500,-8.90300,0.18400,-9.08700,-9.42000,-9.42100,-5.71800,-5.71800,4.92780,4.92780,-3.20000,-3.20000,2.29990,46.66920,-26.97680,-26.97680,-42.00320,-44.44710,0.09690,1.87900,2.29150,39.27630,-5.61510,-5.61510,-4.30440,-5.61510,34.12570,-5.3809,-5.7172
2023-09-30,19.90000,10.81000,9.09000,7.90400,-5.33700,13.24100,-4.15100,-0.18400,-4.33500,0.15300,-4.48800,-4.77000,-4.77000,-4.15100,-4.15100,49.17320,49.17320,0.00000,0.00000,2.52840,45.67840,-20.85930,-20.85930,-21.78390,-23.96990,0.08680,1.74160,2.08680,43.12760,-2.74820,-2.74820,-2.08000,-2.74820,,0,0
2023-06-30,23.04900,11.14700,11.90200,9.18700,-4.34100,13.52800,-1.62600,-3.58700,-5.21300,0.32100,-5.53400,-5.72900,-5.72900,-1.62600,-1.62600,49.16750,49.16750,0.00000,0.00000,2.60260,51.63780,-7.05450,-7.05450,-22.61700,-24.85570,0.09880,1.81520,2.20630,40.79270,-3.20320,-3.20320,-2.45480,-3.20320,,0,0
2023-03-31,26.02700,13.60900,12.41800,6.51700,-5.76100,12.27800,0.14000,-2.81600,-2.67600,0.44800,-3.12400,-3.33900,-3.33900,0.14000,0.14000,4.95920,4.95920,-0.80000,-0.80000,2.39700,47.71200,0.53790,0.53790,-10.28160,-12.82900,0.10290,2.25610,1.87580,47.97900,-1.76970,-1.76970,-1.32010,-1.76970,,0.00000,
2022-12-31,37.31400,22.09400,15.22000,14.00100,-6.00300,20.00400,-4.78400,2.05200,-2.73200,1.62000,-4.35200,-5.12700,-5.13300,-4.78400,-4.78400,5.22080,5.22080,-2.80000,-2.80000,2.26060,40.78900,-12.82090,-12.82090,-7.32160,-13.75620,0.13600,2.78820,2.72880,32.98120,-2.60800,-2.60800,-1.86860,-2.60800,38.95920,-6.0207,-8.5558
2022-09-30,33.58300,17.00100,16.58200,11.94900,-7.14900,19.09800,-2.51600,-1.54600,-4.06200,1.27100,-5.33300,-5.37700,-5.37600,-2.51600,-2.51600,5.17160,5.17160,0.00000,0.00000,2.20090,49.37620,-7.49190,-7.49190,-12.09540,-16.00810,0.11920,1.52520,1.75170,51.37960,-2.68500,-2.68500,-1.90800,-2.68500,,0,0
2022-06-30,42.39300,25.19500,17.19800,13.42300,-8.25100,21.67400,-4.47600,0.73100,-3.74500,-0.13700,-3.60800,-3.73900,-3.76600,-4.47600,-4.47600,5.27370,5.27370,0.00000,0.00000,2.05630,40.56800,-10.55830,-10.55830,-8.83400,-8.88350,0.13610,1.73190,2.39410,37.59180,-1.74490,-1.74490,-1.20040,-1.74490,,0,0
2022-03-31,54.04000,30.18000,23.86000,12.91500,-10.56000,23.47500,0.38500,-5.29400,-4.90900,0.84000,-5.74900,-5.82100,-5.75800,0.38500,0.38500,5.36890,5.36890,-1.20000,-1.20000,1.99890,44.15250,0.71240,0.71240,-9.08400,-10.65510,0.15930,2.37120,4.04730,22.23690,-2.55740,-2.55740,-1.71640,-2.55740,,0.00000,
