Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5122.00000,3099.00000,2023.00000,-725.00000,934.00000,1089.00000,-167.00000,922.00000,241.00000,681.00000,681.00000,,472.00000,1305.00000,1089.00000,95.66500,96.65200,4.93000,4.89000,1.58160,0.70190,2.37210,39.49630,21.26120,21.26120,18.00080,9.21520,0.17440,8.70510,1.97150,45.65010,12.55070,-10.42080,2.31850,3.74130,57.06590,11.063,8.7558
2024-06-30,5103.00000,3076.00000,2027.00000,-1058.00000,1266.00000,761.00000,-174.00000,587.00000,110.00000,477.00000,477.00000,,259.00000,975.00000,761.00000,97.26700,98.44400,2.66000,2.64000,1.44820,0.71640,2.54570,39.72170,14.91280,14.91280,11.50300,5.07540,0.17440,8.05240,1.81150,49.68250,9.43430,-6.66570,1.62990,2.67600,52.76620,7.7155,6.1904
2024-03-31,5368.00000,3249.00000,2119.00000,1374.00000,-1166.00000,3285.00000,-201.00000,3084.00000,750.00000,2334.00000,2334.00000,,2151.00000,3501.00000,3285.00000,99.58100,100.59800,21.60000,21.38000,1.44410,0.72100,2.60550,39.47470,61.19600,61.19600,57.45160,40.07080,0.18570,8.22530,1.70520,52.77940,47.21830,-33.22890,8.07420,13.17530,50.60760,5.82520,3.43940
2023-12-31,5379.00000,3246.00000,2133.00000,-1182.00000,1398.00000,735.00000,-216.00000,519.00000,63.00000,456.00000,456.00000,,244.00000,958.00000,735.00000,101.63900,104.80000,2.41000,2.30000,1.50570,0.82680,4.81300,39.65420,13.66430,13.66430,9.64860,4.53620,0.19000,7.89780,1.84590,48.75630,14.62950,-5.32830,1.61060,2.53350,31.18560,7.8095,5.8433
2023-09-30,5066.00000,3165.00000,1901.00000,-1109.00000,1333.00000,568.00000,-223.00000,345.00000,79.00000,266.00000,266.00000,,101.00000,799.00000,568.00000,101.54400,104.42500,0.99000,0.94000,1.43480,0.83810,5.22650,37.52470,11.21200,11.21200,6.81010,1.99370,0.18360,7.66340,1.74870,51.46660,9.24250,-2.97640,0.96410,1.49610,28.34020,4.8506,3.1534
2023-06-30,5082.00000,3176.00000,1906.00000,-1089.00000,1302.00000,604.00000,-231.00000,373.00000,80.00000,293.00000,293.00000,,123.00000,826.00000,604.00000,101.76600,104.77800,1.21000,1.15000,1.44390,0.84550,5.52420,37.50490,11.88510,11.88510,7.33960,2.42030,0.18710,7.86140,1.74400,51.60570,10.75620,-3.24400,1.07890,1.66180,26.83510,5.757,4.4711
2023-03-31,5021.00000,3149.00000,1872.00000,-1052.00000,1269.00000,603.00000,-223.00000,380.00000,84.00000,296.00000,296.00000,,143.00000,829.00000,603.00000,102.28900,106.00600,1.40000,1.32000,1.39110,0.85270,5.84610,37.28340,12.00960,12.00960,7.56820,2.84800,0.18550,7.73710,1.74160,51.67700,11.47290,-3.24920,1.09360,1.69000,25.31600,4.23560,2.01880
2022-12-31,4990.00000,3166.00000,1824.00000,-1075.00000,1288.00000,536.00000,-215.00000,321.00000,47.00000,274.00000,274.00000,,102.00000,759.00000,536.00000,106.92900,110.51600,0.98000,1.00000,1.33620,0.85860,6.13220,36.55310,10.74150,10.74150,6.43290,2.04410,0.18380,7.81730,1.69550,53.08020,11.14270,-3.01500,1.00900,1.57530,24.04960,3.7752,1.1756
2022-09-30,4801.00000,3047.00000,1754.00000,-949.00000,1158.00000,596.00000,-216.00000,380.00000,112.00000,268.00000,268.00000,0.00000,131.00000,813.00000,596.00000,107.92300,109.88800,1.21000,1.16000,1.40270,0.85650,6.02030,36.53410,12.41410,12.41410,7.91500,2.72860,0.17730,7.73350,1.69650,53.05150,10.69010,-3.00680,0.98980,1.53410,23.22390,2.8335,1.3612
2022-06-30,4638.00000,2937.00000,1701.00000,-932.00000,1148.00000,553.00000,-288.00000,265.00000,86.00000,179.00000,179.00000,0.00000,38.00000,776.00000,553.00000,107.79000,108.75000,0.35000,0.35000,1.38830,0.87610,7.12960,36.67530,11.92320,11.92320,5.71370,0.81930,0.17420,7.58910,1.62280,55.45930,8.46740,-2.02790,0.67240,1.04920,19.60490,1.1554,-0.2839
