Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.46900,13.46900,26.86400,5.19800,,-18.59300,1.15600,-17.43700,-0.29000,-17.14700,-17.14700,-17.14700,-18.59300,-18.59300,54.12490,54.12490,-0.32000,-0.32000,2.68100,100.00000,-138.04290,-138.04290,-129.46030,-127.30710,0.09970,0.25280,356.03090,-26.17580,-26.17580,-12.68640,-26.17580,1.20610,0.2365,0.2365
2024-06-30,10.19700,10.19700,23.72500,5.53300,,-19.06100,1.19900,-17.86200,,-17.86200,-17.86200,-17.86200,-19.06100,-19.06100,53.95780,53.95780,-0.33000,-0.33000,2.67830,100.00000,-186.92760,-186.92760,-175.16920,-175.16920,0.06800,0.18370,489.80590,-22.18880,-22.18880,-11.91750,-22.18880,1.49050,-0.3482,-0.3482
2024-03-31,9.26700,9.26700,17.33200,5.91700,,-13.98200,1.31300,-12.66900,,-12.66900,-12.66900,-12.66900,-13.98200,-13.98200,53.52400,53.52400,-0.24000,-0.24000,3.35130,100.00000,-150.87950,-150.87950,-136.71090,-136.71090,0.05530,0.17090,526.52970,-13.16270,-13.16270,-7.55440,-13.16270,1.78670,0.11090,0.11090
2023-12-31,73.52300,73.52300,16.55800,6.43300,,50.53200,1.04600,51.57800,0.38700,51.19100,51.19100,51.19100,50.57000,50.53200,52.70350,52.98900,0.97000,0.97000,3.53160,100.00000,68.72950,68.72950,70.15220,69.62580,0.40310,1.45020,62.05850,47.88950,47.88950,28.06680,47.88950,2.01690,-0.3286,-0.3286
2023-09-30,25.47300,25.47300,16.39300,5.70800,-5.30600,-1.93400,0.94000,-0.99400,2.21100,-3.20500,-3.20500,-3.20500,-1.82600,-1.93400,52.71030,52.71030,-0.06000,-0.06000,4.01480,100.00000,-7.59240,-7.59240,-3.90220,-12.58200,0.23780,8.52220,10.56060,-5.96780,-5.96780,-2.99250,-5.96780,1.01330,0.3035,0.3035
2023-06-30,2.71600,2.71600,9.51000,6.09600,,-12.89000,0.97600,-11.91400,,-11.91400,-11.91400,-11.91400,-12.78200,-12.89000,52.57180,52.57180,-0.23000,-0.23000,5.09980,100.00000,-474.59500,-474.59500,-438.65980,-438.65980,0.02750,1.30080,69.19000,-21.74800,-21.74800,-12.04830,-21.74800,1.04200,-0.3529,-0.3529
2023-03-31,2.06900,2.06900,8.97900,7.31700,,-14.22700,0.96100,-13.26600,,-13.26600,-13.26600,-13.26600,-14.11400,-14.22700,52.52700,52.52700,-0.25000,-0.25000,4.42260,100.00000,-687.62680,-687.62680,-641.17930,-641.17930,0.01840,1.10940,81.12620,-20.45990,-20.45990,-11.78720,-20.45990,1.23330,-0.24470,-0.24470
2022-12-31,47.44100,47.44100,15.08900,6.49500,,25.92400,0.84700,26.77100,,26.77100,26.77100,26.77100,26.05300,25.92400,37.58510,37.58510,0.98000,0.98000,5.24600,100.00000,54.64470,54.64470,56.43010,56.43010,0.38010,43.76480,2.05640,35.25560,35.25560,21.45080,35.25560,1.44760,1.2494,1.2494
2022-09-30,2.00600,2.00600,7.36000,6.63200,,-11.83400,0.15900,-11.67500,,-11.67500,-11.67500,-11.67500,-11.57700,-11.83400,35.88210,35.88210,-0.33000,-0.33000,3.25960,100.00000,-589.93020,-589.93020,-582.00400,-582.00400,0.03110,2.10490,42.75670,-35.94080,-35.94080,-18.10750,-35.94080,0.75800,0.0991,0.0991
2022-06-30,1.99300,1.99300,8.17300,8.05100,,-26.08000,-2.60200,-28.68200,,-28.68200,-28.68200,-28.68200,-25.78600,-26.08000,32.97800,32.97800,-0.87000,-0.87000,3.65130,100.00000,-1308.58000,-1308.58000,-1439.13700,-1439.13700,0.03130,1.26300,71.25940,-79.84750,-79.84300,-45.07760,-79.84300,1.02440,-0.6886,-0.6886
2022-03-31,2.06900,2.06900,16.97100,15.30500,,-30.20700,-2.62200,-32.82900,,-32.82900,-32.82900,-32.82900,-30.01800,-30.20700,32.60700,32.60700,-1.01000,-1.01000,1.91770,100.00000,-1459.98100,-1459.98100,-1586.70800,-1586.70800,0.01420,1.03920,86.60710,-52.55160,-52.54910,-22.51180,-52.54910,1.90720,-0.86560,-0.86560
2021-12-31,2.74400,2.74400,17.22500,13.02100,,-27.50200,-1.73800,-29.24000,,-29.24000,-29.24000,-29.24000,-27.31100,-27.50200,30.89580,30.89580,-0.92000,-0.92000,8.45590,100.00000,-1002.26000,-1002.26000,-1065.59800,-1065.59800,0.01600,1.03900,86.62170,-33.11960,-33.11850,-17.09220,-33.11850,2.72550,-0.9313,-0.9313
2021-09-30,3.06400,3.06400,14.43600,11.15200,,-22.52400,0.00300,-22.52100,,-22.52100,-22.52100,-22.52100,-22.37600,-22.52400,32.13300,32.13300,-0.70000,-0.70000,7.63520,100.00000,-735.11760,-735.11760,-735.01960,-735.01960,0.02120,1.18580,75.90080,-20.12740,-20.12690,-15.56490,-20.12690,3.47280,-0.0715,-0.0715
2021-06-30,5.14800,5.14800,14.46100,9.22900,,-18.54200,-0.03000,-18.57200,,-18.57200,-18.57200,-18.57200,-18.39400,-18.54200,29.67540,29.67540,-0.63000,-0.63000,8.28910,100.00000,-360.17870,-360.17870,-360.76150,-360.76150,0.04300,2.34320,38.40910,-20.57860,-20.57790,-15.52920,-20.57790,3.03890,-0.5537,-0.5537
2021-03-31,7.30000,7.30000,18.40400,8.29900,,-19.40300,-0.02000,-19.42300,,-19.42300,-19.42300,-19.42300,-19.24400,-19.40300,29.41400,29.41400,-0.66000,-0.66000,7.29000,100.00000,-265.79450,-265.79450,-266.06850,-266.06850,0.05090,0.84670,106.29860,-16.34340,-16.34300,-13.54090,-16.34300,4.00640,-0.52620,-0.52620
2020-12-31,1.90700,1.90700,13.20500,7.49800,,-18.79600,0.21100,-18.58500,,-18.58500,-18.58500,-19.13400,-18.60500,-18.79600,22.38610,22.38610,-0.59000,-0.59000,9.70120,100.00000,-985.63200,-985.63170,-974.56730,-1003.35600,0.01240,0.30880,291.47350,-14.07560,-14.07530,-12.11140,-14.07530,4.51260,-0.6678,-0.6683
2020-09-30,3.99500,3.99500,17.70600,5.30900,,-19.02000,0.08400,-18.93600,,-18.93600,-18.93600,-18.93600,-18.82900,-19.02000,21.93400,21.93400,-0.86000,-0.86000,8.12360,100.00000,-476.09520,-476.09520,-473.99260,-473.99260,0.02540,0.49160,183.06380,-14.26050,-14.26020,-12.05810,-14.26020,5.11320,-0.8308,-0.8329
2020-06-30,1.72700,1.72700,15.65600,4.54700,,-18.47600,0.97500,-17.50100,,-17.50100,-17.50100,-17.50100,-18.28600,-18.47600,20.63300,20.63300,-0.85000,-0.85000,4.48590,100.00000,-1069.83200,-1069.83200,-1013.37600,-1013.37600,0.01770,0.36210,248.52920,-23.74180,-23.74180,-17.94150,-23.74180,3.50790,-1.1444,-1.1449
2020-03-31,1.70100,1.70100,20.43600,4.08600,,-22.82100,-0.43700,-23.25800,,-23.25800,-23.25800,-23.25800,-22.63200,-22.82100,19.55700,19.55700,-1.22000,-1.22000,4.30760,100.00000,-1341.62300,-1341.62300,-1367.31300,-1367.31300,0.01550,0.49510,181.79890,-28.21650,-28.21650,-21.16400,-28.21650,4.05490,-1.19290,-1.19690
2019-12-31,3.63000,3.63000,25.72800,3.78500,,-25.88300,0.89700,-24.98600,,-24.98600,-24.98600,-24.98600,-25.99400,-25.88300,18.16100,18.16100,-1.37000,-1.37000,3.57850,100.00000,-713.03050,-713.03030,-688.31960,-688.31960,0.03420,0.42480,211.88430,-33.50500,-33.50500,-23.54880,-33.50500,3.88590,-1.0043,-1.0116
2019-09-30,4.64300,4.64300,18.49500,4.13300,,-17.98500,0.26800,-17.71700,,-17.71700,-17.71700,-17.71700,-17.49600,-17.98500,18.65900,18.65900,-0.95000,-0.95000,6.90460,100.00000,-387.35730,-387.35730,-381.58510,-381.58510,0.04130,0.72120,124.79430,-19.04360,-19.04360,-15.74700,-19.04360,4.98490,-0.4486,-0.4489
