Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,564.69000,564.69000,0.50000,56.72000,227.60400,735.07400,71.28400,806.35800,806.35800,806.35800,543.98700,740.42200,735.07400,447.62800,592.72600,1.22000,1.21000,1.53640,0.39190,0.74160,100.00000,130.17300,130.17300,142.79660,96.33370,0.03130,22.67740,3.96870,7.86040,7.86040,4.46930,4.78010,10.45210,1.2027,-0.8223
2024-06-30,537.26700,537.26700,0.50000,54.70800,-212.42900,269.63000,-75.25300,194.37700,194.37700,194.37700,102.00400,274.18900,269.63000,451.02000,596.91200,0.23000,0.23000,9.35480,0.43810,0.77950,100.00000,50.18550,50.18550,36.17890,18.98570,0.03040,22.78490,3.95000,1.99320,1.99320,1.10090,1.12010,9.90540,1.1038,-0.117
2024-03-31,567.97800,567.97800,0.50000,57.65200,-583.60000,-73.77390,69.50100,-4.27300,-4.27300,-4.27300,4.77800,-69.42490,-73.77390,448.62300,597.47900,0.01000,0.01000,12.52040,0.38360,0.62240,100.00000,-12.98890,-12.98890,-0.75230,0.84120,0.03520,25.55350,3.52200,-0.04330,-0.04330,-0.02650,-0.02670,9.99880,1.11240,0.96830
2023-12-31,596.06790,596.06790,0.50000,59.18500,76.51300,612.89590,104.69000,717.58590,717.58590,717.58590,494.34000,617.73690,612.89590,447.60100,602.90000,1.11000,1.11000,7.89580,0.37830,0.60840,100.00000,102.82320,102.82320,120.38660,82.93350,0.03640,26.60420,3.38290,7.11590,7.11590,4.38040,4.42420,10.26780,1.2707,3.1227
2023-09-30,536.31300,536.31300,50.50000,57.23400,-277.13700,151.44200,-29.36500,122.07700,122.07700,122.07700,72.11400,156.45300,151.44200,448.43900,601.13800,0.16000,0.16000,13.51180,0.39010,0.63970,100.00000,28.23760,28.23760,22.76230,13.44630,0.03380,14.14590,6.36230,1.27360,1.27360,0.76990,0.77680,9.76030,0.9754,0.2163
2023-06-30,538.20200,538.20200,0.50000,47.63400,-241.22800,248.84000,102.49600,351.33600,351.33600,351.33600,227.62500,254.16300,248.84000,450.40500,605.86000,0.51000,0.50000,2.51960,0.38440,0.72620,100.00000,46.23540,46.23540,65.27960,42.29360,0.03140,15.27770,5.89090,3.58010,3.58010,2.05200,2.20400,9.96260,1.0071,0.9051
2023-03-31,683.97100,683.97100,0.50000,85.69500,-118.80400,478.97200,30.11700,509.08900,509.08900,509.08900,340.75500,484.29600,478.97200,445.61200,607.25100,0.76000,0.76000,2.35590,0.38400,0.72500,100.00000,70.02810,70.02810,74.43140,49.82010,0.04010,17.79320,5.05810,5.18320,5.18320,2.98160,3.19280,9.99140,1.70250,0.71160
2022-12-31,565.74810,565.74810,50.50000,73.22800,-924.67500,-482.65500,-127.37500,-610.03000,-610.03000,-610.03000,-456.08400,-477.32500,-482.65500,437.96300,437.97200,-1.04000,-1.04000,2.18970,0.39110,0.74710,100.00000,-85.31270,-85.31270,-107.82710,-80.61610,0.03360,15.45890,5.82190,-6.40430,-6.40430,-3.62820,-3.89940,9.73370,2.303,4.7107
2022-09-30,573.46300,573.46300,25.50000,50.69200,-305.06100,192.21000,28.20400,220.41400,220.41400,220.41400,142.65100,197.55300,192.21000,439.29300,607.22600,0.32000,0.32000,2.06970,0.36990,0.68270,100.00000,33.51740,33.51740,38.43560,24.87540,0.03240,16.45850,5.46830,2.11600,2.11600,1.24720,1.33330,10.67200,0.8873,-1.2804
2022-06-30,535.95500,535.95500,0.60600,51.84300,-105.71400,377.79200,113.80500,491.59700,491.59700,491.59700,304.50400,383.13200,377.79200,436.31800,607.21400,0.70000,0.70000,19.21740,0.40570,0.68280,100.00000,70.48950,70.48950,91.72360,56.81520,0.03020,15.16270,5.93560,4.72320,4.72320,2.77110,2.80680,10.70170,0.9469,0.6586
2022-03-31,562.04900,562.04900,100.50000,51.54000,-184.62100,219.71800,-91.63500,128.08300,128.08300,128.08300,51.76100,230.73100,219.71800,433.95600,607.20100,0.12000,0.12000,21.95040,0.41180,0.70020,100.00000,39.09230,39.09230,22.78860,9.20930,0.03230,8.54070,10.53770,1.26290,1.26290,0.73700,0.74280,10.44420,0.75800,0.75790
2021-12-31,575.70000,575.70000,103.82100,46.16100,-266.50500,153.41690,-99.74600,53.67100,53.67100,53.67100,7.90400,164.55290,153.41690,414.79400,414.80200,-0.01000,-0.01000,16.80710,0.40910,0.69240,100.00000,26.64880,26.64880,9.32270,1.37290,0.03290,8.42790,10.67880,0.52370,0.52400,0.30640,0.30940,10.58680,2.348,5.6745
2021-09-30,585.77300,585.77300,90.50000,48.58800,-137.83700,303.05200,-81.25600,221.79600,221.79600,221.79600,101.92900,314.08700,303.05200,428.23000,607.17400,0.24000,0.24000,10.88300,0.40570,0.68270,100.00000,51.73540,51.73540,37.86380,17.40080,0.03300,7.96960,11.29290,2.13540,2.13780,1.25080,1.26910,10.75170,0.7737,-1.4267
2021-06-30,554.96300,554.96300,3.12200,44.92100,243.76200,744.94900,61.80600,806.75500,806.75500,806.75500,440.77600,755.47500,744.94900,409.34400,607.16300,1.08000,1.08000,9.53370,0.35890,0.55990,100.00000,134.23400,134.23400,145.37090,79.42440,0.03360,12.37730,7.27140,7.75330,7.76610,4.88500,4.97050,10.81580,0.8757,0.5782
2021-03-31,573.02700,573.02700,2.64100,43.15600,-292.26200,229.29700,-70.31800,158.97900,158.97900,158.97900,69.11900,239.75800,229.29700,389.76000,607.14800,0.18000,0.18000,9.43820,0.37180,0.59180,100.00000,40.01510,40.01510,27.74370,12.06210,0.03600,14.32750,6.28160,1.61610,1.61990,0.99900,1.01530,10.59690,0.86650,0.03790
2020-12-31,572.14310,572.14310,7.77800,50.11900,-194.39400,314.05610,52.57200,366.62790,366.62790,366.62790,171.09400,324.69810,314.05600,375.44400,375.45500,0.44000,0.44000,8.75940,0.37020,0.58780,100.00000,54.89120,54.89120,64.07980,29.90410,0.03570,14.60820,6.16090,3.70490,3.71560,2.28850,2.33340,10.72080,1.449,-0.6415
