Date,revenue,gross-profit,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-2.78300,-2.78300,-5.19700,-7.98000,,-7.98000,-0.02300,-7.95700,-7.95700,-8.02900,-7.57600,-7.98000,45.32700,45.32700,-0.18000,-0.18000,0.51920,2.45120,286.74090,286.74090,286.74090,288.50160,-0.00320,-3.22020,-3.22020,-0.92720,-1.54840,5.49350,-0.1439,-0.1462
2024-06-30,-8.95800,-8.95800,-4.67500,-13.63300,,-13.63300,-0.77200,-12.86100,-12.86100,-12.74200,-10.29600,-13.63300,39.34400,39.34400,-0.32000,-0.32000,0.52070,2.47630,152.18800,152.18800,152.18800,142.24160,-0.00980,-5.05380,-5.05380,-1.41090,-2.42230,5.58000,0.4701,0.4999
2024-03-31,-49.38100,-49.38100,-23.69600,-73.07700,,-73.07700,0.91500,-73.99200,-73.99200,-73.85400,-71.79900,-73.07700,30.70000,30.89300,-2.41000,-2.41000,0.66260,3.76340,147.98610,147.98610,147.98610,149.55950,-0.03970,-28.87650,-28.87650,-5.94570,-9.74280,6.92680,-0.26630,-0.25910
2023-12-31,-16.25300,-16.25300,-6.29200,-22.54500,,-22.54500,0.06900,-22.61400,-22.61400,-22.77100,-21.98500,-22.54500,24.28700,24.28700,-0.91000,-0.91000,0.62340,3.20790,138.71280,138.71280,138.71280,140.10330,-0.01220,-8.18340,-7.27380,-1.69230,-2.73900,11.32170,-0.495,-0.4464
2023-09-30,1.05300,1.05300,-6.65400,-5.60100,-0.01600,-5.61700,-0.10000,-5.51700,-5.51700,-6.08900,-4.99400,-5.60100,24.00200,24.24400,-0.25000,-0.25000,0.62100,3.18540,-531.90890,-531.90890,-533.42830,-578.25260,0.00080,-1.91700,-1.71150,-0.40140,-0.64870,12.48990,-0.4151,-0.3814
2023-06-30,-2.41400,-2.41400,-8.86700,-11.28100,,-11.28100,0.18100,-11.46200,-11.46200,-12.03400,-10.58200,-11.28100,23.25100,23.56500,-0.51000,-0.51000,0.63100,3.35010,467.31570,467.31570,467.31570,498.50870,-0.00170,-4.06040,-3.61760,-0.81540,-1.33470,13.40950,-0.2698,-0.2362
2023-03-31,0.54000,0.54000,-7.85800,-7.31800,0.04700,-7.27100,0.09300,-7.36400,-7.36400,-7.83000,-6.47300,-7.31800,22.92100,22.92100,-0.34000,-0.34000,0.62660,3.25670,-1355.18500,-1355.18500,-1346.48100,-1450.00000,0.00040,-2.47110,-2.21440,-0.51150,-0.82680,14.14590,-0.73320,-0.68730
2022-12-31,1.37500,1.37500,-7.42600,-6.05100,0.00000,-6.05100,0.23200,-6.28300,-6.28300,-6.64100,-5.17800,-6.05100,22.74800,23.03800,-0.28000,-0.28000,0.62870,3.32880,-440.07190,-440.07180,-440.07180,-482.98090,0.00090,-2.07420,-1.86180,-0.42330,-0.69130,14.58930,-0.1274,-0.0879
2022-09-30,10.52200,10.52200,-8.84200,1.68000,-8.81300,-7.13300,2.37000,-9.50300,-9.50300,-16.03900,2.54100,1.68000,22.53900,22.83300,-0.71000,-0.71000,0.62500,3.28680,15.96660,15.96660,-67.79130,-152.43300,0.00690,-2.99830,-2.70360,-0.62230,-1.01380,15.35990,0.0677,0.2094
2022-06-30,8.76800,8.76800,-9.75900,-0.99100,-3.53100,-4.52200,0.25900,-4.78100,-4.78100,-9.18100,-0.04800,-0.99100,22.75500,22.75500,-0.40000,-0.40000,0.58240,2.56410,-11.30250,-11.30250,-51.57390,-104.71030,0.00550,-1.39470,-1.09710,-0.30170,-0.45810,19.17510,0.5918,0.6201
2022-03-31,14.97100,14.97100,-9.36600,5.60500,,5.60500,-0.02600,5.63100,5.63100,3.54300,6.64600,5.60500,22.92200,22.92200,0.15000,0.15000,0.56790,2.38630,37.43900,37.43900,37.43910,23.66580,0.00890,1.51230,1.15510,0.33400,0.49910,21.01740,-0.48280,-0.47750
2021-12-31,19.39700,19.39700,-9.66100,9.73600,-0.36700,9.36900,0.09000,9.27900,9.27900,7.20200,11.12300,9.73600,22.85300,30.26200,0.33000,0.31000,0.57550,2.44660,50.19330,50.19330,48.30130,37.12940,0.01100,2.40810,1.85400,0.52730,0.78710,21.62150,-0.1085,-0.0834
2021-09-30,18.99100,18.99100,-8.20500,10.78600,,10.78600,0.10200,10.68400,10.68400,9.22100,12.27800,10.78600,22.86200,30.40800,0.40000,0.38000,0.58740,2.21760,56.79530,56.79530,56.79530,48.55460,0.01150,2.75390,2.12360,0.64830,0.87610,21.74180,0.265,0.2922
2021-06-30,19.79400,19.79400,-8.39600,11.39800,-0.16100,11.23700,0.06700,11.17000,11.17000,10.37800,12.47400,11.39800,22.82600,30.19900,0.45000,0.42000,0.60360,2.31510,57.58310,57.58310,56.76970,52.43000,0.01180,2.92140,2.24530,0.66640,0.89010,21.63670,-0.3483,-0.2531
2021-03-31,19.76600,19.76600,-8.17900,11.58700,-0.91100,10.67600,0.03400,10.64200,10.64200,6.95200,13.79600,11.58700,22.81700,22.81700,0.30000,0.30000,0.62470,2.26300,58.62090,58.62090,54.01190,35.17150,0.01170,2.69830,2.08860,0.63080,0.78390,22.16430,-0.41080,-0.34130
2020-12-31,22.50500,22.50500,-7.92700,14.57800,0.00000,14.57800,0.17600,14.40200,14.40200,10.90200,15.80700,14.57800,22.64200,22.64200,0.48000,0.48000,0.57480,2.17030,64.77670,64.77670,64.77670,48.44260,0.01360,3.60640,2.79930,0.87090,1.19030,22.39060,-0.3574,-0.2631
2020-09-30,16.74200,16.74200,-7.61300,9.12900,-0.25300,8.87600,-0.01600,8.89200,8.89200,5.24700,10.47100,9.12900,22.84400,22.99000,0.23000,0.23000,0.58840,2.25010,54.52750,54.52750,53.01640,31.34030,0.01000,2.27300,1.75610,0.53340,0.72280,21.98260,0.1828,0.2595
2020-06-30,16.32700,16.32700,-7.38900,8.93800,,8.93800,0.12000,8.81800,8.81800,6.20900,7.17200,8.93800,22.80900,22.93000,0.27000,0.27000,0.59120,2.24830,54.74370,54.74370,54.74370,38.02900,0.01000,2.29800,1.76760,0.53770,0.72250,21.76100,0.9242,1.1074
2020-03-31,8.03700,8.03700,-6.45200,1.58500,-0.40800,1.17700,-0.31900,1.49600,1.49600,0.39800,5.95600,1.58500,22.07000,22.19000,0.02000,0.02000,0.67510,3.28450,19.72130,19.72130,14.64480,4.95210,0.00520,0.41870,0.41870,0.09730,0.13600,15.58650,-1.37040,-1.23440
2019-12-31,13.71600,13.71600,-6.36200,7.35400,-0.24700,7.10700,-0.01200,7.11900,7.11900,6.53600,9.19200,7.35400,19.71000,28.17300,0.29000,0.31000,0.66760,3.08690,53.61620,53.61620,51.81540,47.65240,0.00870,1.85350,1.85350,0.45150,0.61600,17.34640,-0.1431,-0.1837
2019-09-30,15.31600,15.31600,-7.06600,8.25000,,8.25000,0.02700,8.22300,8.22300,7.60900,9.74100,8.25000,19.75100,28.20100,0.39000,0.36000,0.67680,3.31900,53.86520,53.86520,53.86520,49.68010,0.00990,2.29720,2.29720,0.52930,0.74240,17.59210,-0.0305,-0.4708
2019-06-30,20.70300,20.70300,-6.85700,13.84600,-0.18200,13.66400,0.03800,13.62600,13.62600,12.89400,15.34500,13.84600,19.17000,27.73300,0.67000,0.56000,0.64390,3.41160,66.87920,66.87920,66.00010,62.28080,0.01350,3.94290,3.94290,0.88990,1.40410,17.58350,-0.1776,-0.1564
2019-03-31,15.18400,15.18400,-6.99200,8.19200,,8.19200,0.07100,8.12100,8.12100,7.33000,9.57900,8.19200,18.81200,27.82900,0.39000,0.36000,0.67860,3.77620,53.95150,53.95150,53.95150,48.27450,0.00940,2.41210,2.41210,0.50250,0.77520,17.75060,-0.18120,-0.07950
2018-12-31,13.89400,13.89400,-6.62500,7.26900,,7.26900,-0.03800,7.30700,7.30700,6.83800,8.64000,7.26900,18.64300,25.83100,0.34000,0.34000,0.68520,3.77470,52.31760,52.31750,52.31750,49.21550,0.00870,2.18590,2.18590,0.45590,0.68800,17.67740,0.1378,-0.0402
2018-09-30,14.75000,14.75000,-6.33500,8.41500,-0.83600,7.57900,0.08400,7.49500,7.49500,6.48800,10.63200,8.41500,18.69100,26.59300,0.35000,0.34000,0.68860,3.47670,57.05090,57.05090,51.38310,43.98640,0.00990,2.25640,2.25640,0.50220,0.70270,17.61490,-0.0182,0.0466
2018-06-30,14.77700,14.77700,-6.56200,8.21500,,8.21500,0.00200,8.21300,8.21300,7.43700,9.79000,8.21500,18.59600,26.47700,0.40000,0.37000,0.69520,3.19750,55.59320,55.59320,55.59320,50.32820,0.01090,2.54530,2.54530,0.60420,0.77570,17.19110,-0.0525,0.0968
2018-03-31,14.74300,14.74300,-6.40500,8.33800,,8.33800,0.01600,8.32200,8.32200,7.57700,9.70800,8.33800,18.50800,26.39500,0.41000,0.38000,0.70540,3.24880,56.55560,56.55560,56.55570,51.39390,0.01080,2.60350,2.60350,0.61080,0.76710,17.10600,-0.02710,0.02380
2017-12-31,13.79700,13.79700,-6.21100,7.58600,-0.91300,6.67300,0.03500,6.63800,6.63800,6.11300,9.85500,7.58600,18.07400,23.31900,0.33000,0.31000,0.71510,3.38020,54.98300,54.98290,48.36560,44.30670,0.00990,2.09110,2.09110,0.47560,0.59580,17.07760,-0.2601,0.0029
2017-09-30,14.22600,14.22600,-6.46300,7.76300,,7.76300,0.04700,7.71600,7.71600,7.38400,9.30200,7.76300,18.07200,25.24700,0.41000,0.38000,0.66950,2.90050,54.56910,54.56910,54.56910,51.90500,0.01230,2.61110,2.61110,0.66670,0.86290,16.19050,0.2137,0.319
2017-06-30,13.10500,13.10500,-5.73700,7.36800,-0.21800,7.15000,0.04800,7.10200,7.10200,6.78800,8.89700,7.36800,18.00800,23.02700,0.38000,0.36000,0.67410,2.90850,56.22280,56.22280,54.55930,51.79700,0.01140,2.42920,2.42920,0.61970,0.79160,16.09110,-0.243,0.1239
2017-03-31,13.66700,13.66700,-4.96800,8.69900,,8.69900,0.00100,8.69800,8.69800,8.32100,9.90800,8.69900,17.97700,18.79100,0.46000,0.46000,0.59860,2.26700,63.64970,63.64970,63.64970,60.88390,0.01450,3.02910,3.02910,0.92320,1.21600,15.82320,-0.08350,-0.08350
2016-12-31,12.29200,12.29200,-5.57000,6.72200,,6.15700,-0.00600,6.16300,6.16300,5.88400,8.93500,6.72200,16.74300,17.45200,0.31000,0.31000,0.61020,2.37020,54.68600,54.68600,50.08950,47.86850,0.01280,2.17990,2.17990,0.64370,0.84960,15.60110,0.6581,0.8229
2016-09-30,12.10600,12.10600,-4.20100,7.90500,,7.90500,0.01800,7.88700,7.88700,7.57900,9.64500,7.90500,17.93700,18.66500,0.42000,0.42000,0.59690,1.90500,65.29820,65.29820,65.29820,62.60530,0.01480,2.80670,2.80670,0.96270,1.13140,15.52700,-0.7162,-0.6771
2016-06-30,10.84300,10.84300,-3.95600,6.88700,,6.88700,0.02600,6.86100,6.86100,6.59600,8.62300,6.88700,15.74300,16.38900,0.42000,0.42000,0.55520,1.61670,63.51560,63.51560,63.51560,60.83190,0.01490,2.47420,2.47420,0.94020,1.10060,15.47000,-0.0465,0.1241
2016-03-31,11.45600,11.45600,-3.49600,7.96000,,7.96000,-0.00300,7.96300,7.96300,7.63700,9.12400,7.96000,15.30700,15.95900,0.50000,0.50000,0.51770,1.63720,69.48320,69.48320,69.48320,66.66380,0.01780,3.28770,3.28770,1.23900,1.58550,15.81070,-0.19460,-0.04670
2015-12-31,11.78900,11.78900,-3.41800,8.37100,,8.37100,-0.02200,8.39300,8.39300,8.04600,9.22800,8.37100,14.71100,15.37200,0.54000,0.54000,0.52700,1.55390,71.00690,71.00690,71.00690,68.25010,0.01930,3.52920,3.52920,1.37630,1.66920,15.54130,-0.022,0.0876
2015-09-30,10.93600,10.93600,-3.00300,7.93300,,7.93300,0.00800,7.92500,7.92500,7.60000,8.48900,7.93300,15.27400,15.92600,0.50000,0.50000,0.45910,1.40980,72.54020,72.54020,72.54020,69.49520,0.01930,3.39970,3.39970,1.40120,1.83900,15.24980,-0.3566,-0.3111
