Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,8913.00000,7804.00000,1109.00000,243.00000,1226.00000,1469.00000,-360.00000,237.00000,-122.00000,-23.00000,-99.00000,-99.00000,-96.00000,38.00000,-360.00000,275.00000,275.00000,-0.35000,-0.35000,1.06110,12.44250,-4.03900,-4.03900,-1.36880,-1.07710,0.17530,0.83220,1.23350,72.96530,-0.94120,-1.90240,-0.19470,-0.94130,38.15650,4.1191,3.5377
2024-06-30,8204.00000,6502.00000,1702.00000,237.00000,938.00000,1175.00000,527.00000,1075.00000,1602.00000,322.00000,1280.00000,1280.00000,1294.00000,781.00000,527.00000,274.00000,278.00000,4.72000,4.65000,1.05700,20.74600,6.42370,6.42370,19.52710,15.77280,0.17070,0.69570,1.27570,70.54970,12.73760,26.83440,2.66380,12.73760,36.58150,1.9245,0.6259
2024-03-31,7260.00000,6110.00000,1150.00000,237.00000,1202.00000,1439.00000,-289.00000,193.00000,-96.00000,10.00000,-106.00000,-106.00000,-130.00000,-38.00000,-289.00000,,,,0.00000,0.99080,15.84020,-3.98070,-3.98070,-1.32230,-1.79060,0.15170,0.68970,1.02310,87.96690,-1.06210,-2.31140,-0.22140,-1.06210,,0.00000,
2023-12-31,10045.00000,8344.00000,1701.00000,255.00000,1252.00000,1507.00000,194.00000,132.00000,328.00000,122.00000,206.00000,206.00000,197.00000,446.00000,194.00000,,,,0.00000,0.93590,16.93380,1.93130,1.93130,3.26530,1.96120,0.21780,1.01100,1.34130,67.09910,2.45820,7.10100,0.44670,2.45820,,2.719,4.2153
2023-09-30,8253.00000,7201.00000,1052.00000,223.00000,1135.00000,1358.00000,-306.00000,292.00000,-16.00000,169.00000,-185.00000,-185.00000,-170.00000,-64.00000,-306.00000,274.00000,274.00000,-0.62000,-0.62000,,12.73480,-3.70770,-3.70770,-0.19390,-2.05990,,,,,,,,,,0.8503,0.2263
2023-06-30,8119.00000,6973.00000,1146.00000,216.00000,1272.00000,1488.00000,-342.00000,315.00000,-27.00000,122.00000,-149.00000,-149.00000,-150.00000,-103.00000,-342.00000,274.00000,274.00000,-0.55000,-0.55000,,14.12740,-4.21230,-4.21230,-0.33260,-1.84750,,,,,,,,,,-3.5693,-4.4416
2023-03-31,6822.00000,5903.00000,919.00000,202.00000,1186.00000,1388.00000,-469.00000,54.00000,-415.00000,-69.00000,-346.00000,-346.00000,-315.00000,-238.00000,-469.00000,,,,0.00000,,13.47110,-6.87480,-6.87480,-6.08330,-4.61740,,,,,,,,,,0.00000,
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
