Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2013-12-31,116.43200,21.08600,95.34600,4.59600,-11.08700,15.68300,79.66300,-24.93400,54.72900,2.03300,52.69600,52.69600,51.90700,82.46400,79.66300,63.42600,69.44800,0.70000,0.63000,0.22070,1.82780,68.42020,68.42020,47.00510,44.58140,0.02700,3.59180,4.47890,1.22240,2.79920,20.82250,2.4137,2.8217
2013-09-30,105.55900,19.27700,86.28200,4.44100,-18.32700,22.76800,63.51400,-27.45200,36.06200,-3.63900,39.70100,39.70100,39.70100,65.75800,63.51400,64.40500,73.12100,0.61000,0.57000,0.21940,1.74450,60.16920,60.16920,34.16290,37.61030,0.02480,2.65600,3.24070,0.93430,2.07340,21.21650,0.857,1.2305
2013-06-30,129.69700,17.24200,112.45500,2.77700,-22.05400,24.83100,87.62400,-19.71500,67.90900,13.41200,54.49700,54.49700,54.05300,90.51700,87.62400,59.03500,65.10400,0.92000,0.86000,0.16730,1.64920,67.56060,67.56060,52.35970,41.67640,0.03770,4.38020,5.35710,1.58270,3.64730,21.06030,-2.9718,-2.0039
2013-03-31,119.05200,14.21800,104.83400,4.47300,-28.24400,32.71700,72.11700,-16.18200,55.93500,2.63900,53.29600,53.29600,52.77800,73.26000,72.11700,58.92700,59.31900,0.90000,0.90000,,1.31830,60.57610,60.57610,46.98370,44.33190,0.04070,4.35980,5.11480,1.82070,4.35980,20.72270,-3.79550,-3.79550
2012-12-31,124.91700,9.10400,115.81300,4.83400,-31.80900,36.64300,79.17000,-13.86700,65.30300,16.06500,49.23800,49.23800,48.23100,80.12000,79.17000,43.55300,43.87600,0.88000,0.89000,,1.03940,63.37810,63.37810,52.27710,38.61040,0.04880,4.09860,4.58220,1.92360,4.09860,20.39480,-5.3108,-4.5123
2012-09-30,99.19600,8.27200,90.92400,3.69000,-17.25800,20.94800,69.97600,-11.00700,58.96900,18.58500,40.38400,40.38400,40.38400,70.71000,69.97600,49.07800,49.46300,0.81000,0.81000,,0.86950,70.54320,70.54320,59.44700,40.71130,0.04260,3.41020,3.60880,1.73420,3.41020,20.10400,-6.1962,-5.9092
2012-06-30,64.40600,6.92600,57.48000,2.93000,-7.71500,10.64500,46.83500,-8.86000,37.97500,8.40600,29.56900,29.56900,29.35600,47.54400,46.83500,36.92200,37.20800,0.80000,0.79000,0.16330,1.24680,72.71840,72.71840,58.96190,45.57960,0.03410,3.67010,3.82600,1.56390,3.07060,19.42970,-8.8236,-7.9444
2012-03-31,46.64900,6.74200,39.90700,1.74300,-6.12400,7.86700,32.04000,-7.46500,24.57500,5.51700,19.05800,19.05800,18.84500,32.59900,32.04000,29.07600,29.35500,0.65000,0.65000,0.22060,1.21300,68.68310,68.68310,52.68070,40.39740,0.03390,3.19790,3.30050,1.38300,2.49240,19.20950,1.63240,2.77570
2011-12-31,39.12300,3.67100,35.45200,2.11600,-1.41100,3.52700,31.92500,-10.59600,21.32900,1.68000,19.64900,19.64900,19.18400,32.62500,31.92500,26.39600,26.67900,0.74000,0.74000,,1.43740,81.60160,81.60160,54.51780,49.03510,0.02820,3.59860,3.63880,1.41760,3.59860,19.22260,-7.7714,-7.0076
2011-09-30,41.98500,7.12200,34.86300,3.22300,-0.26300,3.48600,31.37700,-6.49900,24.87800,4.35000,20.52800,20.52800,20.29400,31.83800,31.37700,27.84700,28.13800,0.73000,0.73000,0.13110,1.11140,74.73380,74.73380,59.25450,48.33630,0.03630,3.86840,3.87300,1.77660,3.36130,19.03720,-1.3911,-0.7853
2011-06-30,30.22300,5.39600,24.82700,2.36500,-0.06100,2.42600,22.40100,-4.39900,18.00200,1.38500,16.61700,16.61700,16.61700,22.77000,22.40100,27.77800,28.09600,0.59000,0.59000,0.11950,0.63710,74.11910,74.11910,59.56390,54.98130,0.03420,3.17770,3.17880,1.88090,2.79790,18.81560,-0.2095,0.1634
2011-03-31,17.28300,3.75500,13.52800,1.89100,-0.01200,1.90300,11.62500,-3.33900,8.28600,0.64100,7.64500,7.64500,7.64500,11.93700,11.62500,21.93800,22.14800,0.35000,0.35000,0.14560,0.59690,67.26260,67.26260,47.94310,44.23420,0.02060,1.47940,1.47950,0.90950,1.26400,18.61330,-1.26110,-0.64410
2010-12-31,13.62900,2.86700,10.76200,1.67800,,1.67800,9.08400,-1.59200,7.49200,0.14300,7.34900,7.34900,7.34900,9.08400,9.08400,16.77500,17.04800,0.44000,0.44000,0.24030,0.77720,66.65200,66.65200,54.97100,53.92180,0.02310,2.29720,2.29720,1.24750,1.74510,19.00620,0.2851,0.9646
2010-09-30,12.65600,2.12200,10.53400,1.20100,,1.20100,9.33300,-1.24300,8.09000,0.36100,7.72900,7.72900,7.72900,9.33300,9.33300,16.79600,17.06900,0.46000,0.45000,0.26240,0.35570,73.74370,73.74370,63.92230,61.06990,0.02790,2.36740,2.36740,1.70250,1.74620,19.39640,-0.844,-0.4811
2010-06-30,13.91500,1.79300,12.12200,1.23500,,1.23500,10.88700,-0.82400,10.06300,1.91200,8.15100,8.15100,8.15100,10.88700,10.88700,16.73500,17.10600,0.49000,0.48000,0.08820,0.09670,78.23930,78.23930,72.31760,58.57710,0.03760,2.51360,2.51360,2.20010,2.29200,19.37700,-0.6924,-0.5969
2010-03-31,3.85400,1.29600,2.55800,1.09400,,1.09400,1.46400,-0.08300,1.38100,0.12700,1.25400,1.25400,1.25400,1.46400,1.46400,16.73500,17.11000,0.07000,0.07000,,,37.98650,37.98650,35.83290,32.53760,0.01180,0.39750,0.39750,0.38390,0.39750,18.85150,-0.08550,-0.15790
2009-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0.0424,0.0424
2009-09-30,0.81600,0.81200,0.00400,0.68600,,0.68600,-0.68200,-0.04800,-0.73000,,-0.73000,-0.73000,-0.73000,-0.68200,-0.68200,16.73500,16.73500,-0.04000,-0.04000,,,-83.57840,-83.57840,-89.46080,-89.46080,0.00250,-0.23220,-0.23220,-0.22520,-0.23220,18.78340,-0.0424,-0.0424
2009-06-30,,,,,0.00000,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,,,,,,0,0
