Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1870.00000,1391.00000,479.00000,-199.00000,211.00000,268.00000,5.00000,273.00000,84.00000,189.00000,189.00000,188.00000,321.00000,268.00000,65.30000,66.50000,2.88000,2.83000,2.67010,0.30490,0.46360,25.61500,14.33160,14.33160,14.59890,10.05350,0.24850,1.12720,1.59420,56.45460,4.76190,7.06810,2.51160,3.31000,60.96770,7.2382,6.4782
2024-06-30,1878.00000,1432.00000,446.00000,-183.00000,206.00000,240.00000,-10.00000,230.00000,80.00000,150.00000,150.00000,148.00000,294.00000,240.00000,65.70000,66.80000,2.25000,2.22000,2.51950,0.31870,0.49700,23.74870,12.77960,12.77960,12.24710,7.88070,0.26010,1.15110,1.46030,61.62940,4.03010,6.13000,2.07730,2.74570,57.08590,4.6707,3.8473
2024-03-31,1882.00000,1465.00000,417.00000,-201.00000,204.00000,213.00000,63.00000,276.00000,58.00000,218.00000,218.00000,216.00000,266.00000,213.00000,65.70000,66.80000,3.29000,3.23000,2.43570,0.31750,0.50290,22.15730,11.31780,11.31780,14.66530,11.47720,0.25710,1.09000,1.46570,61.40280,5.82890,8.88350,2.97850,3.97810,57.01220,3.12870,2.15570
2023-12-31,1921.00000,1521.00000,400.00000,-197.00000,198.00000,202.00000,-26.00000,176.00000,43.00000,133.00000,133.00000,131.00000,256.00000,202.00000,66.00000,67.00000,2.00000,1.97000,1.91820,0.32880,0.61600,20.82250,10.51540,10.51540,9.16190,6.81940,0.25140,1.04900,1.50200,59.92190,3.74440,5.91370,1.74040,2.51320,54.47850,6.1194,4.8806
2023-09-30,2033.00000,1612.00000,421.00000,-198.00000,208.00000,213.00000,-28.00000,185.00000,25.00000,160.00000,160.00000,158.00000,269.00000,213.00000,66.00000,67.00000,2.39000,2.36000,1.97180,0.36490,0.71250,20.70830,10.47710,10.47710,9.09990,7.77180,0.26930,1.07320,1.47320,61.09200,4.73790,7.68860,2.11950,3.00920,51.80430,5.5111,4.3368
2023-06-30,2069.00000,1628.00000,441.00000,-190.00000,190.00000,251.00000,-32.00000,219.00000,55.00000,164.00000,164.00000,163.00000,306.00000,251.00000,66.30000,67.30000,2.46000,2.42000,1.92500,0.36390,0.72620,21.31460,12.13150,12.13150,10.58480,7.87820,0.27220,1.00620,1.51460,59.42000,4.83920,7.89220,2.15790,3.07810,51.25300,4.9057,3.75
2023-03-31,2137.00000,1650.00000,487.00000,-196.00000,196.00000,291.00000,-32.00000,259.00000,65.00000,194.00000,194.00000,191.00000,345.00000,291.00000,66.10000,67.10000,2.89000,2.85000,1.79810,0.37170,0.80560,22.78900,13.61720,13.61720,12.11980,8.93780,0.27950,0.99220,1.46870,61.27750,5.92190,9.80290,2.53760,3.72080,49.65800,-0.76010,-1.87780
2022-12-31,1987.00000,1636.00000,351.00000,-196.00000,194.00000,157.00000,-33.00000,124.00000,9.00000,115.00000,115.00000,114.00000,212.00000,157.00000,66.20000,67.00000,1.74000,1.71000,1.75820,0.38020,0.78500,17.66480,7.90140,7.90140,6.24060,5.73730,0.26280,1.02440,1.40820,63.91040,3.63580,6.17620,1.52100,2.25360,48.14310,1.0675,-0.3628
2022-09-30,2023.00000,1649.00000,374.00000,-190.00000,192.00000,182.00000,-21.00000,161.00000,52.00000,109.00000,109.00000,106.00000,235.00000,182.00000,65.80000,66.60000,1.61000,1.59000,1.67680,0.36090,0.79480,18.48740,8.99650,8.99650,7.95850,5.23970,0.27330,1.09930,1.43880,62.55070,3.53900,6.07580,1.47240,2.26190,46.98560,1.2608,0.3596
2022-06-30,2044.00000,1654.00000,390.00000,-175.00000,177.00000,213.00000,-17.00000,196.00000,51.00000,145.00000,145.00000,142.00000,267.00000,213.00000,66.40000,67.10000,2.14000,2.12000,1.72200,0.35490,0.75640,19.08020,10.42070,10.42070,9.58900,6.94720,0.27660,1.17890,1.46420,61.46770,4.58720,7.84630,1.96240,2.95920,48.01150,0.7096,-0.1486
