Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5697.00000,5697.00000,3442.00000,-1147.00000,1108.00000,-73.00000,1035.00000,283.00000,752.00000,752.00000,,747.00000,1288.00000,1108.00000,492.00000,496.00000,1.52000,1.51000,1.13680,0.47040,0.92550,100.00000,19.44880,19.44880,18.16750,13.11220,0.11430,0.76760,117.25120,5.41710,-10.63200,1.50810,2.86890,28.27100,3.8548,3.7077
2024-06-30,6221.00000,6221.00000,3454.00000,-1125.00000,1642.00000,-77.00000,1565.00000,425.00000,1140.00000,1140.00000,,1125.00000,1818.00000,1642.00000,492.00000,496.00000,2.28000,2.27000,1.16740,0.47510,0.99850,100.00000,26.39450,26.39450,25.15670,18.08390,0.12800,0.80390,111.96110,8.40400,-17.30160,2.34610,4.41130,27.57540,2.4464,2.2848
2024-03-31,6473.00000,6473.00000,3470.00000,-1078.00000,1925.00000,-54.00000,1871.00000,447.00000,1424.00000,1424.00000,,1400.00000,2114.00000,1925.00000,492.00000,497.00000,2.84000,2.82000,1.14140,0.49350,1.06710,100.00000,29.73890,29.73890,28.90470,21.62830,0.13610,0.89700,100.33060,11.28190,-19.44560,2.99340,5.71380,25.61150,-1.57140,-1.74650
2023-12-31,5554.00000,5554.00000,3268.00000,-1183.00000,1103.00000,-55.00000,1048.00000,283.00000,765.00000,765.00000,,756.00000,1289.00000,1103.00000,494.00000,499.00000,1.53000,1.52000,1.09870,0.48910,1.08840,100.00000,19.85960,19.85960,18.86930,13.61180,0.11560,0.86540,104.00070,6.18430,-10.21230,1.59280,3.15930,25.14200,3.5732,3.3327
2023-09-30,5382.00000,5382.00000,3287.00000,-1099.00000,996.00000,-66.00000,930.00000,192.00000,738.00000,738.00000,,730.00000,1176.00000,996.00000,494.00000,499.00000,1.48000,1.47000,1.08120,0.50420,1.17810,100.00000,18.50610,18.50610,17.27980,13.56370,0.11210,0.82550,109.03010,6.36980,-9.75290,1.53750,3.15830,23.50220,3.6272,3.4048
2023-06-30,5876.00000,5876.00000,3337.00000,-1082.00000,1457.00000,-73.00000,1384.00000,337.00000,1047.00000,1047.00000,,1035.00000,1635.00000,1457.00000,495.00000,499.00000,2.09000,2.07000,1.04990,0.45770,1.03980,100.00000,24.79580,24.79580,23.55340,17.61400,0.12620,0.84110,107.00140,8.62510,-14.97850,2.24840,4.67700,24.57030,2.9707,2.7679
2023-03-31,5924.00000,5924.00000,3207.00000,-991.00000,1726.00000,-62.00000,1664.00000,412.00000,1252.00000,1252.00000,,1235.00000,1895.00000,1726.00000,495.00000,500.00000,2.50000,2.47000,1.15150,0.49190,1.15680,100.00000,29.13570,29.13570,28.08910,20.84740,0.17240,0.88420,101.78930,11.18260,-16.56960,3.64400,5.68140,22.62710,-1.63800,-1.80600
2022-12-31,5022.00000,5022.00000,3038.00000,-1304.00000,680.00000,-67.00000,613.00000,142.00000,471.00000,471.00000,,466.00000,882.00000,680.00000,499.00000,505.00000,0.95000,0.95000,1.06320,0.51090,1.06940,100.00000,13.54040,13.54040,12.20630,9.27920,0.11380,0.85820,104.87460,4.38180,-5.85890,1.06770,2.14320,21.72450,2.9588,2.7577
2022-09-30,4770.00000,4770.00000,2923.00000,-1056.00000,791.00000,-58.00000,733.00000,181.00000,552.00000,552.00000,,546.00000,960.00000,791.00000,498.00000,503.00000,1.10000,1.08000,1.03870,0.51510,1.16090,100.00000,16.58280,16.58280,15.36690,11.44650,0.14900,0.81970,109.79240,5.63780,-6.74160,1.72380,2.73400,19.71850,2.7564,2.4991
2022-06-30,5379.00000,5379.00000,3010.00000,-1005.00000,1364.00000,-52.00000,1312.00000,334.00000,978.00000,978.00000,,967.00000,1532.00000,1364.00000,501.00000,506.00000,1.93000,1.91000,1.16430,0.49000,1.08070,100.00000,25.35790,25.35790,24.39120,17.97730,0.16090,0.85570,105.17570,8.95850,-12.89560,2.92460,4.56920,21.86750,2.5254,2.2928
2022-03-31,5549.00000,5549.00000,3100.00000,-1004.00000,1445.00000,-21.00000,1424.00000,338.00000,1086.00000,1086.00000,,1071.00000,1625.00000,1445.00000,503.00000,509.00000,2.13000,2.10000,1.18230,0.48610,1.05260,100.00000,26.04070,26.04070,25.66230,19.30080,0.16470,0.93060,96.71470,9.73470,-13.89100,3.22370,5.00280,22.21790,-1.37920,-1.61890
2021-12-31,5137.00000,5137.00000,2905.00000,-1246.00000,986.00000,-25.00000,961.00000,154.00000,807.00000,807.00000,,803.00000,1164.00000,986.00000,507.00000,513.00000,1.60000,1.57000,1.24200,0.49350,0.97580,100.00000,19.19410,19.19410,18.70740,15.63170,0.14940,0.91960,97.86650,7.19120,-10.20870,2.34670,3.64250,22.28640,2.8109,2.5419
2021-09-30,4583.00000,4583.00000,2853.00000,-990.00000,740.00000,-24.00000,716.00000,174.00000,542.00000,542.00000,,537.00000,919.00000,740.00000,506.00000,513.00000,1.06000,1.05000,1.18290,0.50850,1.08660,100.00000,16.14660,16.14660,15.62300,11.71720,0.13900,0.81490,110.44290,5.48140,-6.49340,1.64330,2.69440,19.56220,2.5809,2.3529
2021-06-30,5017.00000,5017.00000,2860.00000,-929.00000,1228.00000,-19.00000,1209.00000,382.00000,827.00000,827.00000,,820.00000,1421.00000,1228.00000,508.00000,513.00000,1.61000,1.60000,1.30210,0.49980,1.04960,100.00000,24.47680,24.47680,24.09810,16.34440,0.15220,0.85920,104.74590,8.05730,-10.05110,2.50960,4.03000,20.24600,2.2558,2.0956
2021-03-31,5083.00000,5083.00000,2807.00000,-918.00000,1358.00000,-36.00000,1322.00000,324.00000,998.00000,998.00000,,983.00000,1555.00000,1358.00000,509.00000,514.00000,1.93000,1.91000,1.23290,0.51630,1.17310,100.00000,26.71650,26.71650,26.00830,19.33900,0.15750,0.90820,99.10090,10.40020,-11.78970,3.09240,5.03070,18.86120,-0.79380,-0.92800
2020-12-31,4416.00000,4416.00000,2650.00000,-1195.00000,571.00000,-31.00000,540.00000,161.00000,379.00000,379.00000,,374.00000,765.00000,571.00000,506.00000,512.00000,0.74000,0.72000,1.24390,0.53830,1.22170,100.00000,12.93030,12.93030,12.22830,8.46920,0.13360,0.82910,108.54620,4.09290,-4.23180,1.14680,1.88970,18.23820,2.7012,2.5645
