Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,17.92200,7.57200,-4.12700,-29.62100,0.88000,-28.74100,-28.74100,-28.74100,-28.74100,-29.43500,-29.62100,38.51760,38.51760,-0.75000,-0.75000,2.95490,-49.91230,-49.91230,-33.32450,-49.91230,1.48910,-0.5932,-0.5932
2024-06-30,22.15400,5.87400,,-28.02800,1.16900,-26.85900,-26.85900,-26.85900,-26.85900,-27.95100,-28.02800,38.37970,38.37970,-0.70000,-0.70000,3.96640,-32.23020,-32.23020,-24.14230,-32.23020,2.16800,-0.5808,-0.5815
2024-03-31,21.23600,6.45100,,-27.68700,1.35000,-26.33700,-26.33700,-26.33700,-26.33700,-27.71100,-27.68700,38.32160,38.32160,-0.69000,-0.69000,5.02520,-24.67350,-24.67350,-19.73430,-24.67350,2.78500,-0.67340,-0.67350
2023-12-31,23.68000,6.96200,,-29.01400,1.72900,-27.28500,-27.28500,-27.28500,-27.28500,-29.05200,-29.01400,38.02020,38.02020,-0.71000,-0.71000,5.36510,-20.95820,-20.95820,-17.02710,-20.95820,3.41050,-0.6933,-0.6933
2023-09-30,27.20200,7.84000,,-35.04200,2.07200,-32.97000,-32.97000,-32.97000,-32.97000,-35.19200,-35.04200,38.05460,38.05460,-0.87000,-0.87000,6.23660,-21.30340,-21.30340,-17.85060,-21.30340,4.06690,-0.6284,-0.6292
2023-06-30,21.61500,10.02500,,-31.64000,2.04300,-29.59700,-29.59700,-29.59700,-29.59700,-31.80200,-31.64000,37.99960,37.99960,-0.78000,-0.78000,8.86960,-16.00020,-16.00020,-14.22600,-16.00020,4.86080,-0.6376,-0.6384
2023-03-31,21.29300,8.47700,,-29.77000,1.95000,-27.82000,-27.82000,-27.82000,-27.82000,-29.86500,-29.77000,37.92340,37.92340,-0.73000,-0.73000,9.57300,-13.17700,-13.17700,-11.95160,-13.17700,5.56310,-0.69070,-0.69710
2022-12-31,15.23600,7.69100,,-32.92700,2.79200,-30.13500,-30.13500,-30.13500,-30.13500,-33.04300,-32.92700,37.73320,37.73320,-0.79000,-0.79000,9.68380,-12.81590,-12.81590,-11.67330,-12.81590,6.20790,-0.4186,-0.4187
2022-09-30,16.96500,7.16800,,-24.13300,3.94400,-20.18900,-20.18900,-20.18900,-20.18900,-24.11800,-24.13300,37.81770,37.81770,-0.53000,-0.53000,22.30830,-7.69840,-7.69840,-7.36330,-7.69840,6.93470,-0.5685,-0.5748
2022-06-30,14.80300,8.76600,,-23.56900,-0.76600,-24.33500,-24.33500,-24.33500,-24.33500,-23.33900,-23.56900,37.66800,37.66800,-0.65000,-0.65000,26.39910,-8.67360,-8.67360,-8.33360,-8.67360,7.41900,-0.4927,-0.4967
2022-03-31,14.46000,8.92700,,-23.38700,2.40700,-20.98000,-20.98000,-20.98000,-20.98000,-23.09300,-23.38700,37.59330,37.59330,-0.56000,-0.56000,28.41880,-6.94750,-6.94750,-6.70280,-6.94750,8.02620,-0.44080,-0.46060
2021-12-31,12.61800,6.16000,,-18.77800,2.43900,-16.33900,-16.33900,-16.33900,-16.33900,-18.50600,-18.77800,36.92120,36.92120,-0.44000,-0.44000,28.06710,-5.08870,-5.08870,-4.92130,-5.08870,8.59000,-0.4994,-0.5274
2021-09-30,10.70700,7.11900,,-17.82600,2.15200,-15.67400,-15.67400,-15.67400,-15.67400,-17.58200,-17.82600,37.31240,37.31240,-0.42000,-0.42000,25.46260,-4.66160,-4.66160,-4.51270,-4.66160,9.00210,-0.275,-0.2784
2021-06-30,12.02400,4.61300,,-16.63700,2.66300,-13.97400,-13.97400,-13.97400,-13.97400,-16.42400,-16.63700,37.21460,37.21460,-0.38000,-0.38000,38.05310,-3.98450,-3.98450,-3.88030,-3.98450,9.41450,-0.1887,-0.1914
2021-03-31,7.44500,3.33600,,-10.78100,1.91500,-8.86600,-8.86600,-8.86600,-8.86600,-10.53800,-10.78100,35.77550,35.77550,-0.25000,-0.25000,69.28350,-2.44100,-2.44100,-2.40000,-2.44100,9.77700,-0.20420,-0.21270
2020-12-31,5.18700,3.89200,,-9.07900,1.37700,-7.70200,-7.70200,-7.70200,-7.70200,-8.91200,-9.07900,11.96690,11.96690,0.41000,0.41000,43.66330,-2.80810,-2.80810,-2.75500,-2.80810,8.44330,-0.2373,-0.4225
2020-09-30,5.83000,1.56700,,-7.39700,-1.05900,-8.45600,-8.45600,-8.45600,-8.45600,-7.39700,-7.39700,7.56500,7.56500,-1.12000,-1.12000,30.74740,-3.25900,-3.25900,-3.15590,-3.25900,8.34660,-0.7997,-0.8083
2020-06-30,1.67700,0.57500,,-2.25200,0.26000,-1.99200,-1.99200,-1.99200,-1.99200,-2.25200,-2.25200,4.12800,4.12800,-0.48000,-0.48000,,,,,,,-0.6644,-0.6644
